# 愛知単独開催の選手権愛知大会のみ収録(合同予選の年は対象外)
# 出典: bibijr.vivian.jp(高校野球データベース)のトーナメント表より集計
年,ブロック,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
1948,,享栄商,豊橋,愛知工,千種工,小牧,碧南商,名古屋理工,豊橋工,5,1
1949,,瑞陵,犬山,享栄商,小牧,津島,岡崎,時習館,愛知,12,2
1950,,瑞陵,一宮,常滑,享栄商,豊川,向陽,旭丘,岡崎,6,3
1951,,豊橋商,愛知,時習館,岡崎工,新城,岡崎,豊川,瑞陵,5,4
1952,,愛知,時習館,成章,豊川,享栄商,瑞陵,岡崎,愛知工,2,1
1953,,中京商,豊橋商,岡崎工,成章,愛知商,時習館,名古屋市工,一宮,3,0
1954,,中京商,瑞陵,岡崎,西尾,時習館,松蔭,愛知商,岡崎工,12,1
1955,,中京商,東邦,成章,岡崎,時習館,豊橋工,岡崎北,尾北,4,1
1956,,中京商,時習館,岡崎,一宮,瑞陵,岡崎北,豊川,犬山,6,4
1957,,津島商工,中京商,時習館,愛知,一宮,岡崎工,享栄商,名古屋市工,2,0
1958,,中京商,愛知,東邦,瑞陵,時習館,豊川,岡崎工,滝実,10,1
1959,,中京商,一宮商,豊橋商,東邦,愛知,享栄商,碧南,岡崎工,3,2
1960,,享栄商,豊橋工,東海,大府,中京商,豊橋商,愛知,小牧,5,2
1961,,中京商,享栄商,小牧,津島商工,愛知商,一宮商,半田農,東邦,6,4
1962,,中京商,豊田西,一宮商,岡崎北,岡崎,大同工,瀬戸,東邦,2,0
1963,,中京商,一宮商,東邦,木曽川,成章,名商大付,津島商工,岡崎北,3,1
1964,,大府,名古屋電工,津島商工,桜台,愛知,豊田西,豊川,名古屋市工,3,2
1965,,東邦,津島商工,愛知,岡崎北,名南工,名古屋電工,豊田西,滝,4,0
1966,,中京商,東邦,名古屋電工,名商大付,滝,津島商工,一宮商,常滑,4,3
1967,,中京,愛知,東邦,知立商,旭丘,成章,名古屋電工,豊川工,6,0
1968,,享栄,名古屋電工,木曽川,豊橋商,愛知,豊川,成章,刈谷工,6,0
1969,,東邦,豊田西,中京,一宮,豊橋商,木曽川,大府,大同工,10,0
1970,,東邦,中京,豊田西,豊橋東,蒲郡,犬山,豊橋商,愛知,1,0
1971,,東邦,享栄,中京,西尾,豊田西,西陵商,豊橋東,成章,2,1
1972,,中京,東邦,大同工,犬山,起工,内海,岡崎商,享栄,11,5
1973,,東邦,大府,猿投農林,中京,半田商,豊川工,名古屋,瀬戸窯,5,1
1974,,名古屋電工,中京,成章,享栄,国府,大府,岡崎,豊橋工,6,2
1975,,国府,愛知,豊川,岡崎工,名古屋電工,半田工,成章,蒲郡,4,1
1976,,中京,岡崎工,蒲郡,国府,豊川,時習館,岡崎北,豊川工,5,0
