# 秋田単独開催の選手権秋田大会のみ収録(合同予選の年は対象外)
# 出典: bibijr.vivian.jp(高校野球データベース)のトーナメント表より集計
年,ブロック,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
1958,,秋田商,本荘,秋田,角館,秋田短大付,金足農,大館鳳鳴,大曲農,8,0
1963,,能代,大曲農,秋田商,秋田短大付,鷹巣農林,秋田工,本荘,角館,6,4
1968,,秋田市立,能代,本荘,秋田南,秋田,沼館,角館,横手,8,1
1973,,秋田,大館商,本荘,横手,羽後,大曲,能代,大館鳳鳴,2,1
1978,,能代,本荘,秋田,大曲農,秋田経大付,合川,大館商,秋田商,3,2
1979,,秋田商,大館商,秋田経大付,能代,能代商,秋田工,能代工,金足農,10,0
1980,,秋田商,能代,秋田,金足農,湯沢商,秋田南,秋田市立,二ツ井,2,1
1981,,秋田経大付,金足農,合川,秋田南,能代商,秋田市立,本荘,秋田,2,1
1982,,秋田経大付,秋田商,大曲,秋田南,能代商,由利工,金足農,湯沢商,10,7
1983,,秋田,金足農,秋田経法大付,能代商,鷹巣,西目農,二ツ井,秋田商,3,0
1984,,金足農,能代,秋田中央,秋田商,横手,大曲工,鷹巣農林,秋田経法大付,6,5
1985,,能代商,秋田,秋田工,大曲農,合川,金足農,秋田経法大付,鷹巣,6,0
1986,,秋田工,秋田南,横手,大館鳳鳴,仁賀保,鷹巣農林,秋田中央,秋田,2,1
1987,,秋田経法大付,角館,秋田,秋田中央,大館鳳鳴,本荘,米内沢,秋田商,7,1
1988,,本荘,能代商,秋田経法大付,秋田,大館鳳鳴,十和田,増田,鷹巣農林,5,3
1989,,秋田経法大付,秋田,西目,本荘,秋田商,男鹿工,金足農,湯沢商工,10,4
1990,,秋田経法大付,秋田中央,秋田西,能代商,大曲工,秋田,能代,金足農,2,1
1991,,秋田,秋田経法大付,金足農,秋田工,秋田商,能代,増田,大館鳳鳴,7,3
1992,,能代,金足農,本荘,秋田工,西目,鷹巣農林,秋田修英,湯沢商工,6,5
1993,,秋田経法大付,金足農,秋田南,秋田商,男鹿工,本荘,五城目,横手,4,3
1994,,秋田,秋田商,金足農,秋田経法大付,能代商,本荘,大館鳳鳴,十和田,10,6
1995,,金足農,秋田,秋田経法大付,秋田南,合川,大館商,横手,五城目,13,9
1996,,秋田経法大付,金足農,秋田商,秋田南,秋田中央,鷹巣,能代,由利工,4,0
1997,,秋田商,金足農,大曲農,能代,秋田工,秋田西,鷹巣農林,秋田経法大付,17,2
1998,,金足農,秋田商,秋田経法大付,本荘,大館工,角館,横手,横手工,17,16
1999,,秋田,鷹巣,秋田経法大付,能代,角館,秋田商,本荘,秋田工,3,1
2000,,秋田商,秋田経法大付,大曲工,横手工,由利工,大曲農,秋田工,能代商,13,2
2001,,金足農,秋田経法大付,本荘,秋田商,秋田,男鹿工,秋田南,能代,8,2
2002,,秋田商,秋田南,由利工,本荘,西目,秋田経法大付,金足農,大館工,21,4
2003,,秋田,湯沢,大曲農,平成,秋田商,湯沢商工,大館鳳鳴,秋田経法大付,11,1
2004,,秋田商,本荘,西目,湯沢,大曲,大館鳳鳴,金足農,能代,3,1
2005,,秋田商,金足農,西目,秋田経法大付,大曲工,本荘,湯沢,秋田,9,8
2006,,本荘,秋田中央,秋田,秋田経法大付,鷹巣,金足農,大曲工,大館工,2,1
2007,,金足農,秋田,秋田中央,大館鳳鳴,湯沢商工,由利工,大館工,明桜,6,0
2008,,本荘,大館鳳鳴,明桜,新屋,大曲,秋田,大曲工,秋田南,10,5
2009,,明桜,本荘,西目,新屋,横手,秋田中央,秋田西,鷹巣農林,3,0
2010,,能代商,秋田商,西仙北,鷹巣,金足農,由利工,湯沢,秋田中央,5,4
2011,,能代商,秋田中央,金足農,秋田商,大館鳳鳴,西目,本荘,能代,6,3
2012,,秋田商,能代商,大曲工,大館鳳鳴,秋田工,秋田,西目,能代,4,3
2013,,秋田商,角館,金足農,大曲,秋田西,秋田中央,明桜,大館鳳鳴,4,3
2014,,角館,能代松陽,由利工,大曲工,秋田南,湯沢,西目,大曲農,3,1
2015,,秋田商,秋田南,秋田工,能代松陽,西目,明桜,秋田修英,大曲農,4,0
2016,,大曲工,角館,大館国際情報,能代工,大館桂桜,秋田商,能代松陽,秋田修英,8,7
2017,,明桜,金足農,大曲工,秋田,秋田中央,本荘,秋田修英,能代松陽,5,1
2018,,金足農,明桜,由利,能代松陽,秋田商,新屋,大館鳳鳴,秋田,2,0
2019,,秋田中央,明桜,角館,能代,大曲工,湯沢翔北,由利,大曲,5,4
2021,,明桜,秋田南,横手,秋田商,秋田,秋田中央,由利,大曲工,6,0
2022,,能代松陽,秋田南,秋田中央,明桜,湯沢翔北,秋田北鷹,大館鳳鳴,大曲工,6,3
2023,,明桜,秋田商,秋田中央,秋田修英,大館桂桜,能代松陽,湯沢翔北,横手城南,5,2
2024,,金足農,秋田商,秋田工,秋田南,本荘,秋田修英,新屋,横手,6,5
2025,,金足農,鹿角,秋田商,明桜,能代松陽,大曲工,秋田西,秋田南,2,1
