# 青森単独開催の選手権青森大会のみ収録(合同予選の年は対象外)
# 出典: bibijr.vivian.jp(高校野球データベース)のトーナメント表より集計
年,ブロック,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
1958,,東奥義塾,弘前,八戸工,八戸,大湊,大三沢,青森工,光星学院,8,2
1963,,東奥義塾,青森工,光星学院,八戸,青森,青森商,弘前,八戸電波,7,0
1968,,三沢,八戸工,五所川原農林,東奥義塾,弘前実,七戸,弘前南,青森山田,3,2
1973,,青森商,弘前,弘前実,青森東,八戸水産,青森工,田名部,弘前工,2,1
1978,,青森北,八戸西,五所川原農林,弘前南,三沢,弘前実,弘前,板柳,4,3
1979,,弘前実,八戸西,三沢,光星学院,五所川原農林,青森北,浪岡,八戸,4,2
1980,,弘前工,青森山田,三本木,青森北,黒石商,青森工,八戸工大一,青森商,1,0
1981,,東奥義塾,八戸,弘前南,青森,今別,八戸工大一,木造,青森山田,2,1
1982,,木造,青森山田,七戸,八戸商,八戸,弘前,光星学院,青森商,4,1
1983,,八戸工大一,八戸,木造,青森北,板柳,青森商,東奥義塾,浪岡,6,4
1984,,弘前実,弘前工,青森商,青森,弘前,三沢,八戸西,青森北,4,2
1985,,八戸,三沢商,大湊,弘前工,木造,六戸,弘前実,弘前電波,3,0
1986,,三沢商,青森山田,八戸西,八戸商,八戸,大湊,青森,弘前実,4,1
1987,,八戸工大一,青森商,木造,五所川原工,青森北,弘前実,八戸,弘前工,3,2
1988,,弘前工,八戸,弘前南,弘前実,八戸工大一,光星学院,三沢商,平内,6,1
1989,,弘前工,青森商,弘前実,青森戸山,八戸,五所川原農林,八戸西,板柳,11,1
1990,,八戸工大一,東奥義塾,青森戸山,八戸,五所川原農林,六戸,弘前実,三沢,12,2
1991,,弘前実,八戸工,三沢,弘前工,三戸,弘前南,木造,青森商,7,1
1992,,弘前実,五所川原工,八戸工,大湊,青森,弘前工,八戸工大一,平内,11,6
1993,,青森山田,東奥義塾,青森戸山,弘前南,六戸,七戸,青森商,八戸工,9,3
1994,,八戸,光星学院,青森山田,弘前工,弘前南,弘前実,七戸,八戸工大一,7,6
1995,,青森山田,光星学院,野辺地工,青森北,平内,弘前南,三本木,八戸工大一,4,2
1996,,弘前実,光星学院,弘前工,十和田工,八戸工大一,弘前南,八戸西,三沢商,6,4
1997,,光星学院,青森山田,弘前,五所川原工,弘前実,青森戸山,八戸工大一,青森,11,0
1998,,八戸工大一,光星学院,弘前南,弘前実,大湊,平内,弘前工,野辺地西,3,2
1999,,青森山田,光星学院,平内,弘前,青森,八戸,八戸工大一,弘前南,5,3
2000,,光星学院,弘前実,三沢商,弘前工,青森商,青森,青森山田,八戸西,7,1
2001,,光星学院,青森,八戸工大一,弘前工,六戸,東奥義塾,三沢,八戸西,3,1
2002,,青森山田,光星学院,野辺地西,弘前工,三沢商,青森北,八戸工大一,三本木,9,2
2003,,光星学院,青森山田,大湊,野辺地西,三沢商,弘前南,五所川原農林,青森,9,4
2004,,青森山田,青森北,木造,三沢,光星学院,弘前工,三沢商,弘前実,12,0
2005,,青森山田,光星学院,木造,弘前学院聖愛,弘前工,八戸西,三沢,三沢商,8,1
2006,,青森山田,光星学院,青森,東奥義塾,八戸工大一,三戸,百石,八戸工,5,4
2007,,青森山田,八戸工大一,青森商,八戸西,青森西,浪岡,弘前学院聖愛,弘前工,9,2
2008,,青森山田,光星学院,五所川原農林,八戸西,青森,青森北,弘前実,浪岡,4,0
2009,,青森山田,大湊,三沢,野辺地西,八戸工大一,青森北,八戸北,光星学院,4,3
2010,,八戸工大一,光星学院,青森工,青森山田,八戸西,十和田工,弘前学院聖愛,青森東,3,0
2011,,光星学院,野辺地西,木造,弘前学院聖愛,青森山田,十和田工,青森,八戸西,9,1
2012,,光星学院,弘前学院聖愛,大湊,弘前東,弘前工,八戸水産,八戸工大一,五所川原工,5,3
2013,,弘前学院聖愛,弘前,青森山田,八戸西,八戸学院光星,五所川原商,八戸北,八戸工大一,4,3
2014,,八戸学院光星,青森,弘前学院聖愛,青森山田,弘前工,弘前中央,八戸工大一,五所川原商,8,6
2015,,三沢商,八戸学院光星,青森,三本木,弘前学院聖愛,青森商,八戸工大一,黒石商,2,1
2016,,八戸学院光星,大湊,八戸西,弘前学院聖愛,弘前東,青森商,八戸工大一,弘前工,11,0
2017,,青森山田,八戸学院光星,八戸工大一,弘前学院聖愛,東奥義塾,青森東,青森中央,弘前東,5,3
2018,,八戸学院光星,弘前学院聖愛,青森山田,弘前工,大間,青森,弘前東,八戸工大一,6,4
2019,,八戸学院光星,弘前学院聖愛,青森商,東奥義塾,三沢商,三沢,大湊,弘前東,12,4
2021,,弘前学院聖愛,青森山田,弘前工,八戸工大一,八戸学院光星,八戸西,東奥義塾,十和田工,6,5
2022,,八戸学院光星,八戸工大一,青森山田,弘前学院聖愛,弘前工,青森北,東奥義塾,八戸工大二,6,5
2023,,八戸学院光星,八戸工大一,弘前学院聖愛,青森山田,八戸工大二,弘前東,弘前,東奥義塾,3,2
2024,,青森山田,弘前学院聖愛,東奥義塾,八戸工大一,青森商,八戸学院光星,三沢商,弘前東,4,3
2025,,弘前学院聖愛,八戸学院光星,青森山田,青森北,弘前南,木造,東奥義塾,八戸工大一,6,5
