# 千葉単独開催の選手権千葉大会のみ収録(南関東・東関東大会の年は対象外)
# 出典: bibijr.vivian.jp(高校野球データベース)のトーナメント表より集計
年,ブロック,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
1958,,銚子商,千葉商,成田,県船橋,千葉経済,千葉工,千葉敬愛,千葉商大一商,5,0
1963,,銚子商,千葉経済,木更津,成田,市船橋,千葉敬愛,習志野,市原,6,1
1968,,千葉商,銚子商,木更津中央,成田,京葉,成東,習志野,千葉工,2,1
1973,,銚子商,木更津中央,成東,京葉,県船橋,敬愛,習志野,小見川,9,7
1974,,銚子商,市銚子,成東,下総農,安房水産,市川工,千葉日大一,一宮商,2,0
1975,,習志野,君津,銚子商,市銚子,天羽,一宮商,勝浦,横芝敬愛,5,2
1976,,銚子商,安房,習志野,君津商,東金商,成東,千葉敬愛,横芝敬愛,15,0
1977,,千葉商,習志野,千葉工,専大松戸,東海大浦安,市原緑,横芝敬愛,県千葉,3,1
1978,,我孫子,銚子商,浦安,東海大浦安,茂原農,印旛,横芝敬愛,成東,4,0
1979,,市銚子,習志野,木更津中央,千葉日大一,千葉商,多古,四街道,市船橋,6,4
1980,,習志野,成東,印旛,横芝敬愛,君津商,千葉商大付,千葉商,木更津中央,9,1
1981,,銚子西,銚子商,木更津中央,印旛,千葉工,専大松戸,東海大浦安,検見川,1,0
1982,,東海大浦安,千葉商,銚子西,横芝敬愛,千葉日大一,天羽,銚子商,薬園台,2,0
1983,,印旛,君津商,成田,市銚子,銚子西,四街道,専大松戸,銚子商,11,3
1984,,拓大紅陵,東海大浦安,市船橋,成田,柏井,八千代松陰,印旛,船橋法典,9,5
1985,,銚子商,市柏,八千代松陰,野田北,習志野,君津,八千代東,千葉経済,10,0
1986,,拓大紅陵,印旛,志学館,東海大浦安,柏井,成田,八千代松陰,銚子商,8,0
1987,,習志野,東海大浦安,二松学舎沼南,市銚子,千葉商大付,千葉商,船橋法典,柏井,6,4
1988,,拓大紅陵,市柏,成田西,成東,佐倉南,千葉英和,成田,東海大浦安,12,0
1989,,成東,拓大紅陵,習志野,八千代松陰,銚子商,印旛,君津商,志学館,1,0
1990,,成田,暁星国際,習志野,千葉商大付,横芝敬愛,東金商,拓大紅陵,流山中央,6,2
1991,,我孫子,銚子商,銚子西,拓大紅陵,千葉商,船橋法典,印旛,市柏,2,0
1992,,拓大紅陵,二松学舎沼南,銚子商,印旛,習志野,市船橋,千葉商,暁星国際,2,1
1993,,市船橋,成田,東京学館,中央学院,船橋芝山,専大松戸,千葉英和,千葉商大付,4,0
1994,,志学館,成田,東海大浦安,市船橋,市銚子,印旛,専大松戸,東京学館,8,7
1995,,銚子商,拓大紅陵,暁星国際,成田,千葉日大一,千葉英和,船橋芝山,若松,4,3
1996,,市船橋,二松学舎沼南,八千代松陰,木更津中央,専大松戸,千葉日大一,東京学館,市川,6,1
1997,,市船橋,流通経大柏,検見川,横芝敬愛,八千代松陰,西武台千葉,中央学院,県船橋,5,2
1998,東,八千代松陰,成田,銚子商,中央学院,八千代,茂原農,千葉敬愛,千葉黎明,1,0
1998,西,市船橋,東海大浦安,柏陵,市柏,東京学館技術,習志野,西武台千葉,市松戸,4,2
1999,,柏陵,市銚子,市船橋,成田,安房,専大松戸,千葉英和,千葉商大付,1,0
2000,,東海大浦安,木更津中央,八千代松陰,市船橋,千葉敬愛,千葉黎明,東京学館技術,県船橋,4,1
2001,,習志野,東海大望洋,市銚子,市船橋,八千代松陰,拓大紅陵,東京学館技術,木更津中央,6,0
