# 愛媛単独開催の選手権愛媛大会のみ収録(合同予選の年は対象外)
# 出典: bibijr.vivian.jp(高校野球データベース)のトーナメント表より集計
年,ブロック,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
1958,,八幡浜,新田,川之石,今治南,大洲,南宇和,宇和,川之江,4,1
1963,,今治西,西条,松山商,新田,南宇和,松山北,新居浜東,吉田,8,4
1968,,松山商,南宇和,新居浜商,帝京五,北宇和,西条,八幡浜,長浜,3,2
1973,,今治西,西条,南宇和,八幡浜,北宇和,松山商,新田,八幡浜工,1,0
1976,,今治西,新居浜商,新田,松山商,弓削商船高専,南宇和,西条農,松山北,1,0
1977,,今治西,新居浜商,松山商,西条,新田,宇和島東,今治南,八幡浜,6,0
1978,,松山商,今治西,西条,帝京五,宇和島東,小田,松山聖陵,今治工,3,0
1979,,新居浜商,松山商,川之江,東温,松山東,帝京五,松山西,松山南,5,4
1980,,南宇和,帝京五,川之江,松山工,今治南,三島,松山商,新居浜工,7,0
1981,,今治西,帝京五,野村,新田,新居浜工,川之江,新居浜商,今治工,4,1
1982,,川之江,今治西,西条,新田,内子,新居浜高専,松山商,三瓶,3,0
1983,,川之江,川之石,松山商,宇和,三島,新居浜高専,北宇和,八幡浜,7,4
1984,,松山商,宇和島東,宇和島南,新居浜工,小松,帝京五,三島,今治西,18,2
1985,,川之江,西条,新田,松山商,新居浜商,今治西,弓削,今治東,9,3
1986,,松山商,宇和島東,八幡浜,宇和,小松,松山北,帝京五,今治西,6,0
1987,,宇和島東,三島,新田,今治北,西条,小松,松山商,宇和島南,5,1
1988,,松山商,八幡浜工,西条,宇和島東,帝京五,松山中央,宇和,伊予,10,0
1989,,宇和島東,新田,松山商,西条,中山,小松,今治北,川之江,10,1
1990,,松山商,新田,宇和島東,西条,三瓶,帝京五,八幡浜工,今治北,9,8
1991,,川之江,今治西,新居浜西,今治北,三島,丹原,三瓶,新田,3,2
1992,,西条,松山商,今治西,丹原,南宇和,新居浜東,新田,宇和島南,10,6
1993,,宇和島東,今治西,松山商,新田,今治南,川之江,今治明徳,新居浜東,5,3
1994,,宇和島東,西条,松山商,新田,野村,今治西,新居浜東,西条農,9,6
1995,,松山商,丹原,今治西,宇和島東,松山東,新居浜西,宇和島南,松山聖陵,3,1
1996,,松山商,帝京五,宇和島東,川之江,松山中央,西条農,西条,今治西,4,2
1997,,宇和島東,今治西,丹原,松山聖陵,松山中央,西条,新居浜東,今治北,12,4
1998,,宇和島東,今治西,丹原,川之江,津島,大洲,松山聖陵,野村,5,4
1999,,宇和島東,西条,新田,松山商,松山聖陵,丹原,今治北,新居浜西,10,5
2000,,丹原,今治西,宇和島東,松山商,大洲,八幡浜,津島,帝京五,13,6
2001,,松山商,宇和島東,西条,新田,丹原,今治東,松山北,今治北,7,6
2002,,川之江,松山聖陵,八幡浜,新居浜西,宇和島東,新居浜東,丹原,大三島,7,2
2003,,今治西,宇和島東,松山商,今治北,松山北,松山城南,丹原,西条,16,4
2004,,済美,新田,宇和島東,松山商,松山北,川之江,八幡浜,小田,4,2
2005,,済美,西条,新田,松山商,今治北,今治西,川之江,宇和,4,3
2006,,今治西,今治北,済美,川之江,帝京五,松山聖陵,宇和島南,新田,11,2
2007,,今治西,済美,川之江,松山聖陵,松山北,西条,三島,新田,3,1
2008,,済美,帝京五,三島,新田,八幡浜,日本ウェルネス,今治西,宇和島東,15,1
2009,,西条,済美,今治工,今治西,帝京五,今治北,三島,丹原,13,2
2010,,宇和島東,済美,西条,新田,川之江,今治北,北宇和,松山北,3,2
2011,,今治西,新田,東温,宇和島東,三島,丹原,今治工,済美,3,1
2012,,今治西,川之江,済美,八幡浜,西条,松山商,丹原,宇和島南,6,3
2013,,済美,今治西,川之江,松山聖陵,今治工,八幡浜,東温,新居浜東,5,2
2014,,小松,松山東,西条,東温,新居浜商,丹原,南宇和,新田,10,1
2015,,今治西,小松,松山北,松山東,今治北,松山工,西条,川之江,4,3
2016,,松山聖陵,新田,今治北,東温,今治東,今治工,愛媛大付,聖カタリナ学園,3,2
2017,,済美,帝京五,松山聖陵,川之江,大洲,新居浜南,今治東,宇和島東,10,3
2018,,済美,新田,今治西,松山商,川之江,宇和島南,松山南,小松,8,2
2019,,宇和島東,松山聖陵,小松,聖カタリナ,松山南,川之江,今治工,今治西,7,3
2021,,新田,聖カタリナ学園,松山商,川之江,宇和島東,東温,西条,丹原,12,2
2022,,帝京五,新田,今治西,松山学院,今治北,北条,吉田,聖カタリナ学園,6,4
2023,,川之江,今治西,松山聖陵,聖カタリナ学園,内子,新田,今治工,松山学院,5,4
2024,,聖カタリナ学園,西条,済美,松山中央,宇和島東,松山商,松山北,新田,7,6
2025,,済美,松山商,宇和島東,小松,新田,今治西,西条,帝京五,4,3
