# 福井単独開催の選手権福井大会のみ収録(合同予選の年は対象外)
# 出典: bibijr.vivian.jp(高校野球データベース)のトーナメント表より集計
年,ブロック,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
1958,,敦賀,若狭,勝山精華,三国,大野,北陸,丸岡,鯖江,5,2
1963,,若狭,敦賀,丸岡,福井商,福井農林,三国,藤島,福井実,3,2
1968,,若狭,北陸,羽水,敦賀,福井農林,武生工,武生商,福井,6,1
1973,,福井商,三国,美方,若狭,福井,北陸,丸岡,丹生,16,1
1978,,福井商,敦賀,美方,北陸,大野,福井,敦賀工,高志,9,0
1979,,敦賀,福井,福井商,武生工,美方,勝山,三国,若狭,2,1
1980,,敦賀,若狭,北陸,武生工,丹生,三国,鯖江,春江工,5,4
1981,,福井商,若狭,北陸,武生工,福井,敦賀,武生商,三国,12,5
1982,,福井,福井商,美方,足羽,鯖江,丹生,武生,武生工,4,3
1983,,北陸,足羽,鯖江,羽水,武生工,大野,敦賀,若狭,5,2
1984,,福井商,若狭,敦賀,武生,敦賀工,春江工,北陸,藤島,9,0
1985,,福井,福井商,敦賀,北陸,丹生,羽水,丸岡,三国,8,0
1986,,福井商,若狭,藤島,北陸,丹生,敦賀,足羽,福井,6,3
1987,,福井商,鯖江,福井農林,北陸,若狭,坂井農,丹生,福井,7,2
1988,,福井商,北陸,足羽,福井,武生,大野,鯖江,美方,4,3
1989,,福井商,北陸,高志,足羽,若狭,鯖江,武生工,丹生,2,0
1990,,大野,福井商,福井農林,敦賀,福井,武生商,北陸,武生,8,2
1991,,福井,福井商,北陸,丹生,武生商,敦賀,大野,武生,6,5
1992,,北陸,福井商,大野,足羽,科学技術,武生,福井,敦賀工,9,4
1993,,福井商,福井,若狭,足羽,大野,敦賀,武生工,鯖江,4,1
1994,,敦賀気比,福井商,大野,北陸,丹生,鯖江,敦賀工,福井,5,1
1995,,敦賀気比,福井商,福井,高志,鯖江,敦賀,足羽,北陸,3,1
1996,,福井商,福井,敦賀,敦賀気比,足羽,北陸,敦賀工,武生商,2,1
1997,,敦賀気比,福井商,鯖江,福井,足羽,大野東,丹生,若狭,5,4
1998,,敦賀気比,福井商,美方,若狭,福井農林,羽水,福井,敦賀,11,4
1999,,敦賀,福井商,鯖江,北陸,若狭,福井,藤島,敦賀気比,6,5
2000,,福井商,敦賀気比,足羽,若狭,敦賀,美方,高志,大野,3,2
2001,,福井商,敦賀気比,北陸,若狭,美方,科学技術,三国,鯖江,11,3
2002,,福井,福井商,敦賀気比,科学技術,足羽,鯖江,若狭,大野東,11,6
2003,,福井商,福井,鯖江,敦賀気比,若狭,敦賀,北陸,藤島,2,1
2004,,福井,若狭,足羽,福井商,北陸,科学技術,藤島,敦賀気比,5,3
2005,,福井商,福井,足羽,敦賀気比,羽水,春江工,北陸,丹生,4,1
2006,,福井商,鯖江,三国,敦賀,若狭,福井,羽水,藤島,8,6
2007,,福井商,福井工大福井,敦賀,敦賀気比,大野,大野東,敦賀工,福井農林,3,1
2008,,福井商,北陸,敦賀気比,福井工大福井,若狭,丸岡,羽水,科学技術,19,2
2009,,敦賀気比,北陸,福井工大福井,福井商,敦賀,武生工,科学技術,大野東,5,4
2010,,福井商,福井工大福井,大野,敦賀工,敦賀気比,藤島,敦賀,羽水,4,1
2011,,福井商,福井工大福井,敦賀気比,武生商,鯖江,北陸,羽水,丹生,8,1
2012,,福井工大福井,福井商,敦賀気比,藤島,若狭,武生商,敦賀工,三国,8,7
2013,,福井商,春江工,福井農林,敦賀工,敦賀気比,武生商,鯖江,北陸,2,0
2014,,敦賀気比,福井工大福井,啓新,奥越明成,武生商,北陸,福井商,高志,10,2
2015,,敦賀気比,福井工大福井,美方,啓新,足羽,武生工,若狭,福井商,4,3
2016,,北陸,福井商,坂井,奥越明成,啓新,若狭,福井工大福井,美方,6,5
2017,,坂井,敦賀,福井商,武生商,武生,啓新,福井高専,敦賀気比,3,0
2018,,敦賀気比,若狭,敦賀,坂井,美方,福井商,啓新,福井高専,2,1
2019,,敦賀気比,丹生,福井工大福井,福井商,北陸,若狭,啓新,金津,3,0
2021,,敦賀気比,金津,福井工大福井,啓新,坂井,武生工・武生商工工,敦賀,北陸,7,0
2022,,敦賀気比,北陸,啓新,若狭,敦賀,福井工大福井,大野,丹生,8,4
2023,,北陸,福井商,丹生,福井工大福井,若狭,坂井,敦賀工,敦賀気比,6,5
2024,,北陸,敦賀気比,福井商,敦賀,福井工大福井,若狭,福井農林,坂井,4,1
2025,,敦賀気比,福井工大福井,北陸,坂井,福井商,啓新,美方,大野,7,3
