# 福岡単独開催の選手権福岡大会のみ収録(合同予選の年は対象外)
# 出典: bibijr.vivian.jp(高校野球データベース)のトーナメント表より集計
年,ブロック,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
1948,,小倉,伝習館,修猷館,八幡,三池,若松,小倉商,明善,1,0
1949,,小倉北,八幡,豊国学園,修猷館,明善,博多工,三池,門司南,5,2
1950,,小倉,三池,八幡,柳川商,八女,伝習館,小倉中央,若松,7,3
1951,,小倉,伝習館,西田川,筑紫丘,三池,南筑,嘉穂,東筑,7,0
1952,,三池,伝習館,筑紫丘,嘉穂東,八幡,東筑,常磐,柳川商,12,4
1953,,東筑,戸畑,小倉,福岡工,久留米商,南筑,三池,若松,2,1
1954,,小倉,嘉穂東,福岡,糸島,三池,小倉南,南筑,築上中部,10,2
1955,,小倉,門司東,伝習館,三池,久留米商,戸畑,福岡工,嘉穂,4,1
1956,,小倉,戸畑,三池農,久留米商,大牟田南,東筑,福岡工,直方,5,2
1957,,戸畑,修猷館,小倉,筑豊,大牟田南,三池工,京都,福岡工,10,4
1958,,八女,小倉,戸畑,福岡工,常磐,三池,久留米商,小倉工,5,3
1959,,戸畑,東筑,八女,小倉,三池,八幡,久留米商,筑紫中央,5,0
1960,,戸畑,柳川商,久留米商,八女,福岡工,嘉穂東,八幡,小倉,4,3
1961,,戸畑,小倉,南筑,大牟田南,三池工,八幡工,久留米商,八幡中央,3,1
1962,,久留米商,小倉工,小倉,福岡大大濠,京都,福岡工,三池,東筑,8,0
1963,,柳川商,博多工,嘉穂東,小倉工,小倉,三池工,九州工,福岡大大濠,2,0
1964,,小倉工,八幡工,柳川商,八幡,博多工,飯塚商,福岡工,大牟田南,1,0
1965,,三池工,飯塚商,小倉,九州工,東筑,博多,福岡大大濠,三池農,6,4
1966,,小倉工,柳川商,九州工,福岡大大濠,三池工,博多工,小倉商,折尾,6,3
1967,,小倉工,九州工,飯塚商,八幡中央,博多工,久留米,博多商,福岡大大濠,3,0
1968,,飯塚商,博多,小倉,築上中部,九州工,小倉商,福岡大大濠,東筑,8,1
1969,,飯塚商,直方学園,八幡工,小倉工,筑紫中央,福岡大大濠,豊津,小倉商,3,0
1970,,九州工,博多工,小倉商,筑紫中央,福岡大大濠,小倉,筑紫工,折尾,4,1
1971,,筑紫工,八女工,東筑,三池工,九州工,門司工,宗像,東福岡,4,3
1972,,東筑,戸畑商,小倉商,京都,小倉,九州工,八女工,築上中部,1,0
1973,,柳川商,直方学園,福岡大大濠,筑紫工,三池工,東海大五,小倉,福岡第一,5,0
1974,,福岡第一,小倉南,南筑,柳川商,八幡工,小倉工,東福岡,鞍手,4,3
1975,,小倉南,柳川商,南筑,香椎工,筑紫中央,門司工,戸畑商,戸畑工,2,1
1976,,柳川商,九州工,南筑,嘉穂,小倉工,京都,福岡,東海大五,10,1
1977,,九州産,柳川商,福岡工,八幡大付,八幡工,小倉商,小倉工,八女工,8,5
1978,,東筑,柳川商,八幡大付,戸畑,鞍手,折尾,久留米商,九州工,1,0
1979,,八幡大付,嘉穂,大牟田,新宮,久留米商,小倉,福岡工,戸畑商,6,0
1980,,田川,嘉穂,九州工,博多工,明善,福岡大大濠,久留米商,稲築,3,2
1981,,福岡大大濠,九州産,久留米商,豊国学園,八幡大付,博多工,筑紫丘,新宮,10,4
1982,,八幡大付,博多工,東海大五,柳川,久留米商,嘉穂,東筑,八幡西,12,3
1983,,久留米商,福岡,柳川,東筑,八幡工,嘉穂,大牟田,小倉,8,2
1984,,福岡大大濠,八幡大付,小倉,東筑,八幡西,八幡工,戸畑,豊国学園,10,0
1985,,久留米商,福岡第一,東筑,門司,戸畑商,鞍手,小倉,八幡大付,6,3
1986,,西日本短大付,豊国学園,嘉穂東,柳川,福岡大大濠,黒木,東海大五,東筑,6,2
1987,,東筑,柳川,西日本短大付,嘉穂,福岡大大濠,常磐,伝習館,福岡工,4,0
1988,,福岡第一,八幡大付,筑紫丘,柳川,八幡西,常磐,豊津,九州産,12,3
1989,,福岡大大濠,西日本短大付,博多工,修猷館,九産大九州,筑紫工,柳川,沖学園,6,4
1990,,西日本短大付,福岡工大付,柳川,戸畑商,飯塚,小倉,黒木,東福岡,9,4
1991,,柳川,沖学園,西日本短大付,九州産,東福岡,福岡工大付,大川工,九州国際大付,2,1
1992,,西日本短大付,福岡工大付,柳川,小倉,八幡西,久留米工大付,九産大九州,九州産,4,1
1993,,東福岡,小倉東,福岡工大付,小倉,福岡大大濠,北筑,九州産,西日本短大付,6,0
1994,,九州工,九州国際大付,小倉,福岡工大付,福岡西陵,西日本短大付,九共大八幡西,久留米商,6,4
1995,,柳川,福岡工大付,西日本短大付,小倉東,沖学園,東福岡,久留米工大付,北九州,6,4
1996,,東筑,東福岡,福岡大大濠,福岡工,九州国際大付,常磐,東海大五,西日本短大付,2,1
1997,,福岡工大付,柳川,小倉東,九産大九州,東筑,東海大五,東筑紫学園,沖学園,7,5
1998,,東福岡,東筑,福岡工大付,柳川,福岡工,九産大九州,西日本短大付,八幡,13,0
1999,,東福岡,九産大九州,大牟田,柳川,西日本短大付,九州国際大付,福岡工大付,筑陽学園,5,2
2000,,柳川,福岡工大付,直方,東筑紫学園,東福岡,糸島,筑陽学園,小倉,3,1
2001,,九産大九州,福岡工,戸畑商,柳川,筑紫台,東筑,東福岡,八幡,10,1
2002,,柳川,九州国際大付,福岡第一,九産大九産,筑陽学園,鞍手,自由ケ丘,福岡大大濠,11,8
2003,,筑陽学園,九産大九州,戸畑商,西日本短大付,直方,東筑,八幡,八女,13,8
2004,,西日本短大付,福岡第一,中間,東筑紫学園,九産大九産,筑紫台,沖学園,筑陽学園,6,0
2005,,柳川,戸畑商,東筑,沖学園,九州国際大付,博多工,久留米商,小倉東,4,2
2006,,福岡工大城東,柳川,筑陽学園,飯塚,久留米商,戸畑,戸畑商,香椎工,14,1
2007,,東福岡,沖学園,飯塚,祐誠,福岡第一,西日本短大付,自由ケ丘,小倉,9,5
2008,,飯塚,沖学園,豊国学園,東福岡,九州国際大付,稲築志耕館,福岡工大城東,鞍手,6,1
2009,,九州国際大付,筑陽学園,自由ケ丘,修猷館,東筑,戸畑,福岡工大城東,糸島,9,0
2010,,西日本短大付,東福岡,飯塚,東海大五,糸島,九州国際大付,小倉,戸畑,4,0
2011,,九州国際大付,東筑,大牟田,福岡工大城東,福岡工,東鷹,飯塚,武蔵台,11,2
2012,,飯塚,福岡第一,福岡大大濠,九産大九産,青豊,東福岡,西日本短大付,九州国際大付,4,2
2013,,自由ケ丘,南筑,九産大九州,門司学園,東海大五,祐誠,東福岡,福岡工大城東,9,1
2014,,九州国際大付,北筑,自由ケ丘,東筑,西日本短大付,筑陽学園,折尾愛真,筑紫,16,0
2015,,九州国際大付,東海大五,小倉,八幡南,朝倉,東筑,飯塚,希望が丘,4,0
2016,,九州国際大付,福岡工大城東,真颯館,福岡第一,自由ケ丘,北九州,星琳,祐誠,4,3
2017,,東筑,福岡大大濠,西日本短大付,久留米商,福岡工大城東,春日,小倉工,筑陽学園,3,1
2018,北,折尾愛真,飯塚,北九州,小倉,東筑紫学園,自由ケ丘,小倉工,鞍手竜徳,12,9
2019,,筑陽学園,西日本短大付,東筑,九州国際大付,小倉工,福岡大大濠,自由ケ丘,春日,7,4
2021,,西日本短大付,真颯館,筑陽学園,飯塚,福岡大大濠,柳川,九州国際大付,戸畑,5,0
2022,,九州国際大付,筑陽学園,小倉工,飯塚,東筑,福岡第一,西日本短大付,育徳館,1,0
2023,,九州国際大付,東筑,希望が丘,大牟田,近大福岡,真颯館,東海大福岡,祐誠,2,1
2024,,西日本短大付,福岡大大濠,近大福岡,福岡大若葉,春日,飯塚,東海大福岡,九州国際大付,5,2
2025,,西日本短大付,九州国際大付,福岡工,東筑紫学園,東福岡,福島,八女学院,北筑,10,1
