# 福島単独開催の選手権福島大会のみ収録(合同予選の年は対象外)
# 出典: bibijr.vivian.jp(高校野球データベース)のトーナメント表より集計
年,ブロック,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
1958,,福島商,川俣,若松商,安積,平商,内郷,会津工,福島農蚕,4,3
1963,,磐城,福島商,保原,川俣,福島,安積,会津工,若松商,6,0
1968,,磐城,福島商,平商,田村,原町,保原,会津工,福島農蚕,6,4
1973,,双葉,学法石川,平商,平工,四倉,磐城,塙工,安積,2,1
1974,,福島商,学法石川,湯本,東白川農商,内郷,安積,田村,保原,1,0
1975,,磐城,白河農工,勿来工,郡山工,福島商,日大東北工,福島,安積,4,0
1976,,学法石川,郡山西工,双葉,郡山商,田村,勿来工,東白川農商,安積商,2,1
1977,,福島商,小野,日大東北工,会津,船引,安積,安積商,福島,4,0
1978,,郡山北工,安積商,白河,勿来工,須賀川,会津工,田村,小高工,3,2
1979,,安積商,福島商,日大東北,磐城,白河実,平商,会津工,本宮,10,1
1980,,双葉,学法石川,磐城,日大東北,棚倉,平工,福島工,若松商,9,0
1981,,福島商,安積,平工,棚倉,湯本,福島,白河,安積商,4,1
1982,,安積商,学法石川,福島,平工,磐城,湯本,福島商,勿来工,4,3
1983,,学法石川,棚倉,平工,日大東北,学法福島,保原,須賀川,原町,3,1
1984,,学法石川,磐城,郡山,平工,会津農林,勿来工,郡山北工,福島北,6,1
1985,,磐城,若松商,日大東北,福島北,学法石川,福島東,平工,須賀川,4,3
1986,,学法石川,日大東北,小高工,喜多方,富岡川内,四倉,福島商,福島,7,6
1987,,日大東北,郡山,学法石川,郡山商,平工,若松商,磐城第二,富岡川内,12,0
1988,,学法石川,白河実,安積,勿来工,磐城第二,湯本,田村,日大東北,5,3
1989,,学法石川,磐城,安積,湯本,聖光学院,原町,双葉,郡山,4,2
1990,,日大東北,磐城,福島商,湯本,福島東,白河,安達,平工,3,2
1991,,学法石川,双葉,本宮,原町,安積,船引,会津工,相馬,5,2
1992,,郡山,湯本,相馬,白河,磐城第二,学法石川,喜多方,原町,5,1
1993,,学法石川,東白川農商,福島北,双葉,清陵情報,日大東北,磐城,会津工,7,1
1994,,双葉,福島商,日大東北,福島東,東白川農商,安積,白河,学法石川,4,2
1995,,磐城,郡山,福島商,聖光学院,会津工,双葉,帝京安積,福島東,6,3
1996,,日大東北,勿来工,郡山商,須賀川,郡山,福島商,清陵情報,学法石川,6,0
1997,,日大東北,学法石川,平工,清陵情報,福島商,田村,小高工,福島東,8,6
1998,,日大東北,学法石川,会津工,二本松工,平工,安積,須賀川,田村,3,2
1999,,学法石川,日大東北,福島商,光南,郡山北工,喜多方商,小高工,須賀川,9,8
2000,,福島商,光南,学法石川,会津工,小高工,会津,平工,安積,5,1
2001,,聖光学院,日大東北,勿来,磐城,光南,岩瀬農,学法石川,双葉,8,7
2002,,日大東北,学法石川,会津,小高工,安積,平工,勿来,東日大昌平,8,7
2003,,日大東北,聖光学院,安達,二本松工,富岡,田村,勿来工,郡山東,3,0
2004,,聖光学院,清陵情報,双葉,安積,いわき総合,福島,磐城,日大東北,5,1
2005,,聖光学院,学法石川,湯本,安積,双葉,小野,東日大昌平,日大東北,4,0
2006,,光南,日大東北,湯本,郡山商,白河,安積,会津工,若松商,4,2
2007,,聖光学院,日大東北,東日大昌平,福島商,湯本,富岡,会津農林,学法石川,4,3
2008,,聖光学院,郡山商,小高工,湯本,学法石川,磐城,安積,福島商,4,3
2009,,聖光学院,東日大昌平,光南,日大東北,学法福島,白河実,白河,郡山商,5,3
2010,,聖光学院,光南,小高工,白河,会津工,磐城,原町,福島東,3,0
2011,,聖光学院,須賀川,いわき光洋,小高工,白河,東日大昌平,学法福島,日大東北,4,0
2012,,聖光学院,学法石川,光南,須賀川,磐城,須賀川桐陽,平工,喜多方,14,2
2013,,聖光学院,日大東北,小高工,福島東,学法石川,光南,白河,安達,5,4
2014,,聖光学院,日大東北,いわき光洋,白河,若松商,学法石川,福島商,安達,7,6
2015,,聖光学院,日大東北,福島工,福島商,田村,東日大昌平,郡山商,白河実,3,2
2016,,聖光学院,光南,日大東北,学法福島,小高工,磐城,会津,学法石川,6,5
2017,,聖光学院,いわき光洋,日大東北,福島商,小高産業技術,学法石川,光南,磐城,5,4
2018,,聖光学院,福島商,いわき海星,湯本,いわき光洋,福島,平工,光南,15,2
2019,,聖光学院,日大東北,東日大昌平,光南,白河旭,郡山,ふたば未来学園,学法福島,2,0
2021,,日大東北,光南,福島商,福島成蹊,聖光学院,東日大昌平,学法石川,相馬,5,4
2022,,聖光学院,光南,東日大昌平,田村,日大東北,いわき光洋,学法石川,学法福島,6,3
2023,,聖光学院,学法石川,郡山,会津北嶺,ふたば未来学園,光南,磐城,田村,11,10
2024,,聖光学院,学法石川,磐城,相馬,いわき湯本,東日大昌平,田村,須賀川創英館,4,1
2025,,聖光学院,会津北嶺,光南,学法石川,日大東北,田村,学法福島,福島成蹊,10,3
