# 岐阜単独開催の選手権岐阜大会のみ収録(合同予選の年は対象外)
# 出典: bibijr.vivian.jp(高校野球データベース)のトーナメント表より集計
年,ブロック,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
1958,,多治見工,岐阜工,大垣工,県岐阜商,大垣商,岐阜東,岐阜,長良,2,0
1963,,大垣商,大垣北,県岐阜商,関,岐阜農林,瑞浪,多治見工,岐阜,3,0
1968,,岐阜南,中京商,岐阜東,岐阜短大付,県岐阜商,多治見工,加茂,関,3,1
1973,,中京商,市岐阜商,加茂,県岐阜商,岐阜西工,中津商,土岐商,関,5,0
1975,,中京商,岐阜第一,県岐阜商,土岐商,可児工,岐阜,市岐阜商,長良,17,0
1976,,市岐阜商,岐阜工,中京商,関商工,岐阜第一,瑞浪,海津,長良,7,3
1977,,土岐商,岐阜南,中京商,岐阜,長良,大垣南,揖斐,大垣工,6,1
1978,,県岐阜商,長良,岐阜第一,岐阜西工,岐阜,大垣北,多治見工,大垣商,1,0
1979,,県岐阜商,多治見工,中京商,長良,中津商,岐阜西工,不破,岐阜,6,0
1980,,美濃加茂,岐阜西工,中京商,大垣北,土岐,郡上北,岐阜東,大垣商,9,1
1981,,岐阜南,県岐阜商,美濃加茂,中京商,岐阜高専,関商工,長良,岐阜西工,3,2
1982,,県岐阜商,岐阜第一,美濃加茂,中京商,高山工,加茂,岐阜,岐阜南,5,2
1983,,岐阜第一,岐阜,県岐阜商,高山工,岐阜高専,大垣工,大垣,市岐阜商,8,4
1984,,県岐阜商,市岐阜商,大垣商,岐阜第一,美濃加茂,不破,関,岐阜高専,5,4
1985,,県岐阜商,市岐阜商,長良,加茂,中京商,東濃実,大垣,中津商,5,1
1986,,県岐阜商,美濃加茂,岐阜第一,大垣東,岐阜南,岐阜三田,大垣,大垣南,4,1
1987,,県岐阜商,岐阜工,岐南工,岐阜南,岐阜三田,岐阜西工,美濃加茂,大垣商,8,6
1988,,大垣商,県岐阜商,市岐阜商,各務原西,大垣,岐阜第一,岐阜三田,東濃実,5,1
1989,,県岐阜商,岐阜南,斐太,岐阜第一,大垣東,東濃実,大垣日大,岐阜,6,4
1990,,美濃加茂,県岐阜商,東濃実,益田,大垣商,市岐阜商,中京商,岐阜三田,7,3
1991,,市岐阜商,岐阜南,大垣南,大垣商,県岐阜商,岐阜工,加納,加茂,3,1
1992,,県岐阜商,大垣南,中京商,岐阜三田,山県,大垣日大,可児工,岐阜南,12,1
1993,,東濃実,県岐阜商,大垣北,大垣商,長良,岐阜第一,武義,岐阜南,3,2
1994,,大垣商,大垣南,大垣日大,大垣工,岐阜西工,土岐商,長良,岐阜工,8,0
1995,,県岐阜商,大垣商,市岐阜商,岐阜三田,東濃実,岐阜高専,土岐北,中津商,6,4
1996,,県岐阜商,岐阜教大付,土岐商,可児,中京商,長良,加納,美濃加茂,7,2
1997,,県岐阜商,土岐商,岐阜第一,大垣商,大垣南,中津川工,中京商,岐阜南,8,5
1998,,岐阜三田,長良,武義,土岐商,県岐阜商,海津,美濃加茂,市岐阜商,11,7
1999,,県岐阜商,大垣南,岐阜南,関商工,長良,大垣商,羽島北,関,12,0
2000,,中京商,岐阜南,岐阜三田,東濃実,大垣商,大垣日大,斐太,土岐商,7,3
2001,,岐阜三田,美濃加茂,岐阜,県岐阜商,岐阜第一,岐山,加茂,大垣商,16,2
2002,,中京,市岐阜商,土岐商,美濃加茂,土岐紅陵,清翔,東濃実,武義,5,1
2003,,市岐阜商,岐阜総合学園,中京,土岐商,岐阜三田,県岐阜商,大垣日大,美濃加茂,3,2
2004,,県岐阜商,岐阜総合学園,岐阜城北,中津商,益田,大垣商,中京,土岐商,3,2
2005,,土岐商,岐阜城北,山県,県岐阜商,市岐阜商,岐阜,中京,大垣南,3,1
2006,,県岐阜商,大垣商,市岐阜商,可児,中京,大垣日大,中津商,清翔,9,1
2007,,大垣日大,岐阜総合学園,関商工,岐阜城北,中京,美濃加茂,市岐阜商,清翔,5,0
2008,,市岐阜商,大垣南,土岐商,中京,美濃加茂,大垣商,富田,本巣松陽,8,2
2009,,県岐阜商,各務原,中京,岐阜城北,長良,土岐商,瑞浪,大垣東,2,0
2010,,土岐商,県岐阜商,多治見,大垣日大,帝京大可児,山県,大垣商,市岐阜商,4,3
2011,,関商工,大垣商,郡上,県岐阜商,大垣日大,美濃加茂,中京,岐阜城北,5,0
2012,,県岐阜商,関商工,中京,大垣商,帝京大可児,岐阜城北,市岐阜商,麗沢瑞浪,2,1
2013,,大垣日大,市岐阜商,県岐阜商,中京,帝京大可児,美濃加茂,土岐商,長良,7,4
2014,,大垣日大,岐阜工,県岐阜商,岐阜総合学園,中京,岐阜東,大垣南,大垣北,11,2
2015,,岐阜城北,斐太,大垣日大,県岐阜商,東濃実,岐阜各務野,市岐阜商,中京,7,3
2016,,中京,大垣日大,長良,市岐阜商,岐阜各務野,県岐阜商,関商工,美濃加茂,3,2
2017,,大垣日大,中京学院大中京,市岐阜商,大垣商,美濃加茂,加納,岐阜聖徳学園,海津明誠,6,3
2018,,大垣日大,大垣商,岐阜第一,市岐阜商,中京学院大中京,大垣南,東濃実,岐阜,7,1
2019,,中京学院大中京,大垣日大,大垣商,岐阜第一,土岐商,岐阜各務野,県岐阜商,美濃加茂,8,6
2021,,県岐阜商,市岐阜商,岐阜各務野,大垣日大,岐阜工,海津明誠,岐阜城北,加茂農林,4,3
2022,,県岐阜商,帝京大可児,岐阜第一,中京,岐阜聖徳学園,美濃加茂,岐阜城北,池田,7,6
2023,,大垣日大,市岐阜商,帝京大可児,県岐阜商,大垣養老,岐阜第一,中京,長良,4,3
2024,,岐阜城北,県岐阜商,岐阜第一,岐阜各務野,中京,岐阜,大垣工,大垣日大,6,5
2025,,県岐阜商,帝京大可児,中京,関商工,多治見工,大垣北,岐阜第一,高山西,10,0
