# 群馬単独開催の選手権群馬大会のみ収録(合同予選の年は対象外)
# 出典: bibijr.vivian.jp(高校野球データベース)のトーナメント表より集計
年,ブロック,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
1958,,桐生,富岡,太田,高崎,高崎商,伊勢崎,前橋商,前橋工,7,3
1963,,桐生,前橋工,桐生工,沼田,東農大二,高崎商,渋川,高崎工,4,0
1968,,前橋工,桐生,桐生市商,藤岡工,高崎商,前橋育英,太田工,東農大二,5,3
1973,,前橋工,利根商,高崎商,富岡,桐生市商,関東学園,桐生工,東農大二,4,3
1978,,桐生,前橋工,東農大二,前橋,前橋商,勢多農林,榛名,太田工,8,6
1979,,前橋工,東農大二,桐生工,太田,前橋育英,桐生市商,利根商,伊勢崎商,3,2
1980,,前橋工,樹徳,東農大二,勢多農林,桐生工,高崎,前橋商,太田工,1,0
1981,,前橋工,高崎商,伊勢崎商,中央,吉井,桐生工,前橋商,東農大二,2,0
1982,,東農大二,高崎商,前橋工,関東学園,利根商,樹徳,高崎,吉井,8,5
1983,,太田工,前橋工,桐生工,東農大二,高崎,樹徳,桐生,渋川,2,1
1984,,高崎商,中央,伊勢崎商,太田,館林,佐波農,前橋,桐生,7,0
1985,,東農大二,樹徳,中央,前橋,伊勢崎商,桐生市商,前橋工,桐生工,5,0
1986,,前橋商,関東学園大付,桐生工,桐生市商,樹徳,前橋育英,東農大二,高崎商,5,4
1987,,中央,前橋工,高崎,樹徳,高崎工,前橋,藤岡,東農大二,4,3
1988,,高崎商,利根商,伊勢崎工,前橋商,桐生市商,東農大二,桐生工,桐丘,6,1
1989,,東農大二,前橋商,伊勢崎商,樹徳,桐生第一,桐生市商,太田東,前橋工,6,4
1990,,高崎商,前橋工,前橋,富岡,伊勢崎東,太田,玉村,太田工,7,0
1991,,樹徳,前橋工,中央,関東学園大付,高崎工,伊勢崎東,玉村,藤岡,3,2
1992,,樹徳,太田市商,前橋商,前橋工,前橋育英,桐生,利根商,太田東,3,1
1993,,桐生第一,利根商,中央,富岡,前橋工,前橋西,前橋商,前橋育英,2,0
1994,,東農大二,前橋工,太田市商,太田,前橋,桐生第一,高崎工,桐生,9,4
1995,,桐生第一,高崎商,前橋工,嬬恋,伊勢崎工,富岡,常磐,利根商,5,2
1996,,前橋工,常磐,前橋商,高崎,太田市商,前橋西,前橋,太田工,6,1
1997,,前橋工,前橋,利根商,前橋商,桐生工,富岡実,東農大二,桐生第一,8,2
1998,,桐生第一,太田市商,東農大二,前橋工,伊勢崎東,藤岡,太田東,高崎,4,1
1999,,桐生第一,沼田,高崎商,勢多農林,高崎工,前橋商,中央,桐生,10,1
2000,,桐生第一,前橋工,前橋,高崎商,桐生市商,榛名,前橋商,東農大二,5,0
2001,,前橋工,太田工,太田市商,桐生,桐生第一,前橋,館林,高崎北,8,2
2002,,桐生市商,太田市商,桐生第一,前橋,館林商工,樹徳,高崎北,高崎商,1,0
2003,,桐生第一,前橋商,前橋育英,桐生,高崎商,桐生工,榛名,太田,6,3
2004,,桐生第一,前橋工,利根商,高崎,前橋,前橋育英,樹徳,高崎経大付,3,2
2005,,前橋商,太田市商,桐生第一,高崎商,前橋育英,前橋,東農大二,桐生市商,8,4
2006,,桐生第一,前橋工,東農大二,桐生市商,樹徳,関東学園大付,高崎,伊勢崎興陽,2,1
2007,,前橋商,桐生第一,高崎商,前橋育英,前橋,健大高崎,西邑楽,桐生市商,3,2
2008,,桐生第一,樹徳,伊勢崎,桐生市商,常磐,太田工,前橋育英,前橋工,2,1
2009,,東農大二,樹徳,桐生南,市前橋,桐生,富岡,健大高崎,太田,2,0
2010,,前橋商,前橋工,前橋,健大高崎,太田東,前橋育英,館林,太田工,3,1
2011,,健大高崎,高崎商,桐生市商,前橋工,樹徳,利根商,高崎,前橋商,10,6
2012,,高崎商,桐生市商,桐生南,前橋育英,伊勢崎清明,利根実,前橋商,館林,2,0
2013,,前橋育英,東農大二,樹徳,前橋工,前橋,太田東,関東学園大付,健大高崎,3,0
2014,,健大高崎,伊勢崎清明,桐生第一,高崎経済大付,沼田,前橋商,明和県央,樹徳,1,0
2015,,健大高崎,桐生第一,前橋商,高崎商,関東学園大付,太田,伊勢崎清明,樹徳,5,4
2016,,前橋育英,健大高崎,前橋工,伊勢崎清明,桐生市商,樹徳,利根商,桐生西,8,4
2017,,前橋育英,健大高崎,明和県央,東農大二,常磐,桐生南,前橋商,前橋東,6,4
2018,,前橋育英,健大高崎,関東学園大付,高崎商,前橋商,藤岡中央,伊勢崎清明,前橋工,6,5
2019,,前橋育英,前橋商,桐生第一,関東学園大付,市太田,高崎商大付,利根商,樹徳,3,0
2021,,前橋育英,健大高崎,太田,利根商,渋川,樹徳,関東学園大付,東農大二,6,1
2022,,樹徳,健大高崎,桐生第一,利根商,前橋育英,前橋東,関東学園大付,桐生市商,6,4
2023,,前橋商,桐生第一,健大高崎,樹徳,関東学園大付,高崎商,伊勢崎清明,前橋育英,3,2
2024,,健大高崎,前橋商,前橋育英,樹徳,高崎経大付,前橋東,東農大二,明和県央,5,1
2025,,健大高崎,前橋育英,東農大二,高崎,利根商,桐生第一,前橋商,桐生市商,4,3
