# 広島単独開催の選手権広島大会のみ収録(合同予選の年は対象外)
# 出典: bibijr.vivian.jp(高校野球データベース)のトーナメント表より集計
年,ブロック,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
1958,,尾道商,広島商,呉港,三原,広島国泰寺,修道,広陵,盈進商,3,2
1959,,広陵,盈進商,松本商,三次,世羅,廿日市,福山誠之館,忠海,11,1
1960,,盈進商,尾道商,大竹,呉港,三次,福山誠之館,芸南,広島商,2,0
1961,,崇徳,広陵,廿日市,呉港,尾道商,日彰館,修道,広島商,1,0
1962,,広陵,三次,大竹,呉商,福山工,日彰館,海田,廿日市,2,0
1963,,広陵,福山工,三次,福山誠之館,呉工,広島商,崇徳,尾道商,16,2
1964,,広陵,尾道商,廿日市,山陽,尾道,福山誠之館,三次,広島商,5,0
1965,,広陵,福山電波工,崇徳,福山工,呉港,尾道商,広島商,福山誠之館,5,0
1966,,広島商,北川工,尾道商,福山工,崇徳,戸手商,広島電機,忠海,8,0
1967,,広陵,広島商,尾道商,宮島工,北川工,呉港,三次,西城,3,1
1968,,広陵,広島商,尾道商,福山工,呉工,三次工,崇徳,大竹,12,2
1969,,広陵,福山誠之館,呉港,呉宮原,松永,大竹,広島工,福山電波工,9,3
1970,,広島商,広陵,尾道商,広島工,海田,世羅,広島工大工,竹原,4,1
1971,,広陵,盈進,広島商,崇徳,福山工,三次,呉工,呉商,8,0
1972,,広陵,福山工,広島工,府中,尾道工,広,本郷工,因島,8,0
1973,,広島商,崇徳,尾道商,盈進,府中,修道,北川工,山陽,4,2
1974,,盈進,竹原,廿日市,崇徳,広陵,広島国泰寺,因島,呉工,3,1
1975,,広島商,崇徳,尾道商,呉工,福山誠之館,瀬戸内,広陵,福山商,4,0
1976,,崇徳,尾道商,広島商,廿日市,福山商,福山誠之館,呉港,広島工,5,1
1977,,広島商,広島工,近大福山,福山誠之館,広島工大工,盈進,広陵,尾道,3,1
