# 兵庫単独開催の選手権兵庫大会のみ収録(合同予選の年は対象外)
# 出典: bibijr.vivian.jp(高校野球データベース)のトーナメント表より集計
年,ブロック,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
1915,,神戸二中,関西学院,御影師範,神戸一中,,,,,3,2
1916,,関西学院,神戸商,神戸二中,姫路師範,,,,,16,2
1917,,関西学院,御影師範,神戸二中,姫路師範,育英商,,,伊丹中,14,4
1918,,関西学院,神戸商,御影師範,伊丹中,神戸一中,神港商,神戸二中,兵庫中,3,2
1919,,神戸一中,神戸商,神戸二中,姫路師範,甲陽中,御影師範,関西学院,兵庫中,8,3
1920,,関西学院,神港商,神戸商,姫路中,甲陽中,神戸一中,明石農,育英商,8,2
1921,,神戸一中,甲陽中,姫路師範,神港商,神戸商,洲本中,関西学院,姫路中,2,1
1922,,神戸商,第一神港商,姫路中,神戸一中,豊岡中,甲陽中,関西学院,滝川中,1,0
1923,,甲陽中,姫路中,伊丹中,御影師範,第一神港商,滝川中,育英商,洲本中,4,3
1924,,第一神港商,甲陽中,三田中,神戸二中,神戸一中,村野工,兵庫県農,姫路中,12,0
1925,,第一神港商,神戸二中,甲陽中,関西学院,神戸三中,姫路中,豊岡中,三田中,10,1
1926,,第一神港商,関西学院,中外商,神戸二中,姫路中,甲南中,神戸三中,滝川中,2,1
1927,,第一神港商,甲陽中,第三神港商,関西学院,神戸商,伊丹中,明石中,神戸三中,8,3
1928,,甲陽中,神戸二中,第一神港商,姫路師範,三田中,姫路商,姫路中,神戸一中,4,3
1929,,関西学院,神戸一中,神戸商,神戸二中,小野中,第三神港商,甲陽中,神港中,7,4
1930,,甲陽中,明石中,御影師範,関西学院,神戸二中,伊丹中,姫路師範,育英商,3,0
1931,,第一神港商,育英商,中外商,村野工,明石中,神戸一中,御影師範,神戸商,3,0
1932,,明石中,甲陽中,神戸一中,姫路師範,神戸二中,第一神港商,関西学院,姫路商,3,0
1933,,明石中,育英商,神戸一中,御影師範,関西学院,滝川中,加古川中,第一神港商,3,0
1934,,神戸一中,明石中,姫路中,第一神港商,神戸商,滝川中,中外商,関西学院,2,1
1935,,育英商,明石中,滝川中,関西学院,姫路中,姫路商,神戸一中,御影師範,6,1
1936,,育英商,明石中,滝川中,尼崎中,神戸三中,甲陽中,伊丹中,神戸二中,7,1
1937,,滝川中,甲陽中,尼崎中,育英商,明石中,姫路中,第一神港商,神戸一中,2,1
1938,,甲陽中,滝川中,神戸二中,村野工,育英商,明石中,関西学院,洲本中,4,1
1939,,関西学院,明石中,育英商,神戸商,神戸二中,滝川中,村野工,報徳商,3,0
1940,,北神商,甲陽中,育英商,尼崎中,神戸商,飾磨商,姫路中,灘中,3,0
1946,,芦屋中,関西学院,甲陽中,神戸一中,灘中,鳴尾中,滝川中,阪神商,4,0
1947,,神戸一中,三田中,神戸二中,芦屋中,尼崎中,中外商,市神戸商,滝川中,7,6
1948,,芦屋,神戸二,三田,滝川,県尼崎,北神商,龍野南,明石,5,3
1949,,芦屋,尼崎工,兵庫工,神戸,明石,鳴尾,市神戸,県尼崎,9,0
1950,,明石,兵庫工,県兵庫,洲本実,灘,芦屋,加古川東,育英,6,2
1951,,芦屋,育英,神戸,明石,加古川東,県兵庫,県西宮,市西宮,2,0
1952,,芦屋,育英,神戸商,滝川,赤穂,津名,洲本,姫路西,8,1
1953,,芦屋,育英,尼崎工,洲本,洲本実,市尼崎,星陵,県兵庫,13,3
1954,,滝川,赤穂,明石,市神港,加古川東,住友工,生野,県尼崎,2,0
1955,,市神戸商,明石,長田,加古川東,県芦屋,県兵庫,社,県西宮,4,2
1956,,県尼崎,洲本,育英,須磨,兵庫工,鳴尾,県伊丹,西脇,2,1
1957,,育英,県尼崎,赤穂,兵庫工,県芦屋,報徳学園,市神戸商,県兵庫,2,1
1958,,姫路南,報徳学園,私神港,兵庫工,滝川,篠山鳳鳴,甲陽学院,県芦屋,4,0
1959,,滝川,育英,加古川東,飾磨,県芦屋,県兵庫,尼崎北,須磨,2,0
1960,,明石,育英,尼崎工,県西宮,甲南,柏原,県尼崎,市神港,1,0
1961,,報徳学園,県尼崎,兵庫工,尼崎北,育英,県芦屋,滝川,葺合,2,0
1962,,滝川,柏原,姫路南,洲本実,関西学院,県尼崎,甲陽学院,県伊丹,6,0
