# 茨城単独開催の選手権茨城大会のみ収録(合同予選の年は対象外)
# 出典: bibijr.vivian.jp(高校野球データベース)のトーナメント表より集計
年,ブロック,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
1958,,水戸商,日立一,水戸工,茨城,竜ヶ崎一,水戸一,土浦一,日立工,10,5
1963,,水戸工,水戸商,水戸農,那珂湊一,竜ヶ崎一,水戸一商,日立一,日立工,8,7
1968,,取手一,日立工,土浦三,波崎,那珂湊一,水戸工,下館一,茨城,3,0
1973,,取手一,大宮,常北,太田一,取手二,土浦日大,竜ヶ崎一,日立一,2,1
1974,,土浦日大,取手二,太田一,磯原,常北,大宮,竜ヶ崎一,日立一,3,1
1975,,竜ヶ崎一,取手二,土浦三,鬼怒商,磯原,茨城キリスト,水戸一,水戸工,4,0
1976,,鉾田一,土浦日大,水戸一,岩井,太田一,取手二,鬼怒商,日立一,2,0
1977,,取手二,土浦日大,鉾田一,鹿島,鬼怒商,竜ヶ崎一,太田一,境,3,2
1978,,取手二,鉾田一,取手一,日立工,大宮,江戸崎西,水城,土浦日大,7,1
1979,,明野,竜ヶ崎一,緑岡,土浦日大,水戸商,取手二,鉾田一,下妻一,3,2
1980,,江戸川学園取手,下妻一,太田一,水戸商,土浦日大,日立商,明野,日立工,9,0
1981,,取手二,日立工,下妻一,鉾田一,水戸商,江戸川学園取手,磯原,水戸一,6,2
1982,,鉾田一,土浦日大,竜ヶ崎一,水戸商,太田一,高萩,取手二,水戸農,4,0
1983,,茨城東,水戸商,江戸川学園取手,日立一,土浦日大,鉾田一,佐竹,下妻一,6,3
1984,,取手二,竜ヶ崎一,水戸短大付,緑岡,日立一,勝田,岩井,土浦日大,13,3
1985,,日立一,土浦三,日立工,太田一,鉾田一,常総学院,緑岡,茨城高専,8,7
1986,,土浦日大,取手二,常総学院,江戸川学園取手,土浦三,緑岡,水戸商,波崎,6,3
1987,,常総学院,竜ヶ崎一,茨城東,日立一,藤代紫水,藤代,下妻一,牛久,7,2
1988,,常総学院,下妻一,水戸工,茨城キリスト,日立工,日立一,波崎柳川,茨城東,5,0
1989,,常総学院,日立工,鉾田一,茨城キリスト,土浦日大,竜ヶ崎南,茨城東,水戸農,12,0
1990,,竜ヶ崎一,水戸短大付,常総学院,日立一,日立工,緑岡,茎崎,佐竹,5,1
1991,,竜ヶ崎一,藤代紫水,水戸商,常総学院,日立一,水戸桜ノ牧,石岡一,鉾田一,2,1
1992,,常総学院,日立工,土浦日大,竜ヶ崎一,水戸商,日立一,藤代紫水,下館工,3,2
1993,,常総学院,水戸商,茎崎,土浦日大,竜ヶ崎南,土浦三,明野,東洋大牛久,2,0
1994,,水戸商,土浦日大,鉾田一,常総学院,水戸短大付,那珂湊一,水戸農,波崎,2,0
1995,,水戸商,竜ヶ崎一,日立一,下妻一,茨城キリスト,霞ヶ浦,土浦日大,伊奈,3,2
1996,,水戸短大付,伊奈,土浦湖北,常総学院,水戸農,土浦日大,日立工,科技学園日立,2,1
1997,,茨城東,水戸商,下妻一,鹿島学園,太田一,土浦日大,日立一,藤代紫水,4,1
1998,,常総学院,土浦日大,水戸商,茨城東,土浦三,伊奈,守谷,藤代紫水,8,4
1999,,水戸商,土浦三,竜ヶ崎一,常総学院,科技学園日立,伊奈,日立一,藤代,6,5
2000,,水戸商,常総学院,水戸短大付,藤代,波崎柳川,藤代紫水,松丘,竜ヶ崎一,5,3
2001,,常総学院,藤代,竜ヶ崎一,水戸商,土浦湖北,つくば秀英,波崎柳川,磯原,8,5
2002,,常総学院,水戸商,水戸短大付,竜ヶ崎一,日立一,土浦湖北,下妻二,つくば秀英,9,7
2003,,常総学院,藤代,水戸短大付,土浦湖北,東洋大牛久,水戸商,太田一,土浦一,7,1
2004,,下妻二,常総学院,明秀日立,磯原,水城,竜ヶ崎一,水戸葵陵,水戸桜ノ牧,8,2
2005,,藤代,波崎柳川,中央,常磐大高,常総学院,霞ヶ浦,下妻二,土浦湖北,2,1
2006,,常総学院,水戸桜ノ牧,霞ヶ浦,東洋大牛久,つくば秀英,下妻二,土浦日大,鹿島学園,10,4
2007,,常総学院,常磐大高,水戸葵陵,東洋大牛久,水戸桜ノ牧,竜ヶ崎一,土浦日大,藤代,8,3
2008,,常総学院,霞ヶ浦,土浦湖北,東洋大牛久,中央,多賀,鉾田一,水戸商,3,2
2009,,常総学院,水戸桜ノ牧,土浦日大,水戸葵陵,太田一,つくば秀英,明秀日立,下妻二,3,2
2010,,水城,霞ヶ浦,波崎柳川,水戸商,下妻二,下妻一,藤代,水戸桜ノ牧,11,0
2011,,藤代,霞ヶ浦,常総学院,水城,下妻二,鹿島学園,つくば秀英,土浦湖北,6,5
2012,,常総学院,水城,竜ヶ崎一,水戸商,藤代,水戸工,霞ヶ浦,水戸桜ノ牧,3,0
2013,,常総学院,霞ヶ浦,水城,鹿島学園,水戸工,下妻二,明秀日立,日立一,4,2
2014,,藤代,霞ヶ浦,常総学院,取手松陽,土浦湖北,牛久,石岡一,つくば秀英,12,3
2015,,霞ヶ浦,日立一,明秀日立,東洋大牛久,石岡一,下妻二,水城,鬼怒商,2,0
2016,,常総学院,明秀日立,下妻二,霞ヶ浦,常磐大高,竜ヶ崎一,水城,波崎柳川,1,0
2017,,土浦日大,霞ヶ浦,藤代,下妻二,竜ヶ崎一,常総学院,下妻一,水城,10,9
2018,,土浦日大,常総学院,霞ヶ浦,水戸商,明秀日立,取手一,中央,藤代,6,1
2019,,霞ヶ浦,常磐大高,水城,水戸商,石岡一,鹿島学園,常総学院,竜ヶ崎一,14,0
