# 石川単独開催の選手権石川大会のみ収録(合同予選の年は対象外)
# 出典: bibijr.vivian.jp(高校野球データベース)のトーナメント表より集計
年,ブロック,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
1958,,金沢桜丘,金沢二水,金沢市工,津幡,小松実,石川県工,輪島,金沢泉丘,13,1
1963,,金沢泉丘,金沢,大聖寺,金沢桜丘,小松,七尾商,金沢商,実践商,7,4
1968,,金沢桜丘,石川県工,小松工,金沢市工,羽咋工,金沢錦丘,鶴来,金沢,1,0
1973,,金沢市工,羽咋工,星稜,石川県工,金沢泉丘,七尾商,松任,金沢桜丘,6,4
1978,,金沢,星稜,七尾工,松陵工,金沢商,金沢錦丘,中島,羽咋工,13,1
1979,,星稜,輪島,金沢商,小松,松陵工,七尾商,寺井,松任,4,2
1980,,金沢,星稜,寺井,輪島,鹿西,金沢商,金沢泉丘,金沢市工,9,4
1981,,星稜,石川県工,寺井,金沢泉丘,小松,北陸大谷,金沢二水,金沢市工,4,0
1982,,星稜,金沢,輪島,津幡,中島,羽咋工,七尾工,金沢桜丘,6,5
1983,,小松明峰,星稜,七尾,金沢,金沢市工,石川県工,尾山台,金沢泉丘,4,3
1984,,星稜,金沢桜丘,小松,金沢,金沢市工,輪島,大聖寺,石川県工,5,4
1985,,北陸大谷,星稜,輪島,寺井,羽咋,七尾商,小松,加賀,7,4
1986,,小松,石川県工,金沢桜丘,七尾商,羽咋,七尾,寺井,輪島実,6,5
1987,,金沢,星稜,輪島実,羽咋,鹿西,野々市明倫,七尾工,大聖寺,1,0
1988,,金沢,津幡,北陸大谷,尾山台,大聖寺,小松明峰,金沢西,富来,8,5
1989,,星稜,金沢,金沢桜丘,石川県工,大聖寺,町野,寺井,小松,7,6
1990,,星稜,金沢,北陸大谷,七尾工,輪島実,津幡,金沢高専,飯田,4,0
1991,,星稜,北陸大谷,小松工,小松商,金沢市工,金沢泉丘,金沢,輪島,5,1
1992,,星稜,金沢市工,石川県工,大聖寺,小松商,金沢,津幡,北陸大谷,6,0
1993,,金沢,輪島,小松商,金沢二水,星稜,加賀,尾山台,七尾工,5,2
1994,,星稜,金沢,寺井,尾山台,小松工,小松,松陵工,津幡,7,1
1995,,星稜,金沢,寺井,七尾,金沢市工,七尾工,鹿西,金沢泉丘,4,1
1996,,金沢,七尾工,星稜,北陸大谷,金沢辰巳丘,尾山台,羽咋工,寺井,4,1
1997,,金沢,小松,七尾商,金沢泉丘,小松工,金沢市工,小松明峰,飯田,10,1
1998,,星稜,尾山台,大聖寺,金沢市工,小松,七尾,輪島実,小松工,11,0
1999,,小松,金沢辰巳丘,星稜,七尾,金沢市工,加賀,尾山台,輪島,9,3
2000,,小松工,金沢市工,星稜,北陸大谷,飯田,七尾,金沢,金沢東,1,0
2001,,金沢,星稜,遊学館,金沢向陽,北陸大谷,金沢桜丘,小松市立,加賀,17,6
2002,,遊学館,金沢,小松市立,羽咋,金沢市工,星稜,七尾,金沢泉丘,11,6
2003,,金沢,遊学館,金沢桜丘,金沢市工,金沢西,尾山台,金沢錦丘,野々市明倫,5,1
2004,,遊学館,金沢,金沢泉丘,小松市立,七尾,羽咋,日本航空二,小松,10,0
2005,,遊学館,金沢,金沢桜丘,星稜,金沢市工,尾山台,輪島,金沢泉丘,4,0
2006,,金沢,遊学館,星稜,尾山台,北陸大谷,小松工,石川県工,金沢西,7,3
2007,,星稜,野々市明倫,金沢東,遊学館,金沢商,金沢,石川県工,小松工,9,4
2008,,金沢,遊学館,金沢西,小松工,金沢東,寺井,小松明峰,星稜,10,9
2009,,日本航空石川,小松工,七尾,星稜,遊学館,金沢東,小松商,羽咋工,7,6
2010,,遊学館,尾山台,小松商,金沢,羽咋,小松大谷,星稜,金沢市工,7,3
2011,,金沢,遊学館,星稜,小松,金沢錦丘,野々市明倫,日本航空石川,金沢桜丘,8,5
2012,,遊学館,星稜,小松,鹿西,金沢,輪島,小松明峰,金沢学院東,6,0
2013,,星稜,遊学館,寺井,金沢,金沢桜丘,金沢市工,七尾東雲,小松大谷,5,2
2014,,星稜,小松大谷,金沢市工,遊学館,飯田,日本航空石川,寺井,七尾東雲,9,8
2015,,遊学館,金沢,津幡,小松大谷,鵬学園,小松工,金沢学院東,星稜,1,0
2016,,星稜,日本航空石川,小松大谷,遊学館,小松明峰,金沢泉丘,金沢商,金沢,7,5
2017,,日本航空石川,遊学館,星稜,寺井,小松大谷,金沢市工,北陸学院,津幡,5,2
2018,,星稜,金沢学院,金沢商,小松,小松大谷,遊学館,飯田,金沢市工,22,0
2019,,星稜,小松大谷,鵬学園,津幡,遊学館,日本航空石川,金沢龍谷,輪島,6,2
2021,,小松大谷,金沢,遊学館,日本航空石川,津幡,星稜,鵬学園,小松商,11,3
2022,,星稜,小松大谷,日本航空石川,鶴来,金沢市工,北陸学院,遊学館,金沢学院大付,4,3
2023,,星稜,遊学館,小松大谷,日本航空石川,金沢商,小松工,金沢学院大付,金沢,6,5
2024,,小松大谷,星稜,金沢学院大付,日本航空石川,小松商,遊学館,金沢,門前,5,0
2025,,小松大谷,金沢,北陸学院,星稜,小松工,遊学館,金沢商,日本航空石川,8,7
