# 岩手単独開催の選手権岩手大会のみ収録(合同予選の年は対象外)
# 出典: bibijr.vivian.jp(高校野球データベース)のトーナメント表より集計
年,ブロック,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
1958,,福岡,盛岡農,盛,盛岡商,一関一,山田,遠野,宮古,9,1
1963,,花巻北,黒沢尻工,北上農,軽米,岩泉,北上商,黒沢尻北,盛岡農,5,3
1968,,盛岡一,水沢,広田水産,盛岡三,水沢第一,岩手,黒沢尻工,花巻農,10,2
1973,,盛岡三,盛岡商,大槌,花巻商,岩谷堂農林,大船渡工,宮古水産,一関一,4,2
1974,,一関商工,水沢第一,盛岡三,福岡,一関工,黒沢尻北,専大北上,水沢,2,1
1975,,盛岡商,盛岡一,黒沢尻工,一関商工,岩泉,盛岡工,専大北上,宮古工,2,0
1976,,花北商,福岡,高田,花巻北,水沢第一,盛岡一,盛岡工,水沢商,10,1
1977,,黒沢尻工,福岡,久慈,盛岡一,雫石,水沢商,紫波,盛岡工,11,3
1978,,盛岡一,黒沢尻工,黒沢尻北,一関工,大東,宮古商,広田水産,遠野,3,1
1979,,久慈,福岡,盛岡工,水沢,平舘,盛岡四,花北商,盛岡商,3,1
1980,,福岡,水沢,一関商工,盛岡市立,広田水産,山田,宮古,大船渡工,2,1
1981,,盛岡工,一関商工,盛岡市立,広田水産,宮古商,盛岡一,盛岡北,谷村学院,4,1
1982,,盛岡工,宮古,盛岡三,住田,大船渡工,黒沢尻工,紫波,福岡,8,0
1983,,黒沢尻工,盛岡工,花巻東,水沢工,福岡,大船渡,釜石南,盛岡一,7,0
1984,,大船渡,一関商工,福岡,一戸,盛岡商,雫石,花巻北,大船渡工,6,0
1985,,福岡,水沢,盛岡工,花巻東,一関一,大東,盛岡市立,黒沢尻工,3,1
1986,,一関商工,盛岡一,釜石北,盛岡商,高田,大船渡,花巻北,黒沢尻工,5,4
1987,,一関商工,専大北上,宮古北,水沢商,大船渡,盛岡一,黒沢尻工,盛岡工,6,0
1988,,高田,釜石工,大船渡工,水沢,黒沢尻北,花北商,大槌,専大北上,4,1
1989,,盛岡三,宮古北,花巻東,一関商工,釜石南,高田,久慈商,黒沢尻北,12,6
1990,,花巻東,花北商,黒沢尻北,麻生一関,不来方,遠野,盛岡商,一関商工,4,0
1991,,専大北上,一関商工,水沢,高田,花巻北,水沢工,花巻東,宮古商,6,5
1992,,一関商工,専大北上,花巻東,久慈商,大船渡,盛岡商,釜石南,花北商,5,4
1993,,久慈商,盛岡一,住田,花北商,盛岡大付,釜石南,一関一,盛岡中央,12,3
1994,,盛岡四,一関一,大船渡,高田,専大北上,盛岡市立,不来方,盛岡一,2,0
1995,,盛岡大付,花巻北,高田,盛岡中央,花北商,花巻東,一戸,一関二,10,0
1996,,盛岡大付,花北商,前沢,盛岡中央,大東,専大北上,遠野,黒沢尻北,4,3
1997,,専大北上,花巻東,水沢,盛岡大付,宮古商,千厩,福岡,久慈,4,1
1998,,専大北上,大船渡,一関工,釜石南,高田,盛岡中央,一関商工,千厩東,14,0
1999,,盛岡中央,専大北上,大槌,盛岡四,盛岡大付,千厩,久慈工,水沢,4,2
2000,,専大北上,盛岡中央,盛岡商,前沢,釜石南,盛岡工,福岡,水沢,9,0
2001,,盛岡大付,専大北上,福岡,一関学院,盛岡中央,花泉,花北商,雫石,4,1
2002,,一関学院,釜石南,専大北上,盛岡商,久慈,高田,大船渡工,盛岡大付,8,3
2003,,盛岡大付,福岡,盛岡中央,花巻東,大船渡,専大北上,金ヶ崎,盛岡四,1,0
2004,,盛岡大付,一関学院,花巻東,専大北上,一関一,千厩,宮古,盛岡中央,8,7
2005,,花巻東,盛岡中央,大船渡,盛岡大付,盛岡四,専大北上,久慈工,一関一,4,3
2006,,専大北上,盛岡大付,一関学院,大船渡,久慈工,遠野,一関一,大野,2,1
2007,,花巻東,専大北上,盛岡大付,一関学院,盛岡市立,盛岡四,盛岡中央,大野,4,3
2008,,盛岡大付,盛岡中央,盛岡一,水沢,専大北上,久慈,花巻東,盛岡工,2,1
2009,,花巻東,盛岡一,盛岡中央,盛岡大付,高田,福岡,一関一,不来方,2,1
2010,,一関学院,盛岡大付,盛岡一,盛岡四,水沢,大船渡,専大北上,盛岡中央,8,2
2011,,花巻東,盛岡三,盛岡四,盛岡大付,大船渡,一戸,盛岡一,盛岡中央,5,0
2012,,盛岡大付,花巻東,不来方,一関学院,大船渡,大槌,盛岡四,水沢,5,3
2013,,花巻東,盛岡大付,盛岡四,一関学院,久慈工,福岡,水沢,釜石商工,5,1
2014,,盛岡大付,花巻東,盛岡三,専大北上,盛岡四,一関工,久慈東,水沢,5,4
2015,,花巻東,一関学院,専大北上,盛岡北,花巻農,盛岡大付,一関工,久慈,9,8
2016,,盛岡大付,一関学院,専大北上,一関工,高田,黒沢尻工,宮古,千厩,1,0
2017,,盛岡大付,久慈,盛岡四,大船渡東,花巻南,水沢工,黒沢尻工,宮古,9,0
2018,,花巻東,盛岡大付,一関学院,盛岡市立,福岡,岩谷堂,盛岡商,黒沢尻工,4,3
2019,,花巻東,大船渡,黒沢尻工,一関工,一関学院,一関一,盛岡三,久慈,12,2
2021,,盛岡大付,花巻東,一関学院,水沢工,盛岡四,盛岡一,盛岡中央,花巻農,9,4
2022,,一関学院,盛岡中央,花巻東,盛岡一,水沢,盛岡三,久慈,盛岡大付,3,2
2023,,花巻東,盛岡三,盛岡一,盛岡商,盛岡誠桜,一関学院,専大北上,盛岡四,10,0
2024,,花巻東,盛岡大付,一関学院,盛岡一,盛岡中央,水沢商,久慈,花巻北,4,3
2025,,花巻東,盛岡大付,盛岡誠桜,久慈,高田,水沢工,専大北上,盛岡一,8,4
