# 香川単独開催の選手権香川大会のみ収録(合同予選の年は対象外)
# 出典: bibijr.vivian.jp(高校野球データベース)のトーナメント表より集計
年,ブロック,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
1958,,高松商,高松一,小豆島,観音寺一,高松工芸,津田,尽誠学園,坂出商,2,0
1963,,丸亀商,丸亀,高松商,小豆島,三本松,津田,多度津工,高松,5,4
1968,,高松商,丸亀商,高松一,観音寺商,丸亀,尽誠学園,香川,坂出工,8,3
1973,,高松商,坂出商,高松一,坂出,観音寺一,三豊工,高松工芸,坂出工,4,1
1976,,高松商,高松一,土庄,丸亀,高松工芸,尽誠学園,多度津工,坂出商,15,2
1977,,高松商,多度津工,観音寺商,高松一,志度商,三本松,坂出商,高松,11,1
1978,,高松商,志度商,高松一,高松工芸,坂出商,三本松,観音寺商,尽誠学園,6,5
1979,,高松商,高松南,丸亀商,高松東,観音寺一,志度商,上戸学園,高松一,2,0
1980,,高松商,三本松,坂出工,高松南,善通寺一,高松工芸,尽誠学園,高松高専,1,0
1981,,志度商,高松一,丸亀商,高松南,尽誠学園,丸亀,高松東,土庄,2,0
1982,,坂出商,三本松,丸亀商,尽誠学園,高松東,高松西,高松工芸,琴平,5,0
1983,,高松商,高松南,高松工芸,寒川,高松一,土庄,志度商,丸亀商,4,3
1984,,三本松,坂出商,高松西,丸亀商,高松一,高松東,津田,小豆島,3,2
1985,,志度商,三本松,高松商,高松南,笠田,寒川,高松東,丸亀商,3,0
1986,,尽誠学園,丸亀商,高松一,高松商,観音寺商,坂出,高松西,志度商,4,3
1987,,尽誠学園,丸亀商,坂出,高松南,高松北,多度津工,三本松,寒川,6,2
1988,,坂出商,三本松,高松商,高松北,三豊工,高松,土庄,坂出,3,2
1989,,尽誠学園,坂出商,高松商,志度商,高松西,高松東,高松南,三本松,3,0
1990,,丸亀,高松西,丸亀商,志度商,高松商,高松北,寒川,坂出,4,1
1991,,坂出商,寒川,三本松,善通寺一,香川中央,高松商,小豆島,高瀬,4,2
1992,,尽誠学園,丸亀商,坂出商,丸亀,三本松,高松商,高松,高松北,9,0
1993,,三本松,丸亀,尽誠学園,坂出商,高松西,香川中央,高松南,坂出,2,1
1994,,坂出商,尽誠学園,香川中央,観音寺中央,丸亀,高松商,志度,小豆島,4,1
1995,,観音寺中央,高松商,志度,尽誠学園,香川西,飯山,三豊工,丸亀,4,2
1996,,高松商,尽誠学園,丸亀,香川中央,高松東,坂出,三本松,観音寺一,5,3
1997,,丸亀城西,高松西,尽誠学園,丸亀,飯山,坂出商,香川西,観音寺中央,11,8
1998,,尽誠学園,三本松,寒川,丸亀,高松一,多度津工,土庄,坂出工,8,5
1999,,尽誠学園,丸亀,高松商,志度,多度津工,高松一,坂出商,三本松,5,1
2000,,丸亀,高松北,志度,丸亀城西,高松南,香川西,坂出,高松商,7,6
2001,,尽誠学園,三本松,寒川,観音寺中央,丸亀,観音寺一,坂出商,高松商,8,5
2002,,尽誠学園,観音寺中央,観音寺一,三本松,多度津工,三木,高松商,丸亀,6,3
2003,,香川西,高松南,観音寺中央,高松商,飯山,高松一,坂出商,丸亀,6,5
2004,,尽誠学園,高松一,丸亀城西,多度津工,土庄,香川中央,小豆島,高松高専,16,4
2005,,丸亀城西,寒川,観音寺一,小豆島,高松北,三木,尽誠学園,高松高専,5,3
2006,,香川西,寒川,高松桜井,丸亀城西,三本松,高松高専,小豆島,尽誠学園,5,2
2007,,尽誠学園,高松商,坂出,寒川,香川西,観音寺一,高松西,志度,2,1
2008,,香川西,高松商,観音寺一,高松高専,高松一,丸亀城西,英明,高松中央,3,1
2009,,寒川,高松商,尽誠学園,高松工芸,観音寺中央,土庄,高松,三本松,8,4
2010,,英明,観音寺中央,高松商,丸亀城西,香川西,多度津,高松一,高松北,17,0
2011,,英明,丸亀,坂出商,観音寺一,高松商,小豆島,寒川,丸亀城西,8,0
2012,,香川西,丸亀,観音寺一,尽誠学園,小豆島,笠田,飯山,高松商,3,2
2013,,丸亀,尽誠学園,高松北,英明,高松商,小豆島,香川高専高松,丸亀城西,8,1
2014,,坂出商,大手前高松,高松桜井,尽誠学園,観音寺中央,香川西,飯山,香川中央,5,3
2015,,寒川,丸亀城西,英明,高松商,三豊工,香川西,志度,高松南,20,4
2016,,尽誠学園,高松商,観音寺中央,大手前高松,小豆島,英明,丸亀,観音寺一,5,1
2017,,三本松,丸亀城西,大手前高松,丸亀,高松商,香川西,尽誠学園,高松,7,1
2018,,丸亀城西,高松,英明,観音寺一,観音寺総合,高瀬,琴平,三本松,9,4
2019,,高松商,英明,高松工芸,尽誠学園,観音寺一,高松北,大手前高松,香川西,2,1
2021,,高松商,英明,三本松,大手前高松,尽誠学園,寒川,高松西,高松中央,6,5
2022,,高松商,英明,高松西,丸亀,志度,坂出商,観音寺一,観音寺総合,6,4
2023,,英明,志度,寒川,香川西,高松北,丸亀城西,大手前高松,高松中央,13,5
2024,,英明,高松商,高松東,三本松,香川中央,丸亀,丸亀城西,香川西,4,3
2025,,尽誠学園,英明,藤井,観音寺一,寒川,高松商,坂出商,三本松,6,2
