# 鹿児島単独開催の選手権鹿児島大会のみ収録(合同予選の年は対象外)
# 出典: bibijr.vivian.jp(高校野球データベース)のトーナメント表より集計
年,ブロック,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
1958,,鹿児島玉龍,照国商,鹿児島実,出水,鹿児島,鹿児島商,鹿児島工,川内商工,2,0
1960,,出水商,鹿児島玉龍,鹿児島商,鹿児島実,加治木工,大口,鹿児島,加治木,2,1
1961,,鹿児島実,鹿児島商,鹿児島商工,鹿児島,加治木工,指宿,牧園,鹿児島工,3,2
1962,,鹿児島商,鹿児島玉龍,甲南,出水商,指宿,加治木工,鹿児島,鹿児島実,3,1
1963,,鹿児島,出水,鹿児島玉龍,鹿児島商,鹿児島実,出水商,鹿児島商工,鹿児島工,1,0
1964,,鹿児島玉龍,鹿児島実,出水,鹿児島,出水商,鹿児島商,谷山,鹿児島商工,8,4
1965,,鹿児島玉龍,鹿児島実,鹿児島商,川内,指宿商,鹿児島照国,川内商工,鹿児島実川内,1,0
1966,,鹿児島実,出水商,鹿児島玉龍,鹿児島工,川内商工,鹿児島商工,鹿児島照国,指宿商,3,2
1967,,鹿児島,川内,指宿,鹿児島玉龍,指宿商,鹿屋工,出水,出水工,2,1
1968,,鹿児島商,鹿児島実川内,指宿商,大口,鹿児島工,鹿児島玉龍,鹿児島照国,鹿児島実,7,3
1969,,鹿児島商,鹿児島工,鹿児島商工,川内実,鹿児島実,加世田,垂水,宮之城,2,1
1970,,鹿児島商工,鹿屋工,鹿児島玉龍,鹿児島実,加世田,指宿商,鹿児島工,大口,3,0
1971,,鹿児島玉龍,鹿児島実,加治木工,鹿児島商,入来商,鹿児島商工,指宿商,大口,2,1
1972,,鹿児島商,鹿児島商工,鹿児島実,鹿児島照国,鹿児島工,鹿児島南,川内実,鶴丸,4,3
1973,,鹿児島実,鹿児島商,鹿児島商工,鹿児島玉龍,鹿児島,国分実,指宿商,笠沙,2,1
