# 神奈川単独開催の選手権神奈川大会のみ収録(合同予選の年は対象外)
# 出典: bibijr.vivian.jp(高校野球データベース)のトーナメント表より集計
年,ブロック,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
1948,,浅野,逗子開成,市川崎工,県川崎,湘南,鎌倉学園,藤沢商,横浜商,3,1
1949,,湘南,神奈川商工,逗子開成,鎌倉学園,横須賀,横浜一,相洋,浅野,3,1
1950,,神奈川商工,希望ヶ丘,慶応,厚木,県川崎,法政二,浅野,逗子開成,1,0
1951,,希望ヶ丘,鶴見,浅野,横須賀,川崎工,湘南,逗子開成,横浜商,7,0
1952,,法政二,湘南,横須賀,川崎工,慶応,希望ヶ丘,横浜平沼,浅野,8,0
1953,,慶応,法政二,日大高,浅野,藤沢,川崎工,平塚,関東学院,8,4
1954,,鶴見工,日大高,希望ヶ丘,鶴見,湘南,法政二,関東学院,逗子開成,3,1
1955,,法政二,鎌倉学園,希望ヶ丘,横浜商,湘南,横浜一商,横須賀,逗子開成,1,0
1956,,慶応,神奈川商工,湘南,法政二,川崎工,鎌倉,横浜平沼,鎌倉学園,3,2
1957,,法政二,神奈川商工,川崎工,関東学院,横浜平沼,鎌倉学園,浅野,桜丘,2,0
1958,,法政二,神奈川商工,慶応,横浜商,川崎商,希望ヶ丘,鎌倉学園,秦野,9,0
1959,,法政二,慶応,鎌倉学園,横浜商,川崎商,武相,横浜,横浜一商,4,0
1960,,法政二,慶応,横浜,鎌倉学園,相洋,横浜商,浅野,桜丘,6,2
1961,,法政二,武相,鎌倉学園,横浜緑ヶ丘,浅野,県川崎,横浜翠嵐,横浜商,8,1
1962,,慶応,鎌倉学園,法政二,横浜,川崎工,希望ヶ丘,南,武相,8,3
1963,,横浜,慶応,鎌倉学園,法政二,南,横浜商,神奈川商工,武相,5,3
1964,,武相,鎌倉学園,法政二,横浜商,横浜,横浜緑ヶ丘,横浜一商,県川崎,5,3
1965,,武相,日大高,鶴見工,鎌倉学園,慶応,横浜,秦野,横浜商,4,0
1966,,横浜一商,武相,慶応,津久井,逗子開成,横浜,南,幾徳高専,1,0
1967,,武相,日大高,法政二,鎌倉学園,多摩,厚木,神奈川工,日大藤沢,1,0
1968,,武相,鎌倉学園,慶応,横浜商,川崎市工,県川崎,神奈川工,横浜,6,0
1969,,東海大相模,横浜,桜丘,南,武相,向上,追浜,日大高,2,0
1970,,東海大相模,横浜一商,法政二,桐蔭学園,武相,鎌倉学園,南,藤沢商,12,5
1971,,桐蔭学園,武相,藤沢商,法政二,東海大相模,横浜,横浜一商,鎌倉学園,8,1
1972,,東海大相模,秦野,法政二,横浜一商,横浜,日大藤沢,桐蔭学園,鶴見工,5,0
1973,,藤沢商,桐蔭学園,日大藤沢,東海大相模,横浜一商,武相,横浜,鶴見工,6,2
1974,,東海大相模,横浜,横浜商,慶応,武相,日大高,日大藤沢,鎌倉学園,4,1
1975,,東海大相模,日大藤沢,日大高,横浜商,桐蔭学園,横浜商大高,相洋,法政二,6,0
1976,,東海大相模,向上,武相,多摩,横浜商,日大高,横浜商大高,南,19,0
1977,,東海大相模,横浜商,桐蔭学園,法政二,神奈川工,桜丘,日大高,横浜,1,0
1978,,横浜,横浜商,桐蔭学園,武相,柏陽,藤沢商,東海大相模,多摩,5,3
1979,,横浜商,横浜,日大藤沢,藤沢商,向上,橘,桜丘,武相,3,1
1980,,横浜,桐蔭学園,武相,鎌倉学園,向上,藤嶺藤沢,鶴見工,桜丘,2,0
1981,,横浜,東海大相模,日大藤沢,日大高,法政二,湘南,桐蔭学園,武相,9,3
1982,,法政二,日大高,横浜,横浜商,武相,東海大相模,上鶴間,日大藤沢,3,0
1983,,横浜商,横浜,法政二,相洋,日大高,日大藤沢,関東学院六浦,鶴見工,3,1
1984,,桐蔭学園,向上,綾瀬,関東学院六浦,武相,東海大相模,桐光学園,横浜商大高,9,6
1985,,藤嶺藤沢,横浜,山北,桐蔭学園,武相,綾瀬,鶴見工,横浜商,9,3
1986,,横浜商,横浜,津久井浜,藤沢商,東海大相模,向上,桐蔭学園,松田,11,7
1987,,横浜商,東海大相模,鎌倉学園,法政二,桐蔭学園,関東学院六浦,上鶴間,城山,4,2
