# 北北海道: 1959年以降の選手権北/南北海道大会 + 1958年以前の全道大会(南北共通で両ランキングに算入)
# 出典: bibijr.vivian.jp(高校野球データベース)のトーナメント表より集計
年,ブロック,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
1920,,北海中,小樽中,函館商,函館中,,,,,12,3
1921,,函館中,函館商,小樽中,小樽商,旭川中,札幌一中,札幌工,函館師範,7,2
1922,,北海中,札幌一中,函館商,函館中,,,,,6,4
1923,,函館商,札幌一中,札幌商,小樽中,旭川中,札幌工,札幌師範,北海中,7,1
1924,,北海中,札幌二中,札幌商,函館中,札幌師範,札幌一中,根室商,札幌工,2,1
1925,,北海中,札幌一中,函館商,函館中,札幌二中,旭川中,小樽商,札幌商,9,0
1926,,旭川商,旭川中,北海中,函館商,札幌二中,札幌一中,札幌師範,函館中,9,4
1927,,札幌一中,旭川師範,函館中,北海中,釧路中,函館師範,旭川中,函館商,4,3
1928,,北海中,北海商,札幌師範,釧路中,小樽商,旭川中,函館中,函館商,7,1
1929,,北海中,旭川中,札幌商,室蘭中,旭川師範,北海商,野付牛中,函館中,3,2
1930,,北海中,旭川中,函館商,札幌商,室蘭中,北海商,札幌二中,札幌師範,14,2
1931,,札幌商,室蘭中,北海中,函館中,札幌師範,旭川商,函館師範,北海商,4,3
1932,,北海中,函館商,札幌商,函館中,帯広中,十勝農,札幌一中,旭川中,4,3
1933,,北海中,旭川中,苫小牧工,函館商,室蘭中,永山農,野付牛中,札幌工,5,3
1934,,札幌商,旭川中,北海中,旭川師範,函館商,釧路中,室蘭中,小樽商,4,3
1935,,北海中,旭川師範,小樽商,札幌商,函館商,旭川中,網走中,札幌一中,3,2
1936,,北海中,旭川師範,札幌商,旭川商,札幌一中,小樽商,函館商,野付牛中,6,2
1937,,北海中,札幌商,函館中,旭川商,旭川師範,野付牛中,北海商,札幌一中,10,4
1938,,北海中,札幌一中,旭川中,小樽中,函館中,札幌商,釧路中,名寄中,14,4
1939,,札幌一中,北海中,野付牛中,函館工,札幌光星商,北海商,旭川中,,2,1
1940,,北海中,札幌一中,旭川師範,旭川中,札幌光星商,釧路中,小樽中,函館中,4,0
1946,,函館中,札幌光星中,帯広中,旭川市中,札幌二中,苫小牧工,旭川二工,小樽商,12,5
1947,,函館工,札幌一中,苫小牧工,八雲中,釧路中,札幌二中,旭川市中,旭川中,8,5
1948,,函館工,滝川,旭川,旭川市立,札幌一,釧路,北海,網走,9,0
1949,,帯広,旭川,岩内,函館工,苫小牧工,札幌一,岩見沢,網走,12,2
1950,,北海,旭川東,小樽緑陵,函館東,釧路湖陵,八雲,帯広柏葉,岩内,4,2
1951,,北海,帯広柏葉,函館西,苫小牧工,夕張北,小樽潮陵,小樽千秋,札幌南,2,1
1952,,函館西,函館東,苫小牧,釧路湖陵,小樽潮陵,池田,旭川西,砂川南,5,0
1953,,北海,旭川東,美唄工,帯広柏葉,釧路湖陵,函館東,美幌,砂川南,4,0
1954,,北海,札幌北,函館中部,歌志内,美唄工,釧路湖陵,函館工,旭川東,1,0
1955,,芦別,釧路江南,帯広三条,苫小牧工,函館商,美唄工,函館東,北見北斗,7,6
1956,,北海,苫小牧工,帯広柏葉,函館工,旭川東,滝川,札幌光星,稚内,11,3
1957,,函館工,室蘭清水丘,札幌商,北海,帯広三条,釧路湖陵,釧路江南,函館中部,3,2
1958,,札幌商,苫小牧東,北見北斗,釧路商,池田,函館工,芦別,三笠,6,1
1959,,帯広三条,旭川北,名寄,斜里,,,,,3,0
1960,,旭川北,帯広柏葉,滝川,遠軽,,,,,2,1
