# 高知単独開催の選手権高知大会のみ収録(合同予選の年は対象外)
# 出典: bibijr.vivian.jp(高校野球データベース)のトーナメント表より集計
年,ブロック,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
1958,,高知商,土佐,高知小津,清水,高知追手前,嶺北,安芸,高知,4,2
1963,,高知,高知商,高知追手前,安芸,土佐,高知工,中村,嶺北,4,2
1968,,高知,土佐,高知商,高知工,中村,高知東工,須崎,伊野商,1,0
1973,,高知商,土佐,高知高専,高知工,宿毛,高知中央,大方商,中村,3,0
1978,,高知商,土佐,安芸,高知工,中村,高知中央,伊野商,高知高専,2,1
1979,,高知,明徳,安芸,大方商,中村,高知商,高知西,宿毛,1,0
1980,,高知商,明徳,中村,安芸工,宿毛,高知,高知小津,須崎,3,2
1981,,高知,土佐,明徳,高知工,高知西,中村,室戸,須崎,12,9
1982,,高知商,高知,明徳,清水,中村,安芸工,安芸,高知東,6,1
1983,,高知商,高知東,明徳,安芸,高知,大方商,土佐,高知工,6,5
1984,,明徳義塾,高知,中村,高知追手前,伊野商,高知西,高岡宇佐,清水,5,4
1985,,高知商,伊野商,明徳義塾,中村,高知,安芸工,高知小津,宿毛工,5,1
1986,,高知商,明徳義塾,高岡宇佐,高知東,中村,高知工,安芸工,高知,5,3
1987,,伊野商,明徳義塾,高知商,大方商,高岡宇佐,宿毛,高知,中村,2,0
1988,,高知商,高知,高岡宇佐,明徳義塾,岡豊,高知西,宿毛,安芸,6,2
1989,,土佐,高知南,中村,宿毛,清水,高知商,安芸,高知工,3,1
1990,,高知商,明徳義塾,室戸,宿毛,高岡宇佐,高知東,岡豊,安芸工,8,4
1991,,明徳義塾,高知追手前,高知商,高知工,高知東,高知東工,高知小津,高岡宇佐,2,0
1992,,明徳義塾,伊野商,高知南,高知西,宿毛,宿毛工,岡豊,須崎,6,1
1993,,高知商,土佐,高知,明徳義塾,伊野商,岡豊,高知東工,安芸,5,3
1994,,宿毛,安芸,高知,明徳義塾,土佐,清水,岡豊,高知小津,5,3
1995,,高知商,高知,高知工,高知追手前,高知東,明徳義塾,清水,宿毛工,11,2
1996,,明徳義塾,土佐,高知商,高知,安芸,安芸工,中村,高知追手前,7,5
1997,,高知商,明徳義塾,高知,伊野商,岡豊,高知南,高知工,中村西土佐,1,0
1998,,明徳義塾,高知,中村,高知商,室戸,清水,岡豊,高知高専,2,1
1999,,明徳義塾,高知,高知追手前,高知東,伊野商,高知東工,高知商,岡豊,8,5
2000,,明徳義塾,土佐,宿毛,高知商,清水,中村,室戸,岡豊,4,2
2001,,明徳義塾,高知,高知商,室戸,土佐,岡豊,伊野商,高知工,9,1
2002,,明徳義塾,高知,室戸,高知商,岡豊,高知追手前,須崎工,高知小津,7,4
2003,,明徳義塾,高知,岡豊,高知商,高知東,大方商,高知工,中村,5,3
2004,,明徳義塾,高知商,高知,高知追手前,須崎工,岡豊,高知東,宿毛大月,4,2
2005,,明徳義塾,高知,高知東,岡豊,須崎,中村,高知追手前,高知商,3,2
2006,,高知商,明徳義塾,高知小津,室戸,伊野商,高知東工,宿毛,高知追手前,11,6
2007,,高知,明徳義塾,高知商,室戸,高知南,高知工,宿毛,高知高専,7,1
2008,,高知,高知商,高知中央,明徳義塾,須崎工,高知南,高知工,室戸,10,2
2009,,高知,明徳義塾,高知追手前,高知西,高知南,高知東,須崎,清水,3,2
2010,,明徳義塾,高知商,岡豊,高知,宿毛工,高知中央,高知工,高知小津,5,0
2011,,明徳義塾,高知,土佐,高知商,高知中央,岡豊,須崎工,伊野商,2,1
2012,,明徳義塾,高知,高知商,伊野商,高知追手前,高知東,高知中央,土佐,2,1
2013,,明徳義塾,高知,高知中央,中村,岡豊,高知南,宿毛工,高知農,2,1
2014,,明徳義塾,高知,高知商,高知中央,土佐,檮原,宿毛,岡豊,6,5
2015,,明徳義塾,高知,高知西,土佐,岡豊,高知商,高知東,高知中央,7,6
2016,,明徳義塾,中村,高知商,高知中央,高知工,安芸,高知,土佐,4,2
2017,,明徳義塾,檮原,岡豊,中村,高知南,宿毛工,高知,宿毛,7,3
2018,,高知商,明徳義塾,高知,土佐,高知追手前,岡豊,高知工,土佐塾,10,2
2019,,明徳義塾,高知,岡豊,高知商,高知中央,須崎総合,高知西,高知東,4,1
2021,,明徳義塾,高知,高知商,高知中央,高知追手前,岡豊,檮原,高知東工,5,3
2022,,明徳義塾,高知,高知中央,中村,檮原,高知商,岡豊,高知工,8,7
2023,,高知中央,高知,明徳義塾,高知商,土佐,岡豊,高知追手前,伊野商,4,3
2024,,明徳義塾,高知,中村,高知商,須崎総合,岡豊,高知小津,高知中央,5,3
2025,,高知中央,明徳義塾,中村,高知,土佐,高知商,高知東工,高知小津,3,2
