年,大会,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
2019,春,東邦(愛知),習志野(千葉),明豊(大分),明石商(兵庫),市和歌山(和歌山),龍谷大平安(京都),筑陽学園(福岡),智弁和歌山(和歌山),6,0
2019,夏,履正社(大阪),星稜(石川),明石商(兵庫),中京学院大中京(岐阜),関東一(東東京),八戸学院光星(青森),作新学院(栃木),仙台育英(宮城),5,3
2021,春,東海大相模(神奈川),明豊(大分),天理(奈良),中京大中京(愛知),仙台育英(宮城),福岡大大濠(福岡),智弁学園(奈良),東海大菅生(東京),3,2
2021,夏,智弁和歌山(和歌山),智弁学園(奈良),近江(滋賀),京都国際(京都),神戸国際大付(兵庫),石見智翠館(島根),明徳義塾(高知),敦賀気比(福井),9,2
2022,春,大阪桐蔭(大阪),近江(滋賀),浦和学院(埼玉),国学院久我山(東京),九州国際大付(福岡),金光大阪(大阪),星稜(石川),市和歌山(和歌山),18,1
2022,夏,仙台育英(宮城),下関国際(山口),聖光学院(福島),近江(滋賀),愛工大名電(愛知),九州学院(熊本),高松商(香川),大阪桐蔭(大阪),8,1
2023,春,山梨学院(山梨),報徳学園(兵庫),広陵(広島),大阪桐蔭(大阪),作新学院(栃木),専大松戸(千葉),東海大菅生(東京),仙台育英(宮城),7,3
2023,夏,慶応(神奈川),仙台育英(宮城),神村学園(鹿児島),土浦日大(茨城),花巻東(岩手),おかやま山陽(岡山),沖縄尚学(沖縄),八戸学院光星(青森),8,2
2024,春,健大高崎(群馬),報徳学園(兵庫),星稜(石川),中央学院(千葉),阿南光(徳島),山梨学院(山梨),青森山田(青森),大阪桐蔭(大阪),3,2
2024,夏,京都国際(京都),関東一(東東京),神村学園(鹿児島),青森山田(青森),大社(島根),東海大相模(神奈川),智弁学園(奈良),滋賀学園(滋賀),2,1
2025,春,横浜(神奈川),智弁和歌山(和歌山),健大高崎(群馬),浦和実(埼玉),花巻東(岩手),西日本短大付(福岡),広島商(広島),聖光学院(福島),11,4
2025,夏,沖縄尚学(沖縄),日大三(西東京),県岐阜商(岐阜),山梨学院(山梨),関東一(東東京),横浜(神奈川),東洋大姫路(兵庫),京都国際(京都),3,1
