# 学校名は大会当時の名称で記録する。改名前後の同一校は aliases.csv に「旧名,現名」を登録すると
# ランキング上は同一校として合算され、最新の校名で表示される(例: 光星学院→八戸学院光星)
年,大会,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
1969,春,三重(三重),堀越(東京),浪商(大阪),博多工(福岡),尼崎西(兵庫),広島商(広島),岐阜商(岐阜),三田学園(兵庫),12,0
1969,夏,松山商(愛媛),三沢(青森),若狭(福井),玉島商(岡山),富山北部(富山),静岡商(静岡),平安(京都),仙台商(宮城),4,2
1970,春,箕島(和歌山),北陽(大阪),鳴門(徳島),広陵(広島),三田学園(兵庫),岐阜短大付(岐阜),三重(三重),千葉商(千葉),5,4
1970,夏,東海大相模(神奈川),PL学園(大阪),岐阜短大付(岐阜),高松商(香川),東邦(愛知),滝川(兵庫),熊谷商(埼玉),大分商(大分),10,6
1971,春,日大三(東京),大鉄(大阪),木更津中央(千葉),坂出商(香川),東邦(愛知),福島商(福島),深谷商(埼玉),近大付(大阪),2,0
1971,夏,桐蔭学園(神奈川),磐城(福島),郡山(奈良),岡山東商(岡山),静岡学園(静岡),銚子商(千葉),玉龍(鹿児島),県岐阜商(岐阜),1,0
1972,春,日大桜丘(東京),日大三(東京),東北(宮城),銚子商(千葉),高知商(高知),倉敷工(岡山),諫早(長崎),市立神港(兵庫),5,0
1972,夏,津久見(大分),柳井(山口),天理(奈良),高知商(高知),明星(大阪),東海大工(静岡),中京(愛知),高松一(香川),3,1
1973,春,横浜(神奈川),広島商(広島),作新学院(栃木),鳴門工(徳島),今治西(愛媛),日大一(東京),天理(奈良),東邦(愛知),3,1
1973,夏,広島商(広島),静岡(静岡),今治西(愛媛),川越工(埼玉),銚子商(千葉),北陽(大阪),富山商(富山),高知商(高知),3,2
1974,春,報徳学園(兵庫),池田(徳島),和歌山工(和歌山),平安(京都),倉敷工(岡山),高知(高知),銚子商(千葉),大分商(大分),3,1
1974,夏,銚子商(千葉),防府商(山口),鹿児島実(鹿児島),前橋工(群馬),東海大相模(神奈川),郡山(奈良),静岡商(静岡),平安(京都),7,0
1975,春,高知(高知),東海大相模(神奈川),堀越(東京),報徳学園(兵庫),豊見城(沖縄),掛川西(静岡),静岡商(静岡),福井商(福井),10,5
1975,夏,習志野(千葉),新居浜商(愛媛),上尾(埼玉),広島商(広島),天理(奈良),東海大相模(神奈川),磐城(福島),中京商(愛知),5,4
1976,春,崇徳(広島),小山(栃木),東洋大姫路(兵庫),日田林工(大分),土佐(高知),智弁学園(奈良),福井(福井),北陽(大阪),5,0
1976,夏,桜美林(西東京),PL学園(大阪),海星(長崎),星稜(石川),中京(愛知),東北(宮城),豊見城(沖縄),銚子商(千葉),4,3
1977,春,箕島(和歌山),中村(高知),岡山南(岡山),智弁学園(奈良),天理(奈良),丸亀商(香川),早稲田実(東京),県岐阜商(岐阜),3,0
1977,夏,東洋大姫路(兵庫),東邦(愛知),大鉄(大阪),今治西(愛媛),熊本工(熊本),高知(高知),豊見城(沖縄),早稲田実(東京),4,1
1978,春,浜松商(静岡),福井商(福井),桐生(群馬),箕島(和歌山),郡山(奈良),東北(宮城),PL学園(大阪),南陽工(山口),2,0
1978,夏,PL学園(大阪),高知商(高知),中京(愛知),岡山東商(岡山),報徳学園(兵庫),豊見城(沖縄),天理(奈良),県岐阜商(岐阜),3,2
1979,春,箕島(和歌山),浪商(大阪),PL学園(大阪),東洋大姫路(兵庫),倉吉北(鳥取),尼崎北(兵庫),川之江(愛媛),池田(徳島),8,7
1979,夏,箕島(和歌山),池田(徳島),浪商(大阪),横浜商(神奈川),高知(高知),比叡山(滋賀),大分商(大分),城西(東東京),4,3
1980,春,高知商(高知),帝京(東京),広陵(広島),丸亀商(香川),諫早(長崎),尼崎北(兵庫),秋田商(秋田),東北(宮城),1,0
1980,夏,横浜(神奈川),早稲田実(東東京),瀬田工(滋賀),天理(奈良),興南(沖縄),浜松商(静岡),広陵(広島),箕島(和歌山),6,4
1981,春,PL学園(大阪),印旛(千葉),倉吉北(鳥取),上宮(大阪),高松商(香川),日立工(茨城),秋田経大付(秋田),御坊商工(和歌山),2,1
1981,夏,報徳学園(兵庫),京都商(京都),鎮西(熊本),名古屋電気(愛知),都城商(宮崎),和歌山工(和歌山),今治西(愛媛),志度商(香川),2,0
1982,春,PL学園(大阪),二松学舎大付(東京),中京(愛知),横浜商(神奈川),郡山(奈良),尾道商(広島),箕島(和歌山),早稲田実(東京),15,2
1982,夏,池田(徳島),広島商(広島),早稲田実(東東京),中京(愛知),東海大甲府(山梨),都城(宮崎),津久見(大分),比叡山(滋賀),12,2
1983,春,池田(徳島),横浜商(神奈川),東海大一(静岡),明徳(高知),駒大岩見沢(北海道),享栄(愛知),大社(島根),佐世保工(長崎),3,0
1983,夏,PL学園(大阪),横浜商(神奈川),久留米商(福岡),池田(徳島),岐阜第一(岐阜),宇部商(山口),中京(愛知),高知商(高知),3,0
1984,春,岩倉(東京),PL学園(大阪),都城(宮崎),大船渡(岩手),愛工大名電(愛知),拓大紅陵(千葉),取手二(茨城),明徳(高知),1,0
1984,夏,取手二(茨城),PL学園(大阪),鎮西(熊本),金足農(秋田),岡山南(岡山),鹿児島商工(鹿児島),新潟南(新潟),松山商(愛媛),8,4
1985,春,伊野商(高知),帝京(東京),PL学園(大阪),池田(徳島),天理(奈良),西条(愛媛),東北(宮城),報徳学園(兵庫),4,0
1985,夏,PL学園(大阪),宇部商(山口),東海大甲府(山梨),甲西(滋賀),関東一(東東京),鹿児島商工(鹿児島),東北(宮城),高知商(高知),4,3
1986,春,池田(徳島),宇都宮南(栃木),岡山南(岡山),新湊(富山),上宮(大阪),尾道商(広島),京都西(京都),広島工(広島),7,1
1986,夏,天理(奈良),松山商(愛媛),鹿児島商(鹿児島),浦和学院(埼玉),佐伯鶴城(大分),東洋大姫路(兵庫),沖縄水産(沖縄),高知商(高知),3,2
1987,春,PL学園(大阪),関東一(東京),東海大甲府(山梨),池田(徳島),帝京(東京),熊本工(熊本),八戸工大一(青森),甲府工(山梨),7,1
1987,夏,PL学園(大阪),常総学院(茨城),帝京(東東京),東亜学園(西東京),習志野(千葉),関西(岡山),北嵯峨(京都),中京(愛知),5,2
1988,春,宇和島東(愛媛),東邦(愛知),宇都宮学園(栃木),桐蔭学園(神奈川),津久見(大分),上宮(大阪),東海大甲府(山梨),宇部商(山口),6,0
1988,夏,広島商(広島),福岡第一(福岡),浦和市立(埼玉),沖縄水産(沖縄),宇部商(山口),津久見(大分),江の川(島根),浜松商(静岡),1,0
1989,春,東邦(愛知),上宮(大阪),京都西(京都),横浜商(神奈川),広島工(広島),近大付(大阪),仙台育英(宮城),龍谷(佐賀),3,2
1989,夏,帝京(東東京),仙台育英(宮城),秋田経法大付(秋田),尽誠学園(香川),福岡大大濠(福岡),海星(三重),上宮(大阪),倉敷商(岡山),2,0
1990,春,近大付(大阪),新田(愛媛),東海大甲府(山梨),北陽(大阪),鹿児島実(鹿児島),金沢(石川),高松商(香川),三重(三重),5,2
1990,夏,天理(奈良),沖縄水産(沖縄),西日本短大付(福岡),山陽(広島),鹿児島実(鹿児島),丸亀(香川),横浜商(神奈川),日大鶴ヶ丘(西東京),1,0
1991,春,広陵(広島),松商学園(長野),国士舘(東京),市川(山梨),坂出商(香川),大阪桐蔭(大阪),桐生第一(群馬),鹿児島実(鹿児島),6,5
1991,夏,大阪桐蔭(大阪),沖縄水産(沖縄),鹿児島実(鹿児島),星稜(石川),柳川(福岡),市川(山梨),松商学園(長野),帝京(東東京),13,8
1992,春,帝京(東京),東海大相模(神奈川),天理(奈良),浦和学院(埼玉),星稜(石川),PL学園(大阪),三重(三重),育英(兵庫),3,2
1992,夏,西日本短大付(福岡),拓大紅陵(千葉),尽誠学園(香川),東邦(愛知),広島工(広島),池田(徳島),天理(奈良),北陸(福井),1,0
