# 熊本単独開催の選手権熊本大会のみ収録(合同予選の年は対象外)
# 出典: bibijr.vivian.jp(高校野球データベース)のトーナメント表より集計
年,ブロック,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
1958,,済々黌,九州学院,熊本,熊本工,八代商,鎮西,熊本鉄道,八代工,3,0
1963,,九州学院,鎮西,熊本商,水俣,甲佐,熊本工,東海大二,宇土,3,2
1968,,鎮西,九州学院,熊本工,八代第一,鹿本商工,八代工,八代東,熊本一工,3,1
1973,,八代東,宇土,鎮西,九州学院,熊本工大高,熊本一工,八代工,熊本工,6,4
1976,,熊本工,鎮西,東海大二,八代,済々黌,熊本二,熊本商大付,玉名,1,0
1977,,熊本工,済々黌,専大玉名,大津,熊本二,八代工,天草工,熊本農,3,1
1978,,熊本工大高,鎮西,熊本一工,九州学院,熊本工,八代,八代工,有明,4,2
1979,,済々黌,熊本工大高,天草工,八代工,矢部,球磨農,熊本一工,天草,1,0
1980,,熊本工,八代,東海大二,熊本西,九州学院,水俣,菊池,熊本工大高,6,4
1981,,鎮西,済々黌,熊本商,熊本西,八代工,東海大二,人吉,八代東,7,1
1982,,熊本工,東海大二,八代第一,熊本一工,熊本商,甲佐,鎮西,人吉,8,4
1983,,東海大二,熊本工,鎮西,熊本一工,専大玉名,八代第一,松橋,氷川,2,1
1984,,鎮西,熊本工,専大玉名,九州学院,八代第一,大矢野,球磨工,済々黌,4,2
1985,,熊本西,九州学院,熊本商,多良木,八代工,八代東,鹿本,熊本工,3,2
1986,,熊本工,八代第一,九州学院,済々黌,八代工,熊本一工,熊本,熊本商,1,0
1987,,九州学院,八代工,八代東,熊本西,鎮西,済々黌,多良木,熊本工,11,7
1988,,熊本工,鎮西,東海大二,九州学院,八代工,熊本西,熊本市商,多良木,4,1
1989,,熊本工,東海大二,熊本一工,八代第一,熊本西,熊本市商,熊本工大高,熊本二,3,2
1990,,済々黌,熊本工,東海大二,鎮西,熊本西,大矢野,水俣,八代工,4,3
1991,,熊本工,大津,九州学院,東海大二,熊本工大高,天草工,荒尾,熊本市商,2,0
1992,,熊本工,城北,九州学院,東海大二,鎮西,東稜,八代第一,熊本商,4,1
1993,,城北,鎮西,熊本工,八代工,熊本市商,熊本西,菊池,東海大二,3,1
1994,,済々黌,熊本市商,城北,専大玉名,大津産,八代工,水俣工,玉名,3,0
1995,,城北,九州学院,八代東,熊本工,氷川,済々黌,熊本電波高専,八代工,5,3
1996,,熊本工,東海大二,八代工,熊本市商,文徳,済々黌,九州学院,大津,15,11
1997,,文徳,八代第一,城北,八代東,済々黌,熊本西,熊本商,熊本学園大付,18,4
1998,,九州学院,熊本工,東海大二,鎮西,熊本市商,有明,八代第一,城北,16,1
1999,,九州学院,東海大二,有明,熊本工,熊本市商,熊本市立,専大玉名,矢部,3,2
2000,,九州学院,八代第一,済々黌,熊本農,東稜,専大玉名,千原台,大津,4,1
2001,,秀岳館,熊本工,八代東,必由館,熊本農,熊本商,鎮西,千原台,6,5
2002,,熊本工,九州学院,済々黌,鎮西,有明,東海大二,文徳,専大玉名,9,5
2003,,必由館,文徳,済々黌,鎮西,熊本工,熊本西,熊本,秀岳館,5,1
2004,,熊本工,秀岳館,鎮西,水俣,九州学院,専大玉名,済々黌,文徳,9,1
2005,,熊本工,文徳,専大玉名,千原台,済々黌,必由館,八代工,秀岳館,6,5
2006,,熊本工,専大玉名,城北,八代工,文徳,八代東,熊本農,済々黌,15,5
2007,,八代東,九州学院,城北,熊本工,矢部,秀岳館,有明,文徳,8,6
2008,,城北,専大玉名,秀岳館,済々黌,千原台,文徳,九州学院,鎮西,11,4
2009,,熊本工,九州学院,必由館,熊本国府,水俣,秀岳館,ルーテル学院,八代,7,6
2010,,九州学院,八代東,東海大二,熊本工,熊本国府,城北,必由館,専大玉名,7,3
2011,,専大玉名,熊本工,秀岳館,九州学院,城北,鎮西,熊本学園大付,文徳,1,0
2012,,済々黌,必由館,九州学院,城北,有明,文徳,熊本西,天草工,7,3
2013,,熊本工,文徳,玉名工,済々黌,熊本北,宇土,ルーテル学院,秀岳館,5,4
2014,,城北,文徳,熊本工,熊本北,九州学院,東海大星翔,済々黌,熊本学園大付,2,1
2015,,九州学院,文徳,多良木,鎮西,翔陽,東海大星翔,八代東,球磨工,6,2
2016,,秀岳館,九州学院,文徳,千原台,熊本工,城北,必由館,ルーテル学院,13,2
2017,,秀岳館,九州学院,八代,文徳,熊本国府,菊池,球磨工,多良木,3,1
2018,,東海大星翔,熊本工,球磨工,必由館,熊本国府,有明,東稜,八代,6,4
2019,,熊本工,九州学院,秀岳館,有明,熊本国府,球磨工,八代,東海大星翔,7,5
2021,,熊本工,熊本北,有明,八代,八代工,文徳,八代清流,熊本国府,15,2
2022,,九州学院,秀岳館,東海大星翔,熊本工,翔陽,有明,開新,専大玉名,6,0
2023,,東海大星翔,九州学院,文徳,有明,城北,熊本工,大津,秀岳館,5,0
2024,,熊本工,熊本国府,天草工,九州学院,専大熊本,熊本商,ルーテル学院,有明,6,2
2025,,東海大星翔,有明,専大熊本,熊本工,秀岳館,文徳,熊本,八代工,4,2
