# 京都単独開催の選手権京都大会のみ収録(合同予選の年は対象外)
# 出典: bibijr.vivian.jp(高校野球データベース)のトーナメント表より集計
年,ブロック,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
1958,,平安,東山,鴨沂,山城,堀川,花園,伏見,京都西,9,3
1963,,京都商,福知山商,堀川,朱雀,洛陽工,同志社,洛北,山城,3,0
1968,,平安,東山,西京商,桂,西舞鶴,乙訓,宮津,福知山,8,3
1973,,京都商,東山,京都西,舞鶴高専,平安,桂,立命館,同志社,6,0
1974,,平安,西京商,朱雀,桂,大谷,城南,立命館,洛星,1,0
1975,,桂,宮津,京都共栄,綾部,東山,京都西,同志社,北桑田,3,0
1976,,京都商,東宇治,八幡,西京商,桃山,宇治,塔南,東山,2,1
1977,,京都商,福知山商,西京商,北桑田,山城,宇治,加悦谷,朱雀,9,1
1978,,京都商,同志社,加悦谷,堀川,山城,桃山,東山,宇治,2,0
1979,,宇治,峰山,乙訓,八幡,大江,京都商,亀岡,東舞鶴,5,1
1980,,東宇治,京都商,亀岡,花園,福知山,桃山,峰山,同志社,4,0
1981,,京都商,東山,洛星,立命館,大谷,福知山商,東舞鶴,北嵯峨,4,3
1982,,宇治,西京商,平安,北嵯峨,洛星,大谷,石原,山城,6,3
1983,,東山,花園,洛星,京都西,城陽,峰山,東宇治,朱雀,2,1
1984,,京都西,大谷,朱雀,宇治,京都商,京都共栄,城南,花園,9,5
1985,,花園,平安,大谷,東山,洛星,京都西,西城陽,西宇治,4,3
1986,,京都商,北嵯峨,洛東,桂,久御山,西京商,東山,宇治,7,1
1987,,北嵯峨,京都西,洛星,花園,朱雀,立命館,宇治,京都商,9,3
1988,,京都西,平安,塔南,南京都,北嵯峨,京都商,福知山,八幡,6,3
1989,,京都西,平安,城陽,花園,田辺,桃山,洛星,西城陽,8,6
1990,,平安,北嵯峨,京都西,大谷,八幡,東山,久御山,花園,5,1
1991,,北嵯峨,宇治,鳥羽,山城,平安,綾部,洛西,大谷,3,0
1992,,京都西,北嵯峨,東山,西宇治,山城,宇治,平安,京都成章,6,4
1993,,京都西,京都成章,西城陽,北嵯峨,平安,菟道,福知山,洛星,3,2
1994,,西城陽,大谷,北嵯峨,桃山,洛西,菟道,鳥羽,南京都,4,0
1995,,京都成章,京都西,東山,田辺,洛西,南京都,峰山,山城,6,4
1996,,北嵯峨,花園,京都西,洛北,京都両洋,平安,鳥羽,北稜,7,3
1997,,平安,東山,洛北,立命館宇治,山城,北嵯峨,洛星,立命館,7,2
1998,,京都成章,鳥羽,北嵯峨,峰山,大谷,平安,花園,京都西,7,0
1999,,福知山商,東山,峰山,平安,東宇治,立命館宇治,京都西,福知山,13,5
2000,,鳥羽,大谷,東稜,西城陽,平安,菟道,綾部,京都西,9,1
2001,,平安,立命館宇治,鳥羽,北嵯峨,花園,洛星,西城陽,福知山,7,0
2002,,東山,立命館宇治,福知山成美,峰山,立命館,平安,山城,京都学園,4,3
2003,,平安,京都外大西,福知山成美,立命館宇治,京都韓国学園,京都成章,東山,鳥羽,8,4
2004,,京都外大西,京都成章,平安,立命館,西城陽,東山,福知山,立命館宇治,6,3
2005,,京都外大西,乙訓,平安,京都学園,大谷,久御山,京都成章,桂,3,2
2006,,福知山成美,西城陽,京都外大西,京都成章,洛星,京都すばる,東稜,東山,3,2
2007,,京都外大西,京都すばる,西城陽,平安,鳥羽,洛北,北嵯峨,京都府工,2,1
2008,,福知山成美,立命館宇治,京都外大西,龍谷大平安,北稜,京都国際,北嵯峨,京都府工,8,2
2009,,龍谷大平安,福知山成美,鳥羽,京都外大西,塔南,紫野,京都成章,東山,5,4
2010,,京都外大西,京都翔英,京都成章,龍谷大平安,西城陽,乙訓,北嵯峨,東山,8,0
2011,,龍谷大平安,立命館宇治,福知山成美,京都両洋,山城,西城陽,福知山,鳥羽,9,3
2012,,龍谷大平安,京都両洋,福知山成美,東山,北嵯峨,西城陽,京都府工,乙訓,4,1
2013,,福知山成美,鳥羽,京都翔英,京都廣学館,北嵯峨,龍谷大平安,洛西,立命館宇治,5,0
2014,,龍谷大平安,京都すばる,東山,山城,綾部,乙訓,桂,北稜,10,0
2015,,鳥羽,立命館宇治,乙訓,京都共栄,京都翔英,塔南,同志社,城南菱創,6,4
2016,,京都翔英,福知山成美,立命館宇治,塔南,京都文教,京都廣学館,東山,日星,11,1
2017,,京都成章,龍谷大平安,綾部,西城陽,花園,塔南,東山,北稜,12,6
2018,,龍谷大平安,立命館宇治,東山,京都国際,乙訓,西舞鶴,鳥羽,塔南,11,0
2019,,立命館宇治,京都国際,龍谷大平安,京都共栄,塔南,福知山成美,京都外大西,峰山,3,2
2021,,京都国際,京都外大西,乙訓,東山,塔南,西城陽,鳥羽,京都成章,6,4
2022,,京都国際,龍谷大平安,京都外大西,乙訓,立命館宇治,京都翔英,京都文教,東山,6,1
2023,,立命館宇治,京都翔英,龍谷大平安,立命館,京都成章,宮津天橋,京都国際,福知山成美,7,6
2024,,京都国際,京都外大西,鳥羽,龍谷大平安,北嵯峨,洛星,西城陽,乙訓,14,3
2025,,京都国際,鳥羽,立命館宇治,京都外大西,北嵯峨,西城陽,立命館,乙訓,4,3
