# 三重単独開催の選手権三重大会のみ収録(合同予選の年は対象外)
# 出典: bibijr.vivian.jp(高校野球データベース)のトーナメント表より集計
年,ブロック,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
1958,,松阪商,四日市,宇治山田商,白子,伊勢,員弁,四日市商,津商,6,3
1963,,相可,三重,松阪商,四日市工,宇治山田,上野商工,伊勢,久居農林,10,8
1968,,三重,ジ・オリオン,四日市工,海星,紀南,木本,宇治山田商,津,7,1
1973,,三重,津商,津工,四日市工,木本,桑名,宮川,宇治山田商,9,2
1975,,三重,相可,木本,宇治山田商,名張桔梗丘,神戸,海星,日生学園,5,3
1976,,三重,津商,宇治山田商,海星,紀南,松阪工,松阪,相可,3,0
1977,,海星,三重,桑名西,伊勢,松阪工,名張桔梗丘,相可,四日市,5,2
1978,,宇治山田商,三重,海星,明野,伊勢工,飯南,鳥羽,桑名,4,0
1979,,相可,上野,松阪工,木本,明野,松阪,宇治山田商,白山,5,0
1980,,明野,名張桔梗丘,海星,松阪商,伊勢工,鈴鹿,日生学園,四日市西,8,0
1981,,海星,宇治山田商,鳥羽,神戸,木本,伊勢工,三重,相可,4,0
1982,,明野,相可,三重,津工,四日市工,津西,日生第一,松阪,9,5
1983,,相可,宇治山田商,日生第二,海星,高田,津工,木本,四日市工,7,4
1984,,明野,津工,三重,津,桑名北,鈴鹿,相可,津西,4,3
1985,,海星,明野,木本,桑名北,久居農林,三重,鳥羽,伊勢,4,2
1986,,明野,名張,宇治山田商,三重,木本,松阪,桑名,桑名西,16,0
1987,,明野,四日市工,日生第二,桑名西,相可,伊勢,三重,木本,4,2
1988,,伊勢工,四日市工,久居農林,鳥羽,相可,神戸,日生第二,川越,3,2
1989,,海星,三重,桑名西,四日市工,津西,明野,伊勢,川越,5,4
1990,,海星,四日市工,明野,津西,三重,桑名西,員弁,桑名,5,1
1991,,四日市工,三重,尾鷲,伊勢工,高田,桑名西,桑名北,宇治山田,1,0
1992,,三重,宇治山田,津工,明野,四日市工,日生第二,海星,津東,2,1
1993,,海星,三重,四日市工,久居,日生第一,紀南,相可,日生第二,1,0
1994,,海星,宇治山田商,松阪,桑名西,熊野高専,伊勢工,久居,四日市工,10,1
1995,,三重,四日市工,津東,四日市南,紀南,神戸,久居,稲生,9,7
1996,,海星,明野,四日市工,四日市西,久居,津東,川越,菰野,7,1
1997,,桑名西,鈴鹿,四日市工,伊勢工,津商,四日市南,久居,相可,5,3
1998,,海星,三重,相可,伊勢,桑名西,木本,高田,鈴鹿,2,0
1999,,四日市工,海星,明野,津田学園,相可,桑名,久居,桑名西,4,3
2000,,日生第二,海星,菰野,津田学園,桑名,久居,神戸,上野,7,2
2001,,四日市工,三重,菰野,津西,津田学園,名張西,日生第二,久居農林,2,1
2002,,久居農林,海星,三重,桑名,伊勢,神戸,相可,四日市工,10,8
2003,,宇治山田商,四日市工,久居農林,菰野,三重,相可,八木学園,四日市農芸,5,4
2004,,鈴鹿,宇治山田商,相可,いなべ総合,木本,津田学園,津商,四日市,9,8
2005,,菰野,桑名西,上野,宇治山田,久居,海星,八木学園,久居農林,2,1
2006,,三重,松阪工,宇治山田商,日生第二,白子,飯南,津田学園,久居農林,7,0
2007,,宇治山田商,菰野,海星,鈴鹿,名張桔梗丘,四日市工,日生第二,宇治山田,4,0
2008,,菰野,宇治山田商,皇学館,海星,津工,三重,桑名西,近大高専,5,2
2009,,三重,海星,皇学館,菰野,近大高専,白子,桑名工,四日市工,9,3
2010,,いなべ総合,白子,菰野,上野,津田学園,三重,桑名西,四日市,6,3
2011,,伊勢工,津西,四日市,近大高専,三重,桑名工,津,菰野,9,5
2012,,松阪,いなべ総合,四日市工,三重,白子,宇治山田商,菰野,桑名工,3,2
2013,,三重,菰野,宇治山田商,津商,松阪,四日市,稲生,海星,7,1
2014,,三重,菰野,稲生,いなべ総合,海星,近大高専,松阪,四日市工,14,1
2015,,津商,いなべ総合,四日市工,海星,松阪商,津西,津田学園,宇治山田商,8,6
2016,,いなべ総合,津田学園,海星,三重,伊勢工,津商,暁,桑名工,10,4
2017,,津田学園,三重,菰野,津商,四日市南,いなべ総合,近大高専,海星,4,3
2018,,白山,松阪商,海星,いなべ総合,暁,四日市,皇学館,松阪,8,2
2019,,津田学園,海星,菰野,宇治山田商,桑名西,暁,皇学館,津工,6,4
2021,,三重,津田学園,宇治山田商,津商,高田,松阪商,皇学館,菰野,6,5
2022,,三重,津商,松阪商,菰野,四日市南,海星,津田学園,津西,11,6
2023,,いなべ総合,宇治山田商,津田学園,津商,白山,三重,木本,松阪商,7,6
2024,,菰野,鈴鹿,津田学園,三重,近大高専,高田,海星,明野,2,0
2025,,津田学園,津商,菰野,宇治山田商,明野,海星,昴学園,久居農林,1,0
