# 宮城単独開催の選手権宮城大会のみ収録(合同予選の年は対象外)
# 出典: bibijr.vivian.jp(高校野球データベース)のトーナメント表より集計
年,ブロック,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
1958,,東北,仙台商,仙台,仙台二,石巻,佐沼,仙台育英,古川,5,0
1963,,仙台育英,東北,気仙沼,仙台一,亘理農,塩釜,仙台二,仙台商,4,1
1968,,東北,築館,仙台商,佐沼,気仙沼,大河原,仙台三,石巻,10,1
1973,,仙台育英,東北,仙台商,仙台二,仙台工,仙台三,涌谷,東北工大電子,6,0
1976,,東北,仙台商,仙台二,石巻,柴田農林,黒川,仙台三,石巻商,6,1
1977,,仙台育英,東北,石巻商,仙台商,東北工大電子,石巻,泉,仙台三,1,0
1978,,仙台育英,東北,宮城農,仙台三,東北工大電子,仙台工,仙台商,古川工,7,0
1979,,東北,仙台育英,塩釜,仙台工,仙台南,宮城工,多賀城,仙台商,15,5
1980,,東北,仙台商,白石,塩釜,名取,岩出山,仙台二,佐沼,6,1
1981,,仙台育英,東北,仙台三,築館,佐沼,泉,古川,東北学院,3,0
1982,,東北,仙台育英,仙台商,宮城工,石巻工,仙台,宮城水産,仙台二,2,0
1983,,仙台商,仙台三,東北工大電子,東北,仙台向山,名取,仙台育英,石巻工,7,0
1984,,東北,仙台育英,築館,石巻工,宮城農,仙台商,東北学院,石巻,3,1
1985,,東北,仙台西,名取,気仙沼水産,仙台商,東陵,仙台工,石巻工,7,2
1986,,仙台育英,仙台工,東北,仙台一,名取北,古川商,古川工,仙台商,8,6
1987,,東北,仙台育英,気仙沼,気仙沼水産,仙台商,仙台二,石巻工,築館,4,2
1988,,東陵,東北,仙台育英,仙台二,仙台商,築館,仙台南,気仙沼,4,0
1989,,仙台育英,仙台三,佐沼,仙台商,東陵,東北学院榴ヶ岡,泉館山,古川工,12,0
1990,,仙台育英,東陵,東北,泉館山,仙台工,利府,気仙沼水産,多賀城,5,3
1991,,東北,利府,仙台育英,東陵,宮城農,白石工,柴田,仙台工,5,2
1992,,仙台育英,東北学院榴ヶ岡,宮城農,東北工大電子,東北,石巻商,柴田,泉館山,5,0
1993,,東北,仙台工,古川工,泉館山,利府,仙台一,仙台育英,仙台,15,0
1994,,仙台育英,仙台工,仙台,東北,東北工大高,東陵,仙台三,仙台商,3,1
1995,,仙台育英,仙台商,仙台,柴田,東陵,宮城農,仙台二,仙台工,7,6
1996,,仙台育英,仙台商,仙台三,仙台工,古川工,東北,仙台東,東北学院榴ヶ岡,8,2
1997,,仙台育英,東北,仙台商,仙台工,仙台南,仙台,柴田,小牛田農林,8,6
1998,,仙台,東北,仙台育英,利府,仙台南,気仙沼向洋,仙台一,大河原商,2,1
1999,,仙台育英,利府,仙台,東北,古川商,宮城水産,仙台商,東陵,17,1
2000,,仙台育英,東北,利府,気仙沼向洋,仙台工,大河原商,仙台二,宮城農,6,4
2001,,仙台育英,東北,仙台西,石巻,東北学院榴ヶ岡,大河原商,東北学院,仙台東,1,0
2002,,仙台西,柴田,仙台,仙台三,仙台一,東北,仙台二,石巻,6,0
2003,,東北,仙台育英,気仙沼向洋,一迫商,石巻工,東陵,大河原商,古川,5,4
2004,,東北,利府,富谷,東陵,仙台二,大河原商,仙台育英,仙台商,20,2
2005,,東北,石巻工,仙台育英,宮城農,宮城水産,仙台東,一迫商,仙台,18,2
2006,,仙台育英,東北,富谷,泉松陵,仙台,東陵,一迫商,松島,6,2
2007,,仙台育英,仙台商,東北,利府,古川学園,黒川,佐沼,東北学院,8,4
2008,,仙台育英,東北,一迫商,仙台二,仙台,気仙沼,石巻西,聖和学園,1,0
2009,,東北,仙台育英,利府,気仙沼向洋,泉松陵,一迫商,東陵,宮城農,4,1
2010,,仙台育英,気仙沼向洋,利府,東北,東北学院,泉館山,仙台東,仙台一,28,1
2011,,古川工,利府,東北,仙台商,東北学院,登米,東陵,仙台育英,3,1
2012,,仙台育英,東北,聖和学園,利府,大崎中央,石巻西,東陵,柴田,2,1
2013,,仙台育英,柴田,聖和学園,仙台三,大崎中央,仙台商,宮城農,気仙沼,6,5
2014,,利府,佐沼,気仙沼,塩釜,東北,石巻,東北学院,泉松陵,3,2
2015,,仙台育英,古川工,石巻,東北学院榴ヶ岡,仙台三,泉,仙台二,岩ヶ崎,13,0
2016,,東北,利府,仙台育英,東陵,東北学院榴ヶ岡,佐沼,柴田,登米,5,0
2017,,仙台育英,東北,東陵,仙台三,黒川,聖和学園,石巻工,仙台,7,2
2018,,仙台育英,古川工,仙台三,柴田,東北学院,古川学園,東北生文大高,石巻,7,0
2019,,仙台育英,東北,東北学院榴ヶ岡,柴田,仙台,聖和学園,東北生文大,仙台南,15,10
2021,,東北学院,仙台三,聖和学園,古川学園,仙台商,東北,仙台西,東北学院榴ヶ岡,12,5
2022,,仙台育英,聖和学園,仙台南,古川学園,日本ウェルネス宮城,名取北,東陵,東北,3,1
2023,,仙台育英,仙台城南,東陵,利府,東北,塩釜,古川学園,古川工,18,0
2024,,聖和学園,仙台育英,古川学園,仙台商,柴田,東陵,仙台東,東北学院榴ヶ岡,8,5
2025,,仙台育英,東北学院榴ヶ岡,仙台一,東陵,東北,古川学園,利府,仙台商,10,0
