# 宮崎単独開催の選手権宮崎大会のみ収録(合同予選の年は対象外)
# 出典: bibijr.vivian.jp(高校野球データベース)のトーナメント表より集計
年,ブロック,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
1958,,大淀,宮崎商,都城泉ヶ丘,宮崎大宮,延岡恒富,日向学院,都城都島,高鍋,5,1
1963,,宮崎商,高鍋,本庄,都農,延岡商,小林,延岡向洋,都城商,4,3
1968,,延岡商,日南工,宮崎大宮,福島,宮崎商,本庄,都城農,延岡工,5,2
1973,,高鍋,都城,日南工,宮崎日大,日向学院,都農,妻,宮崎商,8,0
1975,,日南,宮崎商,都城農,日南振徳商,都城工,宮崎日大,日向学院,宮崎電子工,4,3
1976,,福島,日南,延岡学園,高鍋,日向学院,延岡工,都城工,宮崎南,2,0
1977,,都城,延岡学園,宮崎電子工,都城商,延岡工,延岡商,都城工,福島,2,0
1978,,延岡学園,高鍋,都城商,延岡商,宮崎商,延岡西,日向学院,都城,2,1
1979,,都城,日向学院,延岡商,都城農,福島,宮崎大宮,延岡学園,日南振徳商,8,2
1980,,日向学院,延岡,都城商,宮崎日大,都城,都城西,宮崎工,福島,4,3
1981,,都城商,都城工,高鍋,延岡学園,延岡,本庄,福島,日向学院,2,0
1982,,都城,延岡西,日向,宮崎日大,都城東,宮崎工,宮崎商,高鍋,2,0
1983,,高鍋,延岡工,宮崎南,日向学院,都城泉ヶ丘,都城商,日南学園,都城西,7,2
1984,,都城,高鍋,宮崎実,延岡西,都城西,宮崎工,都城商,延岡工,1,0
1985,,延岡商,日南,延岡東,延岡工,宮崎大宮,日向学院,都城商,宮崎商,3,2
1986,,日南,宮崎商,延岡学園,宮崎大宮,延岡工,都城工,日向学院,都農,2,0
1987,,延岡工,日章学園,宮崎南,都城西,都城工,都城商,日南学園,宮崎中央,9,5
1988,,宮崎南,都城,都城工,日南学園,宮崎第一,延岡東,小林,延岡商,8,1
1989,,日向,日章学園,宮崎日大,都城商,延岡学園,高鍋,日南学園,日南,15,3
1990,,都城,延岡学園,延岡東,延岡工,鵬翔,日向,宮崎日大,小林西,7,2
1991,,延岡学園,日向,日章学園,日南振徳商,高鍋,宮崎南,都城泉ヶ丘,日南学園,5,4
1992,,延岡工,都城,高鍋,日向,日章学園,日向学院,延岡学園,都城商,5,4
1993,,小林西,都城,日南,都城泉ヶ丘,延岡学園,鵬翔,都城農,高鍋,7,5
1994,,延岡学園,都城,小林,日南,妻,都城泉ヶ丘,宮崎第一,日章学園,7,6
1995,,日南学園,宮崎商,小林,鵬翔,日章学園,宮崎北,都城,宮崎南,4,2
1996,,都城,宮崎商,延岡西,都城工,都城泉ヶ丘,宮崎大宮,高鍋,本庄,12,4
1997,,宮崎日大,高鍋,宮崎第一,都城泉ヶ丘,日章学園,都城西,宮崎農,日向学院,6,5
1998,,日南学園,宮崎第一,延岡工,宮崎工,宮崎農,延岡,小林,宮崎商,9,5
1999,,都城,小林西,宮崎日大,鵬翔,日南学園,高鍋,小林,日向,15,2
2000,,延岡学園,宮崎日大,日章学園,日南学園,都城工,高鍋,都城泉ヶ丘,日南工,5,2
2001,,日南学園,宮崎日大,日向,小林西,西都商,宮崎大宮,宮崎農,宮崎第一,8,3
2002,,日章学園,延岡工,都城工,都城商,宮崎北,日南学園,延岡東,日向学院,8,2
2003,,日南学園,都城商,都城東,日章学園,延岡東,都農,延岡学園,宮崎大宮,7,5
2004,,佐土原,日南学園,都城泉ヶ丘,小林西,鵬翔,都城,日南農林,都城商,3,2
2005,,聖心ウルスラ,宮崎北,都城商,延岡学園,宮崎日大,都城工,都城東,日南学園,4,0
2006,,延岡学園,宮崎日大,日章学園,都城商,宮崎第一,宮崎学園,都城東,日南学園,9,1
2007,,日南学園,都城商,宮崎日大,宮崎商,日向,都城泉ヶ丘,宮崎工,延岡工,6,4
2008,,宮崎商,日南学園,都城東,延岡学園,都城農,宮崎日大,日章学園,鵬翔,2,1
2009,,都城商,宮崎商,宮崎農,宮崎日大,聖心ウルスラ,延岡学園,宮崎工,都城東,5,1
2010,,延岡学園,宮崎第一,宮崎商,佐土原,宮崎工,宮崎大宮,宮崎日大,日南学園,6,2
2011,,日南学園,延岡学園,鵬翔,宮崎商,都城東,宮崎日大,宮崎北,都城商,4,3
2012,,宮崎工,聖心ウルスラ,延岡学園,宮崎農,宮崎日大,宮崎商,日南学園,都城泉ヶ丘,5,4
2013,,延岡学園,聖心ウルスラ,日南学園,宮崎商,鵬翔,宮崎第一,宮崎南,宮崎大宮,7,6
2014,,日南学園,日章学園,宮崎日大,延岡工,宮崎大宮,延岡星雲,延岡商,佐土原,2,0
2015,,宮崎日大,宮崎学園,聖心ウルスラ,都城商,都城,宮崎商,宮崎第一,延岡学園,13,0
2016,,日南学園,宮崎商,宮崎工,宮崎大宮,佐土原,鵬翔,宮崎日大,富島,5,1
2017,,聖心ウルスラ,日向学院,宮崎日大,都城商,鵬翔,宮崎学園,高千穂,宮崎南,7,2
2018,,日南学園,日章学園,富島,宮崎工,都城東,小林西,聖心ウルスラ,宮崎日大,11,8
2019,,富島,小林西,都城工,都城東,小林,宮崎日大,日南振徳,宮崎第一,4,0
2021,,宮崎商,延岡学園,日南学園,宮崎日大,都城西,都城泉ヶ丘,妻,都城東,4,0
2022,,富島,宮崎西,小林西,都城泉ヶ丘,日章学園,都城商,小林秀峰,宮崎学園,2,0
2023,,宮崎学園,聖心ウルスラ,日南学園,延岡学園,高鍋,宮崎第一,日章学園,小林西,1,0
2024,,宮崎商,富島,都城,日南学園,延岡学園,聖心ウルスラ,宮崎日大,小林西,4,3
2025,,宮崎商,日南学園,日章学園,富島,宮崎南,延岡工,延岡学園,聖心ウルスラ,4,3
