# 長野単独開催の選手権長野大会のみ収録(合同予選の年は対象外)
# 出典: bibijr.vivian.jp(高校野球データベース)のトーナメント表より集計
年,ブロック,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
1958,,松商学園,飯田,丸子実,辰野,上田,須坂西,野沢北,松本県ヶ丘,1,0
1959,,松商学園,桔梗ヶ原,穂高,小諸商,長野,大町,岩村田,上田,5,2
1960,,赤穂,長野,長野商,松代,須坂商,長野工,大町,埴生,3,1
1961,,伊那北,須坂商,松代,岡谷工,松商学園,長野,長野商,辰野,5,1
1962,,長野,丸子実,伊那北,赤穂,穂高,諏訪実,須坂商,岡谷南,8,0
1963,,松商学園,長野,岡谷工,須坂商,長野中央,丸子実,長野工,伊那北,2,0
1964,,松商学園,小諸商,松代,丸子実,大町,下伊那農,松本県ヶ丘,長野吉田,6,5
1965,,丸子実,臼田,野沢北,長野中央,長野,大町,松代,南安曇農,7,0
1966,,塚原,塚原天竜,長野,上田,伊那北,長野吉田,岡谷南,須坂商,4,1
1967,,松商学園,塚原天竜,丸子実,辰野,佐久,須坂商,松本県ヶ丘,野沢北,2,1
1968,,岡谷工,長野,大町,松商学園,飯田長姫,長野工,長野吉田,丸子実,2,1
1969,,松商学園,須坂商,塚原,塚原天竜,大町,長野工,岩村田,駒ヶ根工,6,5
1970,,須坂園芸,岡谷南,丸子実,須坂商,飯田,南安曇農,長野商,岩村田,5,0
1971,,須坂商,長野吉田,岩村田,辰野,岡谷南,穂高商,丸子実,茅野,4,1
1972,,丸子実,松商学園,伊那北,大町,長野中央,長野商,塚原天竜,岡谷工,3,1
1973,,丸子実,松商学園,長野工,須坂,岡谷工,長野,須坂商,坂城,5,4
1974,,野沢北,丸子実,岡谷南,松商学園,飯田長姫,松代,北佐久農,岡谷工,1,0
1975,,松商学園,丸子実,岡谷工,辰野,長野商,松本県ヶ丘,飯田長姫,松代,3,2
1976,,松商学園,松代,須坂商,上田,丸子実,小諸商,臼田,岩村田,5,4
1977,,松商学園,丸子実,長野工,赤穂,信州工,松本工,塩尻,望月,4,1
1978,,松商学園,南安曇農,信州工,松代,松本県ヶ丘,上田,上田東,長野吉田,4,0
1979,,松商学園,松代,丸子実,東海大三,赤穂,岩村田,岡谷工,池田工,11,3
1980,,松商学園,東海大三,松代,上田,小諸,長野工,信州工,穂高商,5,0
1981,,岡谷工,上田,松商学園,丸子実,諏訪清陵,長野吉田,東海大三,松代,5,0
1982,,丸子実,信州工,長野,松代,飯田工,東海大三,須坂商,伊那北,6,5
1983,,長野商,飯田,松本工,岡谷工,上田染谷丘,須坂,東海大三,佐久,2,1
1984,,篠ノ井,丸子実,諏訪清陵,長野,長野商,穂高商,天竜光洋,南安曇農,5,4
1985,,丸子実,松代,岡谷南,飯山北,長野,上田,東海大三,中野,6,2
1986,,松商学園,長野商,駒ヶ根工,松川,東海大三,南安曇農,伊那北,上田,7,1
1987,,上田,丸子実,長野工,松代,岡谷南,東海大三,信州工,長野,4,3
1988,,上田東,佐久,信州工,下諏訪向陽,伊那北,穂高商,長野商,松商学園,3,2
1989,,丸子実,岡谷南,佐久,上田東,松本深志,岡谷工,松川,上田,5,4
1990,,丸子実,信州工,長野日大,東海大三,岡谷工,岡谷南,諏訪清陵,上田東,14,2
1991,,松商学園,佐久,長野南,信州工,東海大三,飯田,上田染谷丘,岡谷南,7,3
1992,,松商学園,佐久,野沢北,岡谷工,丸子実,岩村田,上田西,須坂,5,4
1993,,松商学園,岩村田,佐久,諏訪二葉,長野日大,大町,松本工,南安曇農,7,0
1994,,佐久,松商学園,篠ノ井,長野,岡谷工,飯田風越,東海大三,須坂,5,2
1995,,佐久長聖,松商学園,長野日大,松本工,丸子実,上田,岩村田,長野,5,4
1996,,東海大三,諏訪清陵,上田西,信州工,長野商,松川,松商学園,伊那北,3,1
1997,,松商学園,上田西,東海大三,佐久長聖,信州工,上田染谷丘,阿智,長野日大,13,6
1998,,佐久長聖,東海大三,諏訪清陵,松商学園,中野西,塩尻,信州工,上田西,10,3
1999,,松商学園,東海大三,佐久長聖,長野日大,上田東,上田,上田西,信州工,4,2
2000,,松商学園,長野商,東海大三,松本深志,佐久長聖,信州工,長野日大,上田西,3,2
2001,,塚原青雲,佐久長聖,長野商,松商学園,武蔵工大二,上田西,長野日大,松本県ヶ丘,4,1
2002,,佐久長聖,丸子実,東海大三,松本工,飯山北,上田西,長野日大,伊那弥生ヶ丘,6,5
2003,,長野工,上田西,辰野,塩尻志学館,上田千曲,松商学園,武蔵工大二,長野商,7,5
2004,,塚原青雲,諏訪清陵,上田西,長野商,長野吉田,上田千曲,佐久長聖,上田,5,4
2005,,松商学園,佐久長聖,武蔵工大二,創造学園大付,諏訪清陵,辰野,丸子実,飯山南,8,6
2006,,松代,佐久長聖,辰野,松商学園,松本工,創造学園大付,上田千曲,上田,12,10
2007,,松商学園,長野,創造学園大付,上田西,諏訪清陵,長野日大,地球環境,長野商,7,6
2008,,松商学園,佐久長聖,東海大三,諏訪清陵,須坂東,長野,松本工,野沢北,3,2
2009,,長野日大,松本第一,地球環境,飯山,長野商,丸子修学館,松商学園,佐久長聖,11,1
2010,,松本工,松商学園,上田千曲,佐久長聖,長野日大,長野,丸子修学館,東海大三,6,5
2011,,東京都市大塩尻,松商学園,松本第一,小諸商,東海大三,長野日大,飯山,佐久長聖,7,6
