# 長崎単独開催の選手権長崎大会のみ収録(合同予選の年は対象外)
# 出典: bibijr.vivian.jp(高校野球データベース)のトーナメント表より集計
年,ブロック,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
1958,,長崎南山,西海学園,佐世保工,海星,長崎西,佐世保北,猶興館,北松南,2,0
1963,,海星,西海学園,佐世保工,猶興館,長崎南山,佐世保商,長崎西,長崎東,7,3
1968,,海星,佐世保工,長崎商,諫早,島原,大崎,九州経営学園,佐世保北,14,1
1973,,海星,長崎工,長崎商,佐世保北,長崎北,鹿町工,北松南,大崎,7,1
1978,,佐世保工,壱岐,長崎東,小浜,佐世保西,諫早,佐世保高専,長崎商,14,0
1979,,諫早,長崎商,大村工,長崎北,大崎,海星,猶興館,長崎工,17,0
1980,,瓊浦,海星,長崎工,長崎西,長崎商,鎮西学院,佐世保北,諫早,6,4
1981,,長崎西,長崎東,諫早,長崎商,佐世保南,海星,佐世保商,長崎工,4,3
1982,,佐世保工,長崎商,鎮西学院,佐世保実,長崎工,大村,海星,国見,4,3
1983,,佐世保工,五島,佐世保実,上五島,海星,長崎西,鎮西学院,諫早,4,0
1984,,海星,上五島,佐世保実,長崎南山,大村,小浜,島原中央,長崎日大,16,3
1985,,佐世保実,佐世保北,海星,長崎商,長崎西,佐世保商,五島商,長崎南山,17,5
1986,,島原中央,佐世保実,佐世保商,波佐見,瓊浦,海星,五島,長崎南,4,3
1987,,長崎商,長崎東,海星,島原中央,瓊浦,佐世保北,口加,波佐見,4,0
1988,,小浜,海星,瓊浦,諫早,長崎西,長崎東,長崎日大,波佐見,2,1
1989,,海星,佐世保実,島原中央,西海学園,佐世保工,大村工,島原工,波佐見,3,2
1990,,海星,長崎商,長崎日大,長崎南山,国見,大村,長崎北陽台,上五島,1,0
1991,,瓊浦,海星,長崎南山,長崎日大,西彼杵,佐世保南,諫早,長崎北陽台,13,11
1992,,佐世保実,長崎商,海星,波佐見,西陵,鹿町工,長崎日大,島原,3,2
1993,,長崎日大,波佐見,長崎商,海星,瓊浦,諫早,小浜,長崎南山,5,4
1994,,長崎北陽台,海星,長崎南山,諫早商,佐世保実,諫早,長崎工,佐世保北,7,3
1995,,長崎日大,波佐見,佐世保実,海星,長崎北陽台,島原工,佐世保工,諫早商,9,3
1996,,波佐見,長崎日大,瓊浦,島原中央,長崎商,長崎南,長崎総大付,長崎南山,3,2
1997,,長崎南山,長崎商,長崎日大,諫早,長崎西,国見,長崎工,波佐見,10,3
1998,,長崎日大,諫早,大村工,西海学園,佐世保実,長崎商,国見,波佐見,4,1
1999,,長崎日大,海星,波佐見,佐世保工,長崎北陽台,長崎北,瓊浦,長崎総大付,2,0
2000,,長崎日大,波佐見,佐世保実,瓊浦,海星,佐世保工,長崎南山,長崎商,10,4
2001,,波佐見,長崎商,諫早,島原中央,長崎日大,長崎西,佐世保工,佐世保実,7,2
2002,,海星,長崎南山,島原中央,佐世保工,創成館,瓊浦,壱岐,長崎商,6,2
2003,,長崎日大,波佐見,佐世保工,大村工,長崎西,諫早,西陵,海星,9,1
2004,,佐世保実,清峰,長崎日大,波佐見,鎮西学院,大村工,長崎商,長崎西,9,7
2005,,清峰,瓊浦,波佐見,創成館,長崎日大,長崎商,長崎工,西海学園,13,8
2006,,清峰,波佐見,長崎南山,瓊浦,佐世保北,創成館,西陵,長崎日大,2,0
2007,,長崎日大,長崎北,清峰,島原工,鎮西学院,長崎西,諫早農,波佐見,15,2
2008,,清峰,鎮西学院,波佐見,長崎商,北松西,佐世保実,瓊浦,海星,5,3
2009,,長崎日大,創成館,瓊浦,波佐見,清峰,五島海陽,諫早,長崎商,7,4
2010,,長崎日大,海星,佐世保実,長崎商,創成館,大村工,長崎西,鹿町工,4,1
2011,,海星,清峰,西陵,瓊浦,諫早,小浜,佐世保実,佐世保工,8,7
2012,,佐世保実,長崎商,瓊浦,海星,長崎日大,創成館,大村工,清峰,2,1
2013,,佐世保実,長崎日大,海星,創成館,諫早,鹿町工,諫早農,瓊浦,4,3
2014,,海星,創成館,長崎商,九州文化学園,小浜,佐世保工,波佐見,島原農,7,4
2015,,創成館,海星,長崎商,佐世保実,波佐見,長崎南山,大村工,島原農,7,3
2016,,長崎商,大村工,清峰,創成館,波佐見,佐世保北,長崎日大,海星,1,0
2017,,波佐見,清峰,瓊浦,長崎日大,創成館,鹿町工,長崎北,九州文化学園,4,2
2018,,創成館,海星,佐世保工,長崎商,長崎日大,鎮西学院,長崎東,佐世保実,6,1
2019,,海星,鎮西学院,長崎商,長崎日大,諫早農,創成館,九州文化学園,長崎総大付,10,1
2021,,長崎商,大崎,海星,小浜,諫早農,長崎西,鹿町工,壱岐,5,4
2022,,海星,創成館,大崎,波佐見,鹿町工,長崎日大,壱岐,長崎商,9,2
2023,,創成館,海星,大崎,長崎日大,清峰,長崎商,九州文化学園,長崎北,3,2
2024,,創成館,清峰,長崎総大付,大崎,長崎日大,鹿町工,九州文化学園,長崎商,4,0
2025,,創成館,九州文化学園,長崎日大,小浜,海星,長崎商,波佐見,佐世保北,4,3
