# 奈良単独開催の選手権奈良大会のみ収録(合同予選の年は対象外)
# 出典: bibijr.vivian.jp(高校野球データベース)のトーナメント表より集計
年,ブロック,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
1958,,御所工,天理,田原本農,帝塚山,高田商,郡山,高田,大宇陀,3,2
1963,,高田商,御所工,五條,天理,大宇陀,吉野工,郡山,榛原,3,2
1968,,智弁学園,郡山,高田商,一条,吉野工,榛原,郡山農,桜井商,5,1
1973,,天理,郡山,奈良商,郡山農,御所工,畝傍,吉野工,正強,1,0
1978,,天理,郡山,智弁学園,桜井商,一条,橿原,広陵,奈良商,6,4
1979,,天理,智弁学園,郡山,北大和,斑鳩,橿原,榛原,畝傍,11,1
1980,,天理,広陵,奈良工,智弁学園,御所工,奈良商,大宇陀,二階堂,2,0
1981,,智弁学園,畝傍,広陵,郡山,橿原,橿原学院,奈良高専,生駒,3,2
1982,,智弁学園,郡山,御所工,一条,二階堂,高田,奈良商,五條,5,0
1983,,天理,斑鳩,郡山,奈良工,一条,奈良商,生駒,添上,5,1
1984,,智弁学園,橿原,天理,正強,大淀,二階堂,奈良工,耳成,6,0
1985,,智弁学園,天理,大淀,吉野,郡山,桜井商,志貴,斑鳩,9,8
1986,,天理,広陵,奈良商,斑鳩,帝塚山,橿原,五條,智弁学園,6,3
1987,,天理,御所工,西の京,郡山,北大和,広陵,五條,奈良,6,3
1988,,天理,郡山,桜井商,片桐,御所工,二階堂,斑鳩,西の京,7,0
1989,,智弁学園,斑鳩,天理,桜井商,吉野,生駒,正強,平城,5,4
1990,,天理,香芝,智弁学園,橿原,奈良,北大和,片桐,耳成,5,0
1991,,天理,高田商,五條,奈良,郡山,畝傍,片桐,一条,3,1
1992,,天理,智弁学園,片桐,桜井商,斑鳩,正強,耳成,高田商,5,4
1993,,郡山,智弁学園,五條,天理,片桐,橿原,御所工,一条,4,1
1994,,天理,桜井商,正強,高田商,奈良工,五條,耳成,北大和,1,0
1995,,智弁学園,高田,香芝,正強,信貴ヶ丘,一条,郡山,桜井,4,3
1996,,天理,郡山,奈良大付,北大和,西の京,御所工,五條,奈良,1,0
1997,,智弁学園,天理,郡山,桜井商,片桐,桜井,富雄,奈良商,2,1
1998,,智弁学園,高田,天理,広陵,西の京,御所工,高田商,奈良工,6,3
1999,,智弁学園,高田,郡山,高田商,奈良女大付,上牧,富雄,片桐,6,1
2000,,郡山,智弁学園,登美ヶ丘,田原本農,香芝,奈良大付,橿原,五條,5,3
2001,,智弁学園,片桐,高田商,高田,奈良大付,上牧,北大和,西の京,11,2
2002,,智弁学園,奈良大付,天理,奈良商,上牧,桜井,平城,桜井商,9,3
2003,,天理,郡山,奈良大付,智弁学園,奈良工,上牧,一条,五條,8,3
2004,,天理,高田商,広陵,智弁学園,片桐,登美ヶ丘,奈良商,郡山,5,1
2005,,天理,広陵,高取国際,桜井,郡山,奈良女大付,奈良大付,奈良商,7,2
2006,,天理,斑鳩・法隆寺国際,智弁学園,桜井,奈良商,奈良大付,大淀,広陵・大和広陵,4,3
2007,,智弁学園,奈良大付,天理,橿原,奈良商・朱雀,法隆寺国際,添上,王寺工,13,2
2008,,智弁学園,奈良大付,登美ヶ丘,郡山,大和広陵,橿原学院,五條,平城,3,1
2009,,天理,郡山,一条,畝傍,高田商,桜井,平城,大和広陵,7,2
2010,,天理,智弁学園,高田商,奈良大付,法隆寺国際,桜井,生駒,橿原,14,1
2011,,智弁学園,桜井,奈良,畝傍,高田商,関西中央,奈良情報商,奈良朱雀,8,3
2012,,天理,畝傍,橿原学院,智弁学園,郡山,登美ヶ丘,関西中央,添上,13,6
2013,,桜井,奈良大付,大和広陵,奈良朱雀,香芝,智弁学園,五條,橿原,4,1
2014,,智弁学園,天理,大和広陵,畝傍,登美ヶ丘,法隆寺国際,御所実,奈良大付,8,6
2015,,天理,大和広陵,畝傍,奈良,磯城野,高田商,関西中央,橿原学院,8,1
2016,,智弁学園,天理,郡山,奈良大付,奈良,五條,奈良朱雀,高田,6,5
2017,,天理,奈良大付,智弁学園,高田商,高円,登美ヶ丘,橿原学院,関西中央,2,1
2018,,奈良大付,天理,橿原学院,智弁学園,法隆寺国際,高取国際,五條,一条,10,9
2019,,智弁学園,高田商,法隆寺国際,大和広陵,生駒,関西中央,登美ヶ丘,天理,12,5
2021,,智弁学園,高田商,天理,奈良大付,五條,一条,郡山,法隆寺国際,6,4
2022,,天理,生駒,高田商,智弁学園,御所実,奈良北,橿原,大和広陵,21,0
2023,,智弁学園,高田商,天理,橿原学院,大和広陵,磯城野,御所実,高田,8,1
2024,,智弁学園,奈良大付,高田商,郡山,奈良,御所実,大和広陵,天理,5,4
2025,,天理,智弁学園,橿原,奈良大付,橿原学院,桜井,畝傍,御所実,3,2
