# 新潟単独開催の選手権新潟大会のみ収録(合同予選の年は対象外)
# 出典: bibijr.vivian.jp(高校野球データベース)のトーナメント表より集計
年,ブロック,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
1958,,新潟商,新発田,新発田農,新潟市工,長岡商,新津,新潟明訓,柏崎工,4,0
1963,,新潟商,北越商,新潟短大付,新潟市工,新発田商工,直江津,三条実,新潟工,15,1
1968,,新潟商,柏崎工,三条商,高田商,村松,三条工,中越,長岡,2,0
1973,,糸魚川商工,新潟商,長岡商,新潟南,新発田農,長岡,長岡工,白根,6,2
1974,,長岡商,中越,新津工,新潟明訓,柏崎工,巻,新潟南,糸魚川商工,3,2
1975,,新潟商,柏崎工,糸魚川商工,三条,長岡,長岡工,中越,新津工,3,2
1976,,高田商,長岡,長岡商,新発田農,長岡大手,新発田,与板,中越,7,5
1977,,長岡,小千谷,新発田農,高田工,長岡商,新潟南,村松,新潟西,13,2
1978,,中越,新発田農,新潟工,新潟,長岡大手,長岡,長岡工,小千谷,6,1
1979,,長岡,糸魚川商工,高田商,加茂暁星,新潟,長岡工,長岡大手,新津工,5,3
1980,,新発田農,与板,新発田,長岡,三条,吉田商,十日町,新潟商,5,2
1981,,新発田農,中越,新潟南,新発田中央,水原,長岡農,新潟工,中条,6,4
1982,,新潟工,高志,中越,長岡,小出,新潟明訓,長岡商,長岡工,5,0
1983,,中越,新潟明訓,新発田農,新潟,長岡,新潟南,長岡商,栃尾,4,0
1984,,新潟南,十日町実,新潟江南,柏崎,新発田農,長岡大手,新発田南,中条,8,0
1985,,中越,高田工,新潟江南,新潟,新発田,糸魚川,長岡大手,新発田農,5,2
1986,,中越,十日町,吉田商,新発田農,新潟江南,柏崎工,新津工,長岡商,5,3
1987,,新発田農,中越,五泉,糸魚川商工,安田,新潟南,十日町,新潟明訓,8,3
1988,,中越,糸魚川,新潟明訓,新潟工,新潟商,柏崎工,関根学園,栃尾,2,0
1989,,新潟南,新発田農,十日町,見附,中条,糸魚川,中越,高志,4,1
1990,,高田工,新発田農,新潟明訓,日本文理,柏崎工,吉田商,新発田中央,新潟工,13,3
1991,,新潟明訓,柏崎,日本文理,新発田農,五泉,新発田南,十日町,新潟工,10,2
1992,,長岡向陵,新潟南,直江津,北越,新発田農,十日町,長岡大手,新潟明訓,2,1
1993,,新潟明訓,日本文理,十日町,燕,帝京長岡,新発田中央,六日町,高田工,8,1
1994,,中越,高田工,六日町,五泉,東京学館新潟,新潟産大付,日本文理,柏崎常盤,2,1
1995,,六日町,新発田農,日本文理,中越,新潟工,十日町,長岡,新潟明訓,8,0
1996,,中越,新潟江南,日本文理,新津工,新潟,五泉,新発田農,長岡大手,4,1
1997,,日本文理,中越,新潟明訓,十日町,関根学園,佐渡,加茂暁星,帝京長岡,4,2
1998,,新発田農,新発田中央,日本文理,新潟明訓,糸魚川白嶺,新潟工,東京学館新潟,新潟江南,3,1
1999,,新潟明訓,新潟工,新発田南,柏崎常盤,新津工,糸魚川,中越,新発田中央,8,3
2000,,新発田農,新潟明訓,東京学館新潟,新潟江南,関根学園,巻,五泉,新発田中央,3,2
2001,,十日町,日本文理,新潟明訓,関根学園,柏崎,巻,高田工,村上,8,7
2002,,日本文理,柏崎工,中越,新潟明訓,十日町,新発田農,加茂暁星,新潟南,9,3
2003,,中越,日本文理,新潟明訓,新津工,新潟商,新津,長岡向陵,六日町,5,4
2004,,日本文理,巻,北越,柏崎,十日町,新潟江南,新潟工,長岡商,5,0
2005,,新潟明訓,中越,東京学館新潟,村上桜ヶ丘,日本文理,新発田南,新潟商,新潟県央工,7,6
2006,,日本文理,新潟明訓,東京学館新潟,村松,新津南,北越,西新発田,柏崎常盤,9,0
2007,,新潟明訓,日本文理,長岡工,五泉,長岡大手,小出,中越,村上桜ヶ丘,12,3
2008,,新潟県央工,佐渡,日本文理,中越,新潟商,村上桜ヶ丘,帝京長岡,小出,3,2
2009,,日本文理,中越,新潟県央工,五泉,高田農,新潟商,新潟,柏崎,12,4
2010,,新潟明訓,日本文理,中越,三条東,新潟,村上桜ヶ丘,新発田農,六日町,11,6
2011,,日本文理,新潟明訓,中越,白根,村上桜ヶ丘,関根学園,新潟県央工,五泉,2,1
2012,,新潟明訓,中越,十日町,糸魚川,村上,新潟商,巻,新潟県央工,5,2
2013,,日本文理,村上桜ヶ丘,巻,新潟工,中越,新発田中央,新潟明訓,新発田,7,5
2014,,日本文理,関根学園,北越,新潟明訓,中越,糸魚川,帝京長岡,新潟県央工,4,2
2015,,中越,日本文理,小出,新潟,北越,村上桜ヶ丘,帝京長岡,関根学園,7,2
2016,,中越,新潟明訓,加茂暁星,巻,帝京長岡,長岡大手,長岡商,長岡工,10,2
2017,,日本文理,中越,北越,高田北城,巻総合,東京学館新潟,五泉,長岡工,6,4
2018,,中越,新発田,新潟産大付,十日町,長岡大手,開志学園,新潟,加茂暁星,10,1
2019,,日本文理,東京学館新潟,新潟,糸魚川,五泉,新潟明訓,北越,中越,12,3
2021,,日本文理,新潟産大付,開志学園,新潟明訓,関根学園,東京学館新潟,新津工,北越,7,3
2022,,日本文理,帝京長岡,中越,北越,東京学館新潟,開志学園,新潟,新潟明訓,2,1
2023,,東京学館新潟,中越,北越,加茂暁星,三条,日本文理,高田北城,新潟明訓,6,5
2024,,新潟産大付,帝京長岡,新発田南,中越,北越,十日町,日本文理,佐渡,4,2
2025,,中越,新潟産大付,関根学園,帝京長岡,六日町,十日町,北越,新潟明訓,3,2
