# 大分単独開催の選手権大分大会のみ収録(合同予選の年は対象外)
# 出典: bibijr.vivian.jp(高校野球データベース)のトーナメント表より集計
年,ブロック,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
1958,,大分上野丘,中津東,大分商,津久見,佐伯鶴城,大分舞鶴,大分,大分工,4,2
1963,,津久見,大分上野丘,大分舞鶴,鶴崎工,日田,大分商,高田,佐伯鶴城,5,2
1968,,津久見,別府鶴見丘,臼杵,大分商,日田林工,高田,大分上野丘,別府商,7,0
1973,,日田林工,大分商,津久見,柳ケ浦,佐伯鶴城,臼杵商,別府商,別府鶴見丘,3,0
1976,,柳ケ浦,鶴崎工,臼杵,日田林工,別府商,中津工,佐伯鶴城,佐伯,8,5
1977,,津久見,緒方工,佐伯豊南,日田林工,臼杵商,高田,別府大付,三重,5,3
1978,,日田林工,大分商,津久見,大分工,国東,大分上野丘,中津北,別府商,4,3
1979,,大分商,別府商,中津北,津久見,日田,大分上野丘,佐伯鶴城,日田林工,5,4
1980,,大分商,柳ケ浦,別府大付,佐伯鶴城,鶴崎工,別府鶴見丘,国東,佐伯豊南,2,1
1981,,津久見,中津工,竹田,別府青山,柳ケ浦,大分,別府鶴見丘,杵築,4,2
1982,,津久見,大分上野丘,柳ケ浦,別府鶴見丘,大分工,大分舞鶴,大分雄城台,高田,2,1
1983,,中津工,国東,佐伯鶴城,佐伯豊南,別府大付,大分工,別府鶴見丘,大分商,4,2
1984,,別府商,柳ケ浦,大分南,佐伯鶴城,佐伯豊南,杵築,津久見,中津工,6,1
1985,,津久見,佐伯豊南,別府羽室台,柳ケ浦,大分,臼杵,臼杵商,高田,9,2
1986,,佐伯鶴城,柳ケ浦,大分,別府鶴見丘,三重,別府商,大分舞鶴,中津工,7,1
1987,,柳ケ浦,鶴崎工,別府羽室台,大分,森,大分鶴崎,津久見,中津工,5,3
1988,,津久見,佐伯豊南,臼杵,鶴崎工,大分上野丘,国東,藤蔭,大分雄城台,8,4
1989,,鶴崎工,大分雄城台,佐伯鶴城,藤蔭,日田林工,臼杵,別府羽室台,大分工,6,2
1990,,藤蔭,大分商,臼杵,日田林工,津久見,大分鶴崎,国東,佐伯鶴城,5,1
1991,,柳ケ浦,臼杵,大分舞鶴,佐伯豊南,中津工,大分,大分工,国東,7,0
1992,,柳ケ浦,鶴崎工,佐伯鶴城,中津南,大分雄城台,大分,国東,藤蔭,10,1
1993,,大分工,大分,日田林工,別府大付,別府商,碩南,柳ケ浦,鶴崎工,5,3
1994,,柳ケ浦,鶴崎工,別府鶴見丘,藤蔭,森,竹田,国東,日田,3,2
1995,,日田,大分東,藤蔭,佐伯豊南,大分雄城台,柳ケ浦,中津工,別府鶴見丘,6,5
1996,,佐伯鶴城,大分工,鶴崎工,臼杵商,日田,大分雄城台,緒方工,大分,8,4
1997,,大分商,津久見,大分雄城台,大分工,別府大付,日田林工,柳ケ浦,藤蔭,5,3
1998,,柳ケ浦,津久見,大分商,大分上野丘,佐伯鶴城,双国,鶴崎工,藤蔭,10,7
1999,,日田林工,大分雄城台,柳ケ浦,大分,杵築,別府商,国東,臼杵,4,0
2000,,中津工,大分工,大分商,大分雄城台,杵築,明豊,大分舞鶴,臼杵商,4,0
2001,,明豊,藤蔭,国東,杵築,大分工,別府青山,柳ケ浦,佐伯鶴城,3,1
2002,,柳ケ浦,杵築,大分豊府,大分雄城台,日田林工,臼杵,楊志館,国東,5,1
