# 岡山単独開催の選手権岡山大会のみ収録(合同予選の年は対象外)
# 出典: bibijr.vivian.jp(高校野球データベース)のトーナメント表より集計
年,ブロック,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
1958,,倉敷商,西大寺,関西,岡山南,備前,玉島商,岡山東商,吉備商,7,2
1963,,岡山東商,倉敷工,倉敷商,玉島商,津山,西大寺,笠岡商,岡山南,8,7
1968,,倉敷工,岡山東商,倉敷商,和気閑谷,笠岡商,玉島商,琴浦,勝山,4,0
1973,,岡山東商,岡山大安寺,倉敷工,岡山日大,津山商,玉野,和気閑谷,関西,10,0
1975,,岡山東商,倉敷工,水島工,玉島商,勝山,関西,津山,岡山操山,3,0
1976,,岡山東商,玉島商,倉敷工,興譲館,倉敷商,倉敷青陵,西大寺,岡山操山,5,1
1977,,水島工,玉島商,岡山南,岡山東商,津山,倉敷工,倉敷商,倉敷青陵,2,1
1978,,岡山東商,倉敷商,作陽,岡山南,勝山,津山商,岡山芳泉,倉敷工,4,2
1979,,倉敷商,岡山南,玉島商,山陽,岡山日大,玉野,倉敷青陵,笠岡商,5,2
1980,,岡山理大付,玉島商,倉敷工,関西,岡山工,琴浦,倉敷商,岡山芳泉,4,2
1981,,岡山南,玉野,玉島商,岡山東商,西大寺,岡山芳泉,倉敷商,岡山工,1,0
1982,,関西,岡山東商,岡山理大付,金光学園,岡山芳泉,津山,岡山南,岡山工,13,1
1983,,岡山南,岡山朝日,倉敷商,玉島商,関西,岡山芳泉,倉敷青陵,興陽,10,1
1984,,岡山南,岡山東商,津山,山陽,西大寺,津山商,倉敷商,玉島商,5,4
1985,,岡山南,玉野,倉敷商,倉敷工,山陽,津山,西大寺,津山商,9,3
1986,,倉敷工,岡山南,玉島商,岡山理大付,金光学園,岡山東商,津山,倉敷商,10,1
1987,,関西,岡山大安寺,岡山南,岡山朝日,津山,津山商,倉敷工,倉敷天城,4,1
1988,,倉敷商,玉野,関西,岡山東商,玉野光南,和気閑谷,作陽,倉敷工,10,1
1989,,倉敷商,倉敷工,岡山南,東岡山工,水島工,岡山理大付,興譲館,作陽,13,0
1990,,岡山城東,倉敷商,津山工,倉敷工,山陽,岡山理大付,岡山大安寺,総社南,3,2
1991,,岡山東商,作陽,金光学園,勝山,岡山城東,津山商,岡山朝日,岡山大安寺,3,0
1992,,倉敷商,岡山南,津山工,岡山理大付,倉敷工,倉敷,玉野,岡山城東,4,2
1993,,岡山南,津山工,興譲館,倉敷,岡山理大付,岡山城東,関西,倉敷商,5,2
1994,,関西,玉島商,津山工,玉野光南,邑久,岡山城東,作陽,岡山理大付,10,3
1995,,関西,岡山理大付,倉敷工,岡山朝日,岡山城東,倉敷商,玉島商,東岡山工,4,1
1996,,倉敷工,岡山城東,関西,山陽,興譲館,倉敷商,岡山学芸館,岡山理大付,8,6
1997,,倉敷商,津山工,岡山城東,岡山南,山陽,倉敷工,笠岡工,関西,16,4
1998,,岡山城東,関西,岡山南,岡山理大付,岡山東商,玉野,山陽,玉野光南,8,3
1999,,岡山理大付,岡山城東,玉島商,倉敷商,興譲館,玉野光南,山陽,岡山東商,8,2
2000,,岡山理大付,倉敷商,岡山城東,関西,興譲館,岡山学芸館,玉野光南,津山工,3,2
2001,,玉野光南,岡山理大付,関西,岡山城東,興譲館,笠岡商,岡山一宮,岡山学芸館,3,2
2002,,玉野光南,倉敷商,岡山東商,岡山商大付,関西,倉敷工,おかやま山陽,笠岡商,7,3
2003,,倉敷工,倉敷,関西,津山工,岡山南,岡山城東,岡山県共生,岡山東商,10,7
2004,,岡山理大付,関西,岡山城東,倉敷商,倉敷,玉野光南,津山工,岡山東商,2,1
2005,,関西,玉野光南,岡山東商,岡山理大付,倉敷工,岡山学芸館,岡山南,興譲館,3,2
2006,,関西,岡山城東,岡山学芸館,倉敷商,金光学園,倉敷,玉野光南,倉敷工,2,1
2007,,岡山理大付,玉野光南,金光学園,関西,明誠学院,玉島商,倉敷工,岡山東商,9,2
2008,,倉敷商,関西,倉敷,玉野,玉島商,岡山県共生,作陽,高梁日新,8,3
2009,,倉敷商,玉島商,作陽,倉敷工,玉野光南,岡山県共生,金光学園,関西,10,1
2010,,倉敷商,玉野光南,岡山学芸館,興譲館,金光学園,岡山東商,岡山理大付,玉野,6,1
2011,,関西,金光学園,岡山学芸館,作陽,岡山理大付,玉野光南,水島工,岡山県共生,6,5
2012,,倉敷商,創志学園,岡山理大付,関西,興譲館,岡山東商,倉敷工,玉野光南,4,3
2013,,玉野光南,関西,興譲館,岡山東商,岡山県共生,倉敷工,興陽,倉敷商,5,4
2014,,関西,岡山理大付,興譲館,倉敷商,創志学園,西大寺,岡山城東,岡山学芸館,9,4
2015,,岡山学芸館,創志学園,玉野光南,倉敷商,水島工,倉敷,金光学園,岡山理大付,6,5
2016,,創志学園,玉野光南,おかやま山陽,倉敷商,岡山理大付,興譲館,金光学園,関西,4,1
2017,,おかやま山陽,創志学園,興譲館,関西,岡山学芸館,岡山城東,岡山理大付,玉島商,9,2
2018,,創志学園,岡山学芸館,倉敷商,東岡山工,高梁日新,玉島商,興譲館,岡山商大付,10,2
2019,,岡山学芸館,倉敷商,金光学園,創志学園,東岡山工,倉敷工,岡山東商,倉敷翠松,2,1
2021,,倉敷商,おかやま山陽,就実,創志学園,岡山城東,総社南,玉島商,関西,7,6
2022,,創志学園,倉敷商,岡山学芸館,岡山理大付,岡山城東,関西,玉島商,おかやま山陽,2,0
2023,,おかやま山陽,倉敷商,岡山理大付,玉野光南,岡山学芸館,倉敷工,就実,岡山東商,4,2
2024,,岡山学芸館,関西,岡山理大付,金光学園,岡山城東,玉野光南,倉敷商,岡山東商,4,3
2025,,岡山学芸館,おかやま山陽,玉野光南,倉敷商,倉敷工,西大寺,創志学園,美作,5,4
