# 沖縄単独開催の選手権沖縄大会のみ収録(合同予選の年は対象外)
# 出典: bibijr.vivian.jp(高校野球データベース)のトーナメント表より集計
年,ブロック,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
1958,,首里,石川,糸満,那覇,沖縄,中部農林,知念,那覇商,6,0
1963,,首里,那覇,沖縄水産,沖縄工,読谷,普天間,那覇商,興南,7,4
1968,,興南,糸満,小禄,沖縄,コザ,中央,首里,沖縄水産,5,2
1973,,前原,沖縄水産,読谷,興南,首里,普天間,沖縄,豊見城,3,2
1975,,石川,コザ,中部工,豊見城,知念,中部農林,宜野座,前原,8,1
1976,,豊見城,那覇,知念,沖縄,名護,糸満,石川,南部工,3,2
1977,,豊見城,宮古,沖縄,普天間,中部工,北部工,宜野座,那覇,4,0
1978,,豊見城,宮古,興南,前原,浦添,沖縄工,コザ,南風原,1,0
1979,,中部工,南風原,名護,豊見城,普天間,美里工,浦添,読谷,4,3
1980,,興南,首里,沖縄,北山,宮古農林,コザ,沖縄工,本部,1,0
1981,,興南,美里,知念,美里工,北谷,沖縄水産,沖縄工,沖縄,2,0
1982,,興南,知念,沖縄水産,北谷,読谷,沖縄工,豊見城,真和志,5,2
1983,,興南,沖縄水産,首里,普天間,小禄,北谷,西原,中部商,3,1
1984,,沖縄水産,興南,美里,豊見城南,コザ,前原,小禄,八重山,4,1
1985,,沖縄水産,興南,豊見城南,与勝,読谷,石川,名護,首里,7,5
1986,,沖縄水産,興南,美里,宜野座,普天間,コザ,八重山,豊見城,2,1
1987,,沖縄水産,沖縄尚学,石川,宜野座,名護,八重山,沖縄工,豊見城,7,0
1988,,沖縄水産,八重山,興南,豊見城,宜野座,前原,美里,那覇商,8,0
1989,,石川,興南,宜野座,沖縄水産,嘉手納,宜野湾,沖縄尚学,与勝,8,3
1990,,沖縄水産,沖縄尚学,石川,那覇商,美里,豊見城南,名護,首里,6,1
1991,,沖縄水産,豊見城南,那覇商,浦添商,与勝,沖縄尚学,八重山,沖縄工,6,2
1992,,沖縄尚学,名護,首里,宜野座,与勝,読谷,西原,浦添商,3,1
1993,,浦添商,那覇商,前原,沖縄工,沖縄水産,与勝,沖縄尚学,読谷,5,0
1994,,那覇商,美里工,沖縄水産,興南,八重山,沖縄尚学,浦添商,美里,7,1
1995,,沖縄水産,美里,名護,普天間,興南,名護商,宜野湾,読谷,4,1
1996,,前原,沖縄水産,那覇商,宜野座,コザ,美里,興南,豊見城南,5,2
1997,,浦添商,沖縄水産,読谷,中部商,那覇商,石川,普天間,美里,7,3
1998,,沖縄水産,浦添工,名護商,名護,美里工,浦添商,コザ,那覇,8,2
1999,,沖縄尚学,興南,浦添商,普天間,北中城,宮古,名護,読谷,10,0
2000,,那覇,沖縄水産,浦添商,本部,中部商,中部工,沖縄尚学,豊見城南,5,3
2001,,宜野座,中部商,沖縄尚学,沖縄水産,宮古,久米島,糸満,辺土名,3,0
2002,,中部商,沖縄水産,沖縄尚学,前原,嘉手納,コザ,首里,興南,4,1
2003,,沖縄尚学,南部商,沖縄工,名護商,北谷,八重山,南部農林,八重山商工,3,2
2004,,中部商,沖縄水産,宜野座,糸満,具志川,普天間,嘉手納,名護商,4,1
2005,,沖縄尚学,浦添商,宮古,中部商,豊見城南,糸満,興南,宜野座,10,0
2006,,八重山商工,中部商,浦添商,沖縄尚学,前原,名護,小禄,宜野座,7,3
2007,,興南,浦添商,小禄,沖縄尚学,八重山,豊見城,中部商,沖縄工,2,0
2008,,浦添商,沖縄尚学,石川,興南,具志川商,知念,沖縄工,名護,5,2
2009,,興南,中部商,八重山商工,沖縄水産,浦添工,那覇商,コザ,本部,4,2
2010,,興南,糸満,八重山,沖縄水産,宜野座,嘉手納,中部商,南風原,9,1
2011,,糸満,中部商,沖縄尚学,興南,名護,真和志,豊見城,普天間,2,1
2012,,浦添商,沖縄尚学,前原,糸満,嘉手納,知念,久米島,八重山,8,5
2013,,沖縄尚学,美里工,真和志,八重山,糸満,南風原,美里,浦添商,5,2
2014,,沖縄尚学,糸満,宜野座,浦添商,嘉手納,読谷,知念,美里工,6,1
2015,,興南,糸満,沖縄尚学,宮古,八重山,普天間,知念,具志川商,4,2
2016,,嘉手納,美里工,那覇西,小禄,八重山商工,前原,宜野座,那覇商,11,3
2017,,興南,美来工科,糸満,八重山農林,宮古,沖縄尚学,宜野座,浦添商,15,1
2018,,興南,糸満,嘉手納,北山,那覇,中部商,美来工科,沖縄尚学,5,0
2019,,沖縄尚学,興南,美里工,西原,宜野湾,読谷,宮古,美来工科,8,7
2021,,沖縄尚学,中部商,知念,豊見城,宮古,具志川商,興南,小禄,5,2
2022,,興南,沖縄尚学,未来沖縄,美里工,与勝,豊見城,宜野湾,北谷,7,1
2023,,沖縄尚学,ウェルネス沖縄,興南,宮古,糸満,小禄,名護,未来沖縄,3,0
2024,,興南,エナジック,ウェルネス沖縄,KBC,浦添商,北山,知念,与勝,4,3
2025,,沖縄尚学,エナジック,興南,宜野座,美来工科,KBC,コザ,名護,9,1
