# 大阪単独開催の選手権大阪大会のみ収録(合同予選の年は対象外)
# 出典: bibijr.vivian.jp(高校野球データベース)のトーナメント表より集計
年,ブロック,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
1916,,市岡中,桃山中,北野中,明星商,四条畷中,大阪市工,成器商,今宮中,2,1
1917,,明星商,北野中,市岡中,大阪商,関西甲種商,,,大阪貿易,11,10
1918,,市岡中,北野中,大阪商,桃山中,関西甲種商,今宮職工,天王寺中,八尾中,5,3
1919,,市岡中,明星商,八尾中,天王寺中,桃山中,同志学校,,,2,1
1920,,明星商,北野中,今宮職工,天王寺中,市岡中,大阪商,堺中,八尾中,5,1
1921,,市岡中,桃山中,今宮中,天王寺中,明星商,岸和田中,天王寺師範,北野中,17,4
1922,,市岡中,堺中,今宮職工,明星商,北野中,天王寺商,豊能農商,高津中,3,0
1923,,明星商,岸和田中,市岡中,生野中,高津中,今宮職工,豊中中,天王寺師範,10,0
1924,,市岡中,,,,,,,,,
1925,,市岡中,八尾中,,,,,,,12,3
1926,,浪華商,高津中,八尾中,市岡中,,,,,4,3
1927,,北野中,八尾中,,,,,,,9,4
1928,,豊中中,北野中,市岡中,関西甲種商,高津中,八尾中,京阪商,明星商,7,1
1929,,市岡中,八尾中,明星商,生野中,浪華商,関西甲種商,日新商,豊中中,7,1
1930,,浪華商,八尾中,明星商,北野中,市岡中,生野中,桃山中,京阪商,7,0
1931,,八尾中,浪華商,京阪商,生野中,市岡中,興国商,明星商,東商,8,7
1932,,八尾中,浪華商,豊中中,岸和田中,堺中,明星商,市岡中,富田林中,4,3
1933,,浪華商,日新商,興国商,関西甲種商,市岡中,八尾中,天王寺商,北野中,6,5
1934,,市岡中,浪華商,八尾中,日新商,天王寺商,天王寺師範,豊中中,堺中,4,1
1935,,日新商,浪華商,京阪商,生野中,此花商,住吉中,八尾中,天王寺師範,3,0
1936,,京阪商,日新商,扇町商,市岡中,関西甲種商,興国商,住吉中,東商,3,1
1937,,浪華商,京阪商,興国商,天王寺商,市岡中,今宮中,扇町商,池田師範,4,0
1938,,京阪商,日新商,天王寺師範,興国商,東商,桃山中,富田林中,市岡中,8,1
1939,,京阪商,浪華商,八尾中,城東商,生野中,市岡中,浪速中,成器商,3,2
1940,,市岡中,扇町商,堺中,浪華商,西野田職工,今宮職工,日新商,北野中,5,0
1941,,日新商,浪華商,西野田職工,扇町商,富田林中,北陽商,興国商,京阪商,1,0
1946,,浪華商,日新商,山水二中,八尾中,関西甲種商,天王寺中,扇町商,市岡中,3,2
1947,,浪華商,茨木中,今宮中,豊中中,菊水中,園芸,上宮中,香里中,4,0
1948,,天王寺,北野,上宮,大鉄,興国商,菊水,住吉,香里,2,1
1949,,高津,八尾,市岡,浪華商,大鉄,天王寺,大津,都島工,3,2
1950,,泉大津,西野田工,市岡,三島野,高津,城東工,天王寺,港,2,0
1951,,都島工,浪華商,扇町,高津,城東,浪速工,天王寺,扇町商,6,1
1952,,八尾,明星,扇町,桃山学院,今宮,大鉄,岸和田産,市岡,2,0
1953,,浪華商,岸和田,天王寺,北野,同志社香里,泉陽,市岡,八尾,6,1
1954,,泉陽,興国商,八尾,城東工,淀川工,同志社香里,高槻,扇町,3,0
1955,,浪華商,興国商,岸和田,城東工,住吉,寝屋川,阿倍野,日新,4,3
1956,,浪華商,清水谷,港,北野,近大付,阿倍野,四條畷,住吉,2,0
1957,,寝屋川,泉尾工,岸和田,北野,泉大津,城東工,天王寺,追手門学院,4,2
1958,,浪華商,寝屋川,扇町商,興国商,八尾,富田林,上宮,大阪,5,4
1959,,八尾,阿倍野,市岡,興国商,ＰＬ学園,近大付,寝屋川,大阪,1,0
1960,,浪商,桃山学院,明星,寝屋川,阿倍野,八尾,大阪,西商,3,2
1961,,浪商,明星,ＰＬ学園,富田林,市岡,清水谷,泉大津,寝屋川,9,0
1962,,ＰＬ学園,興国商,吹田,明星,桃山学院,泉陽,浪商,都島工,5,2
1963,,明星,ＰＬ学園,浪速,浪商,大阪,淀川工,北野,東淀川,4,1
1964,,明星,ＰＬ学園,浪商,大鉄,興国,北陽,吹田,都島工,9,0
1965,,大鉄,興国,ＰＬ学園,明星,浪速,堺市商,大阪学院大高,関大一,6,2
1966,,北陽,桜塚,大鉄,大阪学院大高,浪商,ＰＬ学園,都島工,明星,4,0
1967,,明星,ＰＬ学園,城東工,近大付,鳳,富田林,大阪学院大高,八尾,11,1
1968,,興国,岸和田,明星,浪商,桃山学院,大阪学院大高,北陽,市岡,10,2
1969,,明星,浪商,ＰＬ学園,大鉄,興国,春日丘,初芝,藤井寺工,1,0
1970,,ＰＬ学園,北陽,大鉄,藤井寺工,浪商,追手門学院,岸和田産,淀川工,8,1
1971,,ＰＬ学園,浪商,興国,泉尾,今宮,寝屋川,池田,大商大付,4,3
1972,,明星,河南,興国,近大付,ＰＬ学園,桜宮,山本,西野田工,10,0
1973,,北陽,ＰＬ学園,四條畷,明星,大鉄,城東工,都島工,興国,3,2
1974,,ＰＬ学園,興国,藤井寺工,浪商,近大付,淀川工,明星,富田林,2,0
1975,,興国,北陽,茨木,近大付,大阪,港,浪商,初芝,2,0
1976,,ＰＬ学園,大鉄,明星,近大付,住吉,今宮,島上,淀商,6,4
1977,,大鉄,北陽,明星,ＰＬ学園,近大付,初芝,大阪,八尾,6,2
1978,,ＰＬ学園,近大付,初芝,大鉄,明星,淀川工,北陽,生野工,9,3
1979,,浪商,ＰＬ学園,北陽,近大付,泉南,吹田,上宮,渋谷,9,3
1980,,北陽,近大付,浪商,大阪工大高,上宮,藤井寺工,ＰＬ学園,太成,5,2
1981,,北陽,近大付,城東工,守口,興国,岸和田産,大商大堺,大鉄,2,0
1982,,春日丘,近大付,太成,北陽,ＰＬ学園,大鉄,野崎,浪速,9,1
1983,,ＰＬ学園,桜宮,茨木東,大阪,大阪産大高,淀川工,上宮,柏原,5,3
1984,,ＰＬ学園,大阪産大高,関大一,桜宮,近大付,藤井寺,上宮,泉州,4,0
1985,,ＰＬ学園,東海大仰星,泉尾,大阪産大高,此花学院,市岡,西野田工,北陽,17,0
1986,,泉州,大商大堺,ＰＬ学園,浪速,北陽,興国,此花学院,市岡,6,2
1987,,ＰＬ学園,近大付,桜宮,渋谷,布施,大阪産大高,興国,大阪商,1,0
1988,,近大付,桜宮,関西創価,布施,守口東,大商大堺,此花学院,東住吉工,2,0
1989,,上宮,近大付,浪速,渋谷,生野,市岡,四條畷,関大一,6,3
1990,,渋谷,上宮,柏原,北陽,関西創価,牧野,市岡,大阪学院大高,6,4
1991,,大阪桐蔭,近大付,渋谷,金光第一,大商学園,藤井寺工,泉尾,上宮,8,4
1992,,近大付,春日丘,大阪桐蔭,泉州,大阪産大高,東海大仰星,柏原,大阪,6,4
1993,,近大付,ＰＬ学園,上宮,市岡,北野,東海大仰星,箕面学園,天王寺,6,3
1994,,北陽,近大付,枚方津田,上宮,四條畷,大商学園,ＰＬ学園,大阪工大高,5,3
1995,,ＰＬ学園,市岡,阪南大高,関西創価,泉州,上宮,八尾東,近大付,8,4
1996,,ＰＬ学園,上宮,大阪桐蔭,大阪学院大高,北陽,初芝,大商大堺,東海大仰星,9,5
1997,,履正社,関大一,大阪桐蔭,関西創価,汎愛,ＰＬ学園,春日丘,城東工,2,1
1998,北,関大一,桜塚,桜宮,高槻北,大阪工大高,大阪学院大高,成城工,大阪産大付,4,0
1998,南,ＰＬ学園,上宮,佐野,浪速,大商大堺,高石,大商大高,近大付,2,1
1999,,北陽,上宮太子,ＰＬ学園,上宮,大商大堺,大阪産大付,大阪学院大高,島上,7,2
2000,,ＰＬ学園,履正社,北陽,大阪学院大高,上宮,上宮太子,関大一,大阪産大付,4,2
2001,,上宮太子,大阪桐蔭,履正社,桜宮,清教学園,渋谷,上宮,東海大仰星,6,5
