年,ブロック,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
1948,,本庄,熊谷,川口,大宮工,不動岡,粕壁,秩父,浦和商,2,1
1949,,深谷商,本庄,川口,熊谷,不動岡,秩父,浦和,所沢,4,0
1950,,本庄,熊谷,浦和商,浦和,川越,大宮工,川越工,春日部,4,2
1951,,鴻巣,熊谷,川越,浦和商,川口,本庄,不動岡,浦和,6,2
1952,,鴻巣,川越工,熊谷,浦和商,飯能,浦和,川越,松山,5,1
1953,,浦和商,浦和,深谷商,熊谷,大宮,行田,鴻巣,本庄,3,2
1954,,川越,浦和商,熊谷,浦和,不動岡,鴻巣,本庄,深谷商,2,1
1955,,鴻巣,川越,浦和商,川口,浦和市立,深谷商,川口工,大宮,4,1
1956,,大宮,熊谷,大宮工,本庄,川越商,岩槻実,鴻巣,不動岡,4,1
1957,,鴻巣,大宮,熊谷,行田,川越,川越工,岩槻実,川越商,3,0
1958,,大宮,川越,川越工,熊谷,大宮工,岩槻実,川越商,浦和商,6,0
1959,,川越,鴻巣,川越工,岩槻実,川越商,深谷商,浦和,大宮,1,0
1960,,大宮,大宮商,所沢,熊谷,飯能,川越,浦和,与野,4,1
1961,A,熊谷商工,飯能,川越,慶應志木,熊谷,羽生実,川口工,秩父,1,0
1961,B,大宮,浦和商,浦和,大宮工,大宮商,川越商,深谷商,行田,6,1
1962,A,上尾,川越工,川口,飯能,川越,深谷商,川口工,浦和商,1,0
1962,B,大宮工,大宮,熊谷商工,春日部,小松原,羽生実,立教,浦和市立,4,1
1963,,大宮,大宮商,川越,飯能,岩槻実,川越商,春日部,蕨,6,3
1964,A,飯能,大宮,岩槻商,大宮商,川口,秩父農工,不動岡,羽生実,5,0
1964,B,熊谷商工,上尾,川越,浦和市立,松山,大宮工,秩父,与野,2,0
1965,A,熊谷商工,大宮,上尾,松山,飯能,小松原,川越商,熊谷農,5,1
1965,B,大宮工,川口,川越,深谷商,市立川口,熊谷,川越工,浦和,7,0
1966,A,川越工,熊谷商,深谷商,慶應志木,川口工,狭山工,羽生実,寄居,1,0
1966,B,上尾,大宮,大宮工,川口,松山,鴻巣,飯能,市立川口,9,3
1967,A,大宮,川越工,草加,川越,狭山工,豊岡,飯能,深谷商,5,2
1967,B,大宮工,岩槻商,熊谷商,上尾,慶應志木,大宮北,本庄東,本庄,6,0
1968,,大宮工,大宮,深谷商,飯能,川越工,立教,熊谷商,熊谷,1,0
1969,A,深谷商,川口工,狭山工,大宮工,慶應志木,春日部,玉川工,豊岡,5,0
1969,B,川越工,立教,上尾,熊谷商,大宮,浦和市立,川越,川越商,7,2
1970,A,上尾,立教,大宮,川越工,狭山工,大宮西,松山,羽生実,1,0
1970,B,熊谷商,川口工,大宮工,深谷商,鴻巣,不動岡,豊岡,本庄,1,0
1971,A,深谷商,立教,狭山工,豊岡,所沢,飯能,川越商,浦和工,3,1
1971,B,熊谷商,大宮,川口工,大宮工,川越,川越農,上尾,所沢商,5,0
1972,A,熊谷商,飯能,与野,所沢商,川越農,春日部,立教,蕨,5,1
1972,B,大宮工,深谷商,児玉,大宮,羽生実,熊谷工,寄居,鴻巣,6,2
1973,,川越工,熊谷商,大宮,飯能,川口工,大宮北,大宮工,上尾,7,2
1974,A,上尾,大宮工,所沢商,熊谷商,飯能,川口,浦和市立,慶應志木,2,0
1974,B,川越商,深谷商,狭山工,立教,幸手商,所沢,春日部工,不動岡,3,0
1975,,上尾,川口工,熊谷商,川越工,大宮工,深谷商,所沢商,飯能,5,1
1976,,所沢商,上尾,春日部工,大宮工,川口工,川越工,川越商,浦和市立,4,1
1977,,川口工,熊谷商,上尾,本庄,所沢商,春日部工,川越工,城西川越,2,1
1978,,所沢商,立教,川口工,大宮工,秩父農工,狭山工,川越商,岩槻,4,2
1979,,上尾,川越工,所沢商,熊谷商,岩槻,秩父農工,大宮工,所沢,1,0
1980,,熊谷商,川口工,上尾,深谷商,飯能,立教,所沢商,大宮,7,2
1981,,熊谷商,上尾,春日部工,川越商,川口工,所沢商,朝霞,鷲宮,5,4
1982,,熊谷,市立川口,鴻巣,立教,鷲宮,春日部工,武南,所沢商,3,1
1983,,所沢商,大宮東,立教,川越工,熊谷商,春日部共栄,川口工,深谷商,8,5
1984,,上尾,松山,大宮東,埼玉栄,春日部工,川口工,市立川口,熊谷商,8,2
1985,,立教,川越工,春日部工,川越商,秀明,熊谷商,武南,所沢商,11,5
1986,,浦和学院,大宮工,秀明,花咲徳栄,埼玉栄,川口工,春日部工,狭山ヶ丘,8,5
1987,,浦和学院,大宮東,大宮南,川口工,東和大昌平,秩父農工,花咲徳栄,豊岡,9,1
1988,,浦和市立,市立川口,大宮東,川口工,西武台,春日部工,埼玉栄,浦和学院,7,1
1989,,川越商,大宮南,川口工,所沢商,川越工,市立川口,狭山ヶ丘,越谷北,2,0
1990,,大宮東,浦和学院,上尾,秀明,川越商,埼工大深谷,伊奈学園,松山,12,2
1991,,春日部共栄,聖望学園,松山,大宮,伊奈学園,浦和市立,春日部工,上尾,4,2
1992,,秀明,伊奈学園,大宮東,大宮南,埼玉栄,浦和学院,浦和市立,浦和実,7,4
1993,,春日部共栄,浦和学院,大宮東,春日部工,越谷西,松山,埼工大深谷,川口工,5,2
1994,,浦和学院,春日部共栄,南稜,東農大三,大宮東,聖望学園,埼工大深谷,大宮工,7,0
1995,,越谷西,大宮東,鷲宮,埼工大深谷,浦和学院,西武台,伊奈学園,聖望学園,1,0
1996,,浦和学院,大宮東,聖望学園,川口工,春日部共栄,花咲徳栄,所沢西,上尾,6,2
1997,,春日部共栄,市立川口,上尾,春日部工,川越商,福岡,埼工大深谷,浦和市立,1,0
1998,東,埼玉栄,浦和学院,越谷西,大宮東,東和大昌平,浦和実,春日部東,花咲徳栄,4,1
1998,西,滑川,川越商,聖望学園,川越東,西武台,鴻巣,東農大三,所沢商,1,0
1999,,聖望学園,浦和学院,埼玉栄,東農大三,春日部共栄,所沢西,花咲徳栄,鷲宮,6,2
