# 佐賀単独開催の選手権佐賀大会のみ収録(合同予選の年は対象外)
# 出典: bibijr.vivian.jp(高校野球データベース)のトーナメント表より集計
年,ブロック,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
1958,,佐賀,佐賀商,鹿島,龍谷,鹿島実,三養基,唐津東,有田工,1,0
1963,,武雄,唐津東,鳥栖工,龍谷,白石,佐賀,伊万里農林,鹿島,6,2
1968,,佐賀工,鹿島,佐賀西,唐津商,佐賀東,佐賀北,杵島商,佐賀実,2,1
1973,,唐津商,佐賀工,鹿島,武雄,龍谷,白石,鳥栖工,佐賀学園,3,0
1978,,小城,佐賀学園,唐津商,佐賀工,佐賀商,神埼,伊万里農林,鳥栖工,5,3
1979,,佐賀商,佐賀工,龍谷,佐賀北,唐津東,伊万里農林,鹿島,三養基,6,2
1980,,龍谷,佐賀学園,佐賀北,小城,佐賀西,佐賀中央工,鹿島,鳥栖工,6,0
1981,,佐賀学園,佐賀北,鳥栖,唐津商,伊万里,鳥栖工,佐賀商,杵島商,4,2
1982,,佐賀商,佐賀学園,有田工,唐津商,神埼農,佐賀東,神埼,鳥栖,5,0
1983,,鳥栖,佐賀北,佐賀西,有田工,鹿島実,佐賀学園,三養基,唐津東,6,1
1984,,唐津商,鹿島実,龍谷,佐賀西,佐賀学園,小城,鹿島,伊万里学園,5,2
1985,,佐賀商,唐津商,小城,鳥栖商,鳥栖,佐賀中央工,佐賀工,鹿島実,13,2
1986,,唐津西,有田工,鹿島実,鳥栖,佐賀北,杵島商,佐賀学園,伊万里学園,8,2
1987,,佐賀工,佐賀商,杵島商,鳥栖,龍谷,太良,唐津西,鳥栖工,4,2
1988,,佐賀商,佐賀西,鳥栖,伊万里,神埼,鹿島実,多久工,鳥栖工,2,1
1989,,佐賀商,佐賀学園,佐賀西,鹿島実,伊万里,小城,龍谷,唐津西,8,3
1990,,佐賀学園,龍谷,太良,鹿島実,伊万里学園,佐賀商,杵島商,佐賀北,5,4
1991,,佐賀学園,小城,唐津西,有田工,鹿島実,佐賀商,鳥栖工,伊万里,8,0
1992,,佐賀東,唐津西,佐賀学園,龍谷,佐賀商,東松浦,唐津商,唐津東,5,0
1993,,鳥栖商,唐津工,杵島商,佐賀東,致遠館,佐賀北,龍谷,白石,5,4
1994,,佐賀商,鳥栖商,龍谷,佐賀学園,致遠館,佐賀北,高志館,武雄,5,4
1995,,龍谷,佐賀商,唐津工,鳥栖工,佐賀学園,鹿島,白石,敬徳,3,2
1996,,唐津工,唐津商,神埼,佐賀東,厳木,佐賀商,伊万里商,佐賀北,4,3
1997,,佐賀商,伊万里商,鳥栖工,伊万里,唐津西,佐賀学園,敬徳,佐賀北,4,2
1998,,佐賀学園,唐津東,龍谷,佐賀東,嬉野商,神埼,唐津工,伊万里商,7,6
1999,,佐賀東,鳥栖,厳木,伊万里商,武雄,敬徳,唐津東,鳥栖工,3,0
2000,,佐賀北,敬徳,佐賀学園,唐津商,嬉野,佐賀東,致遠館,武雄青陵,2,1
2001,,神埼,鳥栖,厳木,佐賀西,鳥栖工,鹿島,佐賀学園,唐津東,7,4
2002,,鳥栖,佐賀学園,唐津東,唐津西,伊万里商,佐賀工,佐賀西,北陵,9,1
2003,,鳥栖商,佐賀商,鹿島実,龍谷,有田工,嬉野,鹿島,佐賀工,6,2
2004,,佐賀学園,杵島商,小城,唐津西,龍谷,唐津工,佐賀北,厳木,7,2
2005,,佐賀商,鳥栖商,佐賀西,鳥栖,唐津西,唐津南,三養基,龍谷,8,7
2006,,佐賀商,佐賀西,鳥栖,多久,鹿島,鳥栖工,高志館,唐津西,10,4
2007,,佐賀北,鹿島,佐賀商,鹿島実,佐賀西,敬徳,鳥栖商,致遠館,11,0
2008,,佐賀商,鳥栖,伊万里農林,鳥栖工,唐津商,伊万里商,佐賀学園,武雄,3,1
2009,,伊万里農林,佐賀商,佐賀学園,鹿島実,佐賀工,神埼,佐賀東,唐津東,4,3
2010,,佐賀学園,佐賀商,龍谷,多久,伊万里,有田工,厳木,神埼,7,2
2011,,唐津商,佐賀工,佐賀学園,佐賀北,佐賀西,鹿島実,厳木,三養基,2,0
2012,,佐賀北,伊万里農林,鳥栖商,鹿島実,敬徳,龍谷,佐賀西,鳥栖,8,3
2013,,有田工,早稲田佐賀,佐賀工,伊万里農林,神埼清明,杵島商,唐津商,伊万里,6,5
2014,,佐賀北,佐賀工,佐賀商,佐賀学園,塩田工,早稲田佐賀,神埼清明,龍谷,3,2
2015,,龍谷,唐津商,佐賀商,敬徳,唐津東,佐賀工,三養基,伊万里商,5,4
2016,,唐津商,佐賀商,龍谷,伊万里,神埼,鹿島,佐賀北,伊万里農林,16,5
2017,,早稲田佐賀,鳥栖,佐賀工,鹿島,佐賀北,佐賀学園,唐津商,鳥栖商,6,1
2018,,佐賀商,唐津商,有田工,龍谷,鳥栖,唐津工,佐賀学園,鳥栖商,5,2
2019,,佐賀北,鳥栖,東明館,神埼清明,唐津工,北陵,伊万里,伊万里農林,4,1
2021,,東明館,佐賀北,唐津商,佐賀商,白石,神埼清明,伊万里,三養基,2,0
2022,,有田工,神埼清明,東明館,龍谷,佐賀商,佐賀学園,北陵,唐津商,3,2
2023,,鳥栖工,神埼清明,北陵,佐賀商,唐津商,嬉野,東明館,唐津西,7,0
2024,,有田工,鳥栖工,佐賀工,神埼,伊万里,佐賀農,嬉野,白石,2,1
2025,,佐賀北,北陵,有田工,鳥栖,佐賀農,鳥栖工,神埼清明,佐賀学園,3,0
