# 滋賀単独開催の選手権滋賀大会のみ収録(合同予選の年は対象外)
# 出典: bibijr.vivian.jp(高校野球データベース)のトーナメント表より集計
年,ブロック,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
1958,,甲賀,膳所,八日市,長浜西,瀬田工,彦根西,伊香,日野,6,4
1963,,長浜北,大津商,長浜商工,愛知,瀬田工,比叡山,甲賀,近江,7,6
1968,,伊香,長浜北,膳所,比叡山,彦根東,瀬田工,甲南信楽,守山,10,0
1973,,伊香,八日市,能登川,守山,彦根工,堅田,愛知,八幡商,5,1
1978,,膳所,彦根東,比叡山,能登川,草津,石山,栗東,堅田,5,3
1979,,比叡山,長浜北,能登川,瀬田工,守山,虎姫,彦根東,伊香,6,3
1980,,瀬田工,比叡山,栗東,能登川,八日市,長浜,大津商,虎姫,2,1
1981,,近江,比叡山,日野,栗東,能登川,草津,石山,膳所,4,1
1982,,比叡山,栗東,東大津,近江,伊香,能登川,彦根東,虎姫,15,2
1983,,比叡山,長浜北,栗東,八日市,伊香,守山,大津商,膳所,2,0
1984,,長浜,伊香,彦根工,八日市,守山,虎姫,膳所,安曇川,8,0
1985,,甲西,八幡商,八日市,膳所,堅田,比叡山,高島,東大津,2,0
1986,,甲西,伊香,長浜,高島,堅田,栗東,日野,彦根東,4,3
1987,,伊香,野洲,比叡山,彦根東,河瀬,甲西,能登川,大津商,9,5
1988,,八幡商,草津東,大津商,彦根東,高島,河瀬,近江,比叡山,6,5
1989,,八幡商,近江,八日市,大津商,河瀬,比叡山,瀬田工,彦根東,5,4
1990,,八幡商,彦根東,比叡山,甲西,玉川,虎姫,栗東,長浜,6,5
1991,,八幡商,石山,近江,比叡山,彦根東,守山,栗東,堅田,1,0
1992,,近江,比叡山,八幡商,栗東,八幡工,長浜,瀬田工,石山,4,1
1993,,近江兄弟社,大津商,守山北,栗東,長浜,東大津,安曇川,高島,6,4
1994,,近江,長浜,栗東,比叡山,米原,安曇川,草津東,八幡商,4,0
1995,,比叡山,高島,近江,北大津,水口東,八幡商,大津商,能登川,11,3
1996,,近江,栗東,八日市,大津商,近江兄弟社,高島,甲西,長浜,7,4
1997,,比叡山,八幡商,甲西,近江,彦根工,彦根東,水口東,近江兄弟社,4,1
1998,,近江,北大津,石山,大津商,八幡商,瀬田工,水口東,守山,5,0
1999,,比叡山,近江,大津商,彦根東,東大津,能登川,安曇川,水口東,3,0
2000,,八幡商,近江,長浜北,堅田,八日市南,瀬田工,北大津,石山,7,4
2001,,近江,光泉,北大津,大津商,能登川,八日市南,守山,長浜北,9,1
2002,,光泉,彦根工,八幡商,八日市,北大津,伊香,守山,近江,16,1
2003,,近江,北大津,滋賀学園,水口,伊吹,八幡工,比叡山,綾羽,4,1
2004,,北大津,八日市南,光泉,近江,八幡商,水口東,玉川,綾羽,3,2
2005,,近江,彦根東,八幡商,光泉,長浜北,草津東,石山,綾羽,5,0
2006,,八幡商,滋賀学園,彦根翔陽,安曇川,長浜,八幡工,彦根東,石部,6,3
2007,,近江,北大津,比叡山,彦根東,米原,石部,東大津,滋賀学園,12,3
2008,,近江,綾羽,水口,八幡商,瀬田工,北大津,彦根東,八日市南,12,5
2009,,滋賀学園,近江,北大津,比叡山,守山,水口,八日市南,守山北,7,1
2010,,北大津,彦根東,滋賀学園,近江兄弟社,守山,水口,比叡山,大津商,3,1
2011,,八幡商,北大津,瀬田工,近江兄弟社,河瀬,近江,高島,光泉,6,4
2012,,北大津,野洲,八幡商,光泉,近江,水口,近江兄弟社,比叡山,4,3
2013,,彦根東,近江兄弟社,八幡工,近江,滋賀学園,綾羽,水口東,守山北,3,1
2014,,近江,北大津,伊香,八幡商,彦根東,比叡山,綾羽,滋賀学園,4,0
2015,,比叡山,近江,野洲,米原,北大津,虎姫,八日市南,八幡商,5,0
2016,,近江,高島,滋賀学園,滋賀短大付,伊吹,光泉,八日市,水口,3,0
2017,,彦根東,近江,水口,水口東,八幡商,野洲,堅田,長浜北星,4,1
2018,,近江,綾羽,近江兄弟社,滋賀学園,八幡商,彦根東,守山北,水口,8,4
2019,,近江,光泉,綾羽,滋賀学園,近江兄弟社,米原,野洲,日野,1,0
2021,,近江,立命館守山,綾羽,彦根翔西館,草津,伊香,水口東,滋賀学園,6,0
2022,,近江,立命館守山,比叡山,綾羽,伊吹,彦根工,彦根東,近江兄弟社,4,1
2023,,近江,滋賀学園,八幡商,彦根総合,比叡山,立命館守山,甲西,綾羽,8,7
2024,,滋賀学園,綾羽,草津,近江,伊香,八幡,米原,虎姫,5,0
2025,,綾羽,滋賀学園,八日市,近江,比叡山,八幡商,立命館守山,伊香,6,3
