# 島根単独開催の選手権島根大会のみ収録(合同予選の年は対象外)
# 出典: bibijr.vivian.jp(高校野球データベース)のトーナメント表より集計
年,ブロック,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
1958,,益田産,浜田,安来,益田,大田,松江工,邇摩,松江商,2,1
1963,,大社,邇摩,松江商,大田,安来,益田産,三刀屋,江津工,3,2
1968,,浜田,三刀屋,大田,大社,津和野,出雲,邇摩,出雲商,13,3
1973,,浜田商,松江商,江の川,益田工,大田,江津工,平田,出雲工,2,0
1978,,三刀屋,松江商,大田,出雲,邇摩,益田,江の川,江津,3,2
1979,,浜田,出雲商,大社,松江農林,三刀屋,江の川,江津工,津和野,15,2
1980,,浜田,出雲工,益田,大田,平田,江津工,江津,松江商,4,1
1981,,浜田,邇摩,大社,松江工,出雲商,松江商,出雲西,益田,4,1
1982,,益田,大社,江の川,大田,出雲西,松江工,松江商,出雲商,4,0
1983,,大田,大社,益田東,三刀屋,松江商,浜田,出雲工,江の川,5,3
1984,,益田東,浜田,大社,松江農林,大田,江の川,出雲西,安来,6,2
1985,,大社,益田東,浜田商,江の川,松江商,松江農林,出雲,益田農林,2,1
1986,,浜田商,平田,江の川,出雲西,大東,川本,出雲,江津工,2,1
1987,,江の川,川本,大社,三刀屋,邇摩,大田,浜田,益田農林,8,7
1988,,江の川,大社,平田,邇摩,松江東,三刀屋,川本,津和野,9,1
1989,,出雲商,松江東,平田,益田農林,松江第一,安来,松江商,江の川,4,2
1990,,津和野,江の川,益田農林,淞南学園,安来,三刀屋,浜田商,松江工,5,2
1991,,益田農林,隠岐,津和野,大田,安来,大社,浜田,出雲商,7,2
1992,,大社,江の川,出雲西,淞南学園,松江南,江津,大田,松江商,5,3
1993,,松江第一,松江工,出雲北陵,大社,大田,益田東,情報科学,淞南学園,16,3
1994,,江の川,大社,益田東,淞南学園,松江商,出雲北陵,開星,三刀屋,5,2
1995,,江の川,松江商,松江南,川本,浜田,出雲商,浜田商,大田,10,1
1996,,益田東,開星,平田,出雲北陵,出雲西,津和野,江の川,大田,3,1
1997,,浜田,矢上,大社,松江商,津和野,益田東,江の川,川本,2,1
1998,,浜田,三刀屋,開星,松江北,邇摩,出雲北陵,大社,出雲西,7,4
1999,,浜田,江の川,三刀屋,出雲工,邇摩,益田東,大社,江津,17,11
2000,,益田東,淞南学園,出雲北陵,安来,出雲工,浜田,大社,出雲商,2,1
2001,,開星,出雲工,大社,益田産,大田,邇摩,安来,出雲農林,21,0
2002,,開星,立正大淞南,松江北,益田東,松江西,大社,出雲農林,三刀屋,8,4
2003,,江の川,隠岐,松江農林,安来,浜田商,平田,邇摩,開星,8,3
2004,,浜田,浜田商,開星,益田産,江の川,出雲農林,江津,三刀屋,5,3
2005,,江の川,大社,立正大淞南,開星,出雲,益田産,邇摩,浜田商,5,1
2006,,開星,出雲北陵,浜田,大社,立正大淞南,大東,江の川,江津工,9,5
2007,,開星,江の川,浜田,大田,江津,浜田商,川本,松江北,7,3
2008,,開星,大社,松江南,益田東,浜田,出雲西,江津,邇摩,12,1
2009,,立正大淞南,大社,益田東,出雲商,飯南,浜田,安来,石見智翠館,12,3
2010,,開星,大田,浜田,松江工,邇摩,浜田商,出雲西,石見智翠館,4,0
2011,,開星,石見智翠館,松江商,大社,安来,出雲,飯南,益田東,12,2
2012,,立正大淞南,石見智翠館,開星,浜田,大社,松江商,大田,益田東,6,5
2013,,石見智翠館,立正大淞南,開星,松江商,浜田,大東,松江北,浜田商,10,6
2014,,開星,大社,大東,安来,石見智翠館,島根中央,松江農林,浜田,9,4
2015,,石見智翠館,大東,大社,出雲商,立正大淞南,島根中央,松江北,飯南,12,6
2016,,出雲,立正大淞南,大社,開星,益田東,石見智翠館,松江東,浜田,6,1
2017,,開星,益田東,浜田,大社,立正大淞南,石見智翠館,隠岐,大東,5,2
2018,,益田東,石見智翠館,立正大淞南,出雲商,浜田,島根中央,出雲,大社,6,0
2019,,石見智翠館,開星,出雲,立正大淞南,浜田,出雲工,松江工,三刀屋,8,7
2021,,石見智翠館,大社,益田東,浜田,安来,出雲西,矢上,三刀屋,8,0
2022,,浜田,飯南,開星,三刀屋,立正大淞南,松江商,益田東,益田翔陽,9,4
2023,,立正大淞南,益田東,大社,松江西,出雲,大田,開星,松江工,3,0
2024,,大社,石見智翠館,飯南,開星,出雲商,浜田,矢上,立正大淞南,3,2
2025,,開星,松江南,益田東,大社,松江商,石見智翠館,立正大淞南,飯南,26,2
