# 静岡単独開催の選手権静岡大会のみ収録(合同予選の年は対象外)
# 出典: bibijr.vivian.jp(高校野球データベース)のトーナメント表より集計
年,ブロック,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
1958,,清水東,静岡,市沼津,浜松商,東海大高,浜松西,沼津東,静岡市立,2,0
1959,,静岡商,静岡市立,三島南,東海大一,浜松商,清水東,浜松工,市沼津,11,0
1960,,静岡,静岡商,清水市商,沼津工,静岡市商,浜松商,市沼津,東海大一,1,0
1961,,浜松商,東海大一,掛川西,沼津東,浜名,三島南,静岡,市沼津,5,1
1962,,静岡市立,静岡商,島田商,静岡,清水東,東海大一,静岡市商,沼津東,2,1
1963,,静岡,東海大一,静岡市商,清水市商,佐久間,榛原,焼津水産,静岡商,4,2
1964,,掛川西,清水工,東海大一,静岡,静岡商,市沼津,静岡市立,浜松商,4,1
1965,,東海大一,静岡,静岡商,浜松商,清水東,清水市商,静岡市商,静岡市立,4,3
1966,,静岡商,掛川西,静岡市商,浜松商,東海大一,富士宮北,浜松西,沼津東,6,5
1967,,浜松商,清水東,富士,浜松西,掛川西,島田工,清水工,沼津工,1,0
1968,,静岡商,浜松北,焼津水産,静岡学園,浜松商,静岡市商,修善寺工,島田商,4,0
1969,,静岡商,静岡,東海大工,清水市商,富士,浜松西,修善寺工,浜松北,1,0
1970,,静岡,富士宮北,東海大工,島田商,日大三島,浜松西,修善寺工,榛原,3,0
1971,,静岡学園,浜松西,島田商,掛川西,清水工,引佐,焼津水産,東海大工,6,0
1972,,東海大工,浜松商,静岡商,清水市商,富士宮北,浜松西,沼津東,清水東,5,2
1973,,静岡,自動車工,東海大一,静岡学園,掛川西,浜名,袋井商,静岡商,5,1
1974,,静岡商,清水市商,富士宮北,修善寺工,三島南,静岡市立,浜松商,浜松工,5,2
1975,,浜松商,静岡学園,掛川西,東海大一,浜松工,自動車工,静岡商,静岡,3,1
1976,,東海大一,修善寺工,静岡,掛川西,静岡学園,静清工,自動車工,浜松商,2,1
1977,,掛川西,東海大一,静岡学園,市沼津,富士宮北,静岡,東海大工,島田工,1,0
1978,,静岡,東海大工,東海大一,掛川西,静岡学園,袋井商,川根,相良,7,3
1979,,富士,市沼津,掛川西,静岡西,修善寺工,三ヶ日,静岡商,吉原商,4,3
1980,,浜松商,浜松西,三島南,富士宮北,静岡学園,静清工,東海大工,御殿場西,4,0
1981,,浜松西,東海大工,静岡商,修善寺工,磐田南,静岡北,静岡,浜松商,3,0
1982,,静岡,富士,静岡商,富士宮北,島田工,浜名,池新田,静岡学園,5,1
1983,,東海大一,静岡,浜松商,静清工,浜名,常葉橘,島田,浜北西,2,1
1984,,浜松商,東海大一,静清工,静岡学園,富士東,日大三島,静岡商,富士宮西,4,1
1985,,東海大工,静清工,沼津学園,袋井,静岡学園,島田,浜松商,清水市商,5,2
1986,,清水市商,静岡商,浜松商,袋井,静岡学園,静岡市立,沼津学園,星陵,3,0
1987,,静岡,島田,日大三島,東海大工,富士宮北,榛原,富士宮西,袋井,7,2
1988,,浜松商,富士宮西,御殿場西,静岡学園,東海大工,常葉菊川,日大三島,島田商,4,3
1989,,日大三島,長泉,島田商,浜北西,東海大工,富士,吉原工,静岡,9,8
1990,,浜松商,御殿場西,浜北西,掛川西,東海大工,韮山,静岡商,静岡,6,2
1991,,市沼津,東海大工,掛川西,富士宮西,東海大一,池新田,静岡,吉原商,4,3
1992,,桐陽,静清工,浜松商,静岡商,常葉菊川,東海大工,三島南,静岡学園,3,2
1993,,掛川西,静岡商,浜松工,桐陽,常葉菊川,掛川工,沼津学園,静岡西,4,2
1994,,浜松工,静岡,島田,掛川西,静岡市立,常葉菊川,静清工,富士宮農,3,1
1995,,韮山,興誠,沼津学園,東海大工,清水市商,浜松商,掛川西,富士宮西,14,2
1996,,常葉菊川,掛川西,静岡学園,興誠,小笠,東海大工,浜松商,静岡市商,3,2
1997,,浜松工,興誠,沼津学園,静岡,静岡商,常葉菊川,掛川西,浜松西,3,0
1998,,掛川西,浜松工,興誠,浜松商,静岡,沼津城北,静岡学園,袋井商,2,1
1999,,静岡,常葉橘,掛川西,吉原工,静清工,沼津学園,大井川,焼津中央,15,1
2000,,浜松商,常葉菊川,掛川西,島田商,御殿場西,浜名,日大三島,常葉橘,4,3
2001,,静岡市立,東海大翔洋,静岡,静岡商,磐田東,興誠,富士宮東,島田商,3,1
2002,,興誠,浜松商,富士宮西,常葉菊川,静岡,東海大翔洋,加藤学園,常葉橘,6,4
2003,,静岡,浜名,日大三島,加藤学園,御殿場西,富士宮北,飛龍,掛川西,4,0
