# 栃木単独開催の選手権栃木大会のみ収録(合同予選の年は対象外)
# 出典: bibijr.vivian.jp(高校野球データベース)のトーナメント表より集計
年,ブロック,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
1958,,作新学院,宇都宮工,宇都宮学園,栃木商,栃木,大田原,鹿沼農商,石橋,6,2
1963,,足利工,宇都宮工,鹿沼農商,作新学院,茂木,真岡,宇都宮学園,石橋,5,2
1968,,小山,作新学院,宇都宮商,足利工,真岡,鹿沼農商,鹿沼農商粟野,小山城南,5,1
1973,,作新学院,宇都宮東,小山,大田原,鹿沼商工,烏山,那須工,足利工,2,0
1975,,足利学園,作新学院,大田原,足利,宇都宮工,宇都宮商,小山,宇都宮学園,2,1
1976,,小山,足利学園,黒磯,宇都宮学園,栃木,作新学院,佐野日大,大田原,4,0
1977,,宇都宮学園,栃木商,小山,大田原,高根沢商,作新学院,足利工,宇都宮東,5,3
1978,,作新学院,小山,真岡,宇都宮商,佐野日大,栃木商,足利,足利学園,3,1
1979,,足利学園,作新学院,佐野日大,粟野,鹿沼,佐野商,葛生,栃木商,4,3
1980,,黒磯,小山,高根沢商,黒磯南,佐野日大,真岡工,作新学院,栃木農,2,0
1981,,宇都宮学園,栃木商,国学院栃木,宇都宮東,作新学院,佐野日大,黒磯,大田原,3,2
1982,,足利工,国学院栃木,宇都宮工,作新学院,葛生,栃木商,宇都宮商,足利学園,6,1
1983,,宇都宮南,宇都宮工,栃木商,足利工,国学院栃木,黒磯,小山,高根沢商,2,1
1984,,足利工,宇都宮工,国学院栃木,小山,葛生,小山南,那須工,栃木商,7,2
1985,,国学院栃木,鹿沼商工,葛生,宇都宮工,栃木,足利,足利工,宇都宮学園,1,0
1986,,宇都宮工,大田原,宇都宮商,足利工,足利,作新学院,佐野日大,足利学園,1,0
1987,,足利工,国学院栃木,作新学院,宇都宮南,宇都宮工,佐野日大,宇都宮学園,葛生,8,2
1988,,宇都宮学園,足利学園,葛生,作新学院,足利工,真岡,国学院栃木,宇都宮工,3,2
1989,,佐野日大,足利学園,葛生,鹿沼商工,小山,真岡,宇都宮商,国学院栃木,1,0
1990,,葛生,日光,足利工,佐野日大,宇都宮商,宇都宮学園,那須工,壬生,5,2
1991,,宇都宮学園,葛生,国学院栃木,宇都宮南,足利工,足利学園,作新学院,栃木南,10,0
1992,,宇都宮南,佐野日大,作新学院,宇都宮学園,鹿沼商工,栃木南,足利学園,国学院栃木,3,2
1993,,佐野日大,葛生,足利工大付,国学院栃木,宇都宮学園,烏山,足利工,作新学院,2,1
1994,,小山,足利,葛生,佐野日大,壬生,上三川,小山園芸,宇都宮工,8,3
1995,,宇都宮学園,作新学院,宇都宮商,宇都宮南,宇都宮,葛生,国学院栃木,栃木南,6,1
1996,,宇都宮南,宇都宮工,国学院栃木,葛生,宇都宮学園,足利工大付,小山西,矢板中央,4,0
1997,,佐野日大,葛生,栃木工,大田原,足利,国学院栃木,作新学院,小山西,7,5
1998,,佐野日大,白鴎大足利,小山,矢板中央,宇都宮工,小山北桜,宇都宮商,宇都宮北,6,5
1999,,栃木南,小山西,栃木商,宇都宮工,佐野日大,真岡,国学院栃木,小山北桜,8,5
2000,,宇都宮学園,葛生,小山西,真岡,矢板,小山,白鴎大足利,宇都宮,3,2
2001,,佐野日大,作新学院,小山,国学院栃木,真岡,葛生,宇都宮工,宇都宮北,4,2
2002,,小山西,宇都宮学園,矢板中央,国学院栃木,足利,葛生,佐野日大,那須拓陽,3,2
2003,,小山,作新学院,国学院栃木,文星芸大付,矢板東,白鴎大足利,佐野日大,宇都宮工,10,7
2004,,宇都宮南,葛生,栃木工,足利工大付,文星芸大付,大田原,小山,真岡,5,2
2005,,宇都宮南,国学院栃木,宇都宮工,小山,足利工,作新学院,栃木工,宇都宮商,6,2
2006,,文星芸大付,佐野日大,青藍泰斗,小山,小山西,国学院栃木,真岡,矢板中央,7,1
2007,,文星芸大付,宇都宮南,国学院栃木,青藍泰斗,真岡工,鹿沼商工,作新学院,足利工大付,7,3
2008,,白鴎大足利,宇都宮南,小山南,文星芸大付,栃木工,小山西,佐野日大,宇都宮工,6,2
2009,,作新学院,宇都宮工,青藍泰斗,佐野日大,栃木工,大田原,茂木,鹿沼商工,5,0
2010,,佐野日大,作新学院,宇都宮工,栃木工,宇都宮南,青藍泰斗,国学院栃木,大田原,6,3
2011,,作新学院,宇都宮商,文星芸大付,国学院栃木,宇都宮南,佐野日大,足利工大付,真岡工,17,5
2012,,作新学院,宇都宮工,文星芸大付,宇都宮北,足利工,青藍泰斗,那須清峰,佐野日大,3,1
2013,,作新学院,青藍泰斗,佐野日大,白鴎大足利,栃木工,宇都宮商,宇都宮北,小山南,3,2
2014,,作新学院,佐野日大,大田原,白鴎大足利,青藍泰斗,茂木,高根沢,国学院栃木,7,1
2015,,作新学院,国学院栃木,白鴎大足利,青藍泰斗,文星芸大付,栃木工,大田原,足利,9,2
2016,,作新学院,国学院栃木,矢板中央,茂木,文星芸大付,足利南,青藍泰斗,黒磯,15,6
