# 徳島単独開催の選手権徳島大会のみ収録(合同予選の年は対象外)
# 出典: bibijr.vivian.jp(高校野球データベース)のトーナメント表より集計
年,ブロック,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
1958,,徳島商,撫養,鳴門,阿波,穴吹,徳島農,日和佐,池田,5,0
1963,,徳島商,海南,鴨島商,撫養,鳴門,辻,美馬商工,小松島西,3,0
1968,,鴨島商,撫養,徳島工,阿南高専,池田,穴吹,鳴門,宍喰商,6,5
1973,,鳴門工,徳島商,鴨島商,鳴門商,海南,宍喰商,阿南高専,阿南工,11,1
1978,,徳島商,鳴門,鳴門工,富岡西,宍喰商,日和佐,小松島,鳴門商,13,4
1979,,池田,鳴門商,鳴門工,日和佐,徳島市立,徳島商,城北,阿南工,7,3
1980,,鳴門,池田,小松島西,鳴門商,宍喰商,徳島商,阿南高専,海南,3,2
1981,,徳島商,鳴門商,阿波,城南,池田,生光学園,阿南工,宍喰商,6,0
1982,,池田,徳島商,川島,宍喰商,徳島市立,城南,鳴門工,城北,6,3
1983,,池田,徳島商,鳴門,小松島西,鳴門商,穴吹,川島,鳴門工,4,1
1984,,徳島商,池田,城南,小松島西,穴吹,辻,鳴門,城ノ内,7,5
1985,,徳島商,鳴門工,城ノ内,富岡西,生光学園,板野,川島,鳴門,8,2
1986,,池田,鳴門,海南,鳴門商,宍喰商,板野,鳴門工,川島,4,1
1987,,池田,徳島商,鳴門商,小松島西,新野,鳴門,鳴門工,川島,11,9
1988,,池田,鳴門工,那賀,小松島西,川島,宍喰商,名西,辻,2,0
1989,,小松島西,川島,小松島,鳴門工,鳴門商,徳島商,名西,城南,6,1
1990,,徳島商,池田,鳴門工,川島,小松島西,生光学園,板野,名西,11,3
1991,,池田,鳴門工,城南,新野,日和佐,海南,名西,板野,5,3
1992,,池田,板野,徳島東工,鳴門,小松島西,鴨島商,阿波,鳴門商,2,1
1993,,徳島商,鳴門,名西,阿波,城南,城ノ内,那賀,小松島,16,6
1994,,小松島西,新野,富岡西,鳴門,鳴門第一,徳島東工,日和佐,名西,5,4
1995,,鳴門,生光学園,鳴門工,阿波,宍喰商,新野,池田,徳島商,16,1
1996,,新野,鴨島商,名西,富岡西,池田,徳島工,生光学園,鳴門工,7,5
1997,,徳島商,鳴門工,生光学園,板野,徳島市立,小松島西,名西,徳島東工,6,0
1998,,徳島商,鳴門,池田,新野,城ノ内,小松島,鳴門工,城東,9,2
1999,,徳島商,鳴門工,生光学園,小松島,城東,板野,名西,徳島北,2,0
2000,,徳島商,小松島,鳴門工,徳島北,鳴門第一,城北,鳴門,城東,5,2
2001,,鳴門工,小松島,阿波,徳島商,生光学園,阿南工,徳島東工,鳴門,3,0
2002,,鳴門工,鳴門第一,鳴門,生光学園,脇町,名西,徳島商,海南,4,3
2003,,小松島,徳島商,鳴門工,徳島北,名西,城ノ内,徳島東工,生光学園,7,4
2004,,鳴門第一,徳島北,鳴門工,小松島,脇町,阿南工,城東,富岡西,5,4
2005,,鳴門工,徳島商,生光学園,海南・海部,阿波,徳島北,池田,城東,5,2
2006,,徳島商,徳島北,海部,小松島,新野,池田,徳島東工,城東,9,3
2007,,徳島商,城南,生光学園,池田,鳴門,新野,徳島東工,阿波,8,1
2008,,鳴門工,徳島商,鳴門第一,小松島,富岡西,阿波,生光学園,鳴門,3,0
2009,,徳島北,鳴門第一,鳴門工,小松島西,小松島,城南,板野,生光学園,2,1
2010,,鳴門,小松島,川島,生光学園,小松島西,徳島商,城南,城ノ内,7,6
2011,,徳島商,生光学園,小松島,鳴門,富岡西,鳴門工,城南,城北,3,2
2012,,鳴門,鳴門渦潮,池田,川島,板野,城東,小松島,海部,6,3
2013,,鳴門,川島,鳴門渦潮,生光学園,徳島科技,池田,小松島,新野,9,4
2014,,鳴門,鳴門渦潮,池田,生光学園,城東,富岡西,阿南工,新野,6,5
2015,,鳴門,城南,城東,徳島北,小松島,脇町,鳴門渦潮,阿波,4,0
2016,,鳴門,鳴門渦潮,富岡西,生光学園,徳島北,小松島,城南,阿南工,2,1
2017,,鳴門渦潮,板野,川島,生光学園,富岡西,小松島西,城東,穴吹,6,0
2018,,鳴門,生光学園,富岡西,鳴門渦潮,徳島科技,城東,脇町,徳島商,4,2
2019,,鳴門,富岡西,池田,徳島商,城西,城南,川島,徳島北,8,1
2021,,阿南光,生光学園,池田,徳島商,富岡西,阿波,那賀,鳴門渦潮,3,2
2022,,鳴門,鳴門渦潮,城東,徳島商,富岡西,板野,徳島北,城北,6,1
2023,,徳島商,鳴門,生光学園,阿南光,名西,川島,池田,鳴門渦潮,4,1
2024,,鳴門渦潮,阿南光,城東,城南,徳島科技,小松島,鳴門,富岡西,6,5
2025,,鳴門,鳴門渦潮,徳島北,徳島商,那賀,名西,阿南光,川島,4,0
