# 鳥取単独開催の選手権鳥取大会のみ収録(合同予選の年は対象外)
# 出典: bibijr.vivian.jp(高校野球データベース)のトーナメント表より集計
年,ブロック,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
1958,,鳥取西,倉吉東,鳥取工,境,八頭,米子工,米子東,津田短大付,2,1
1963,,米子南,境,由良育英,鳥取工,鳥取西,倉吉東,米子東,米子工,3,2
1968,,米子南,八頭,鳥取西,米子商,倉吉産,米子東,由良育英,倉吉東,7,1
1973,,鳥取西,米子工,鳥取工,倉吉東,米子商,八頭,米子東,倉吉工,3,2
1978,,倉吉北,米子工,米子東,倉吉東,鳥取西,青谷,鳥取城北,由良育英,4,0
1979,,境,米子東,倉吉北,八頭,倉吉東,根雨,鳥取商,鳥取西,2,1
1980,,倉吉北,鳥取西,由良育英,米子東,鳥取東,倉吉東,倉吉産,鳥取城北,5,1
1981,,鳥取西,倉吉東,境,鳥取東,八頭,由良育英,米子工,倉吉工,4,0
1982,,境,米子東,鳥取城北,根雨,鳥取商,倉吉北,鳥取東,倉吉産,3,1
1983,,米子東,鳥取城北,八頭,境,鳥取商,由良育英,倉吉西,倉吉東,3,2
1984,,境,米子工,米子商,鳥取西,米子東,倉吉西,由良育英,青谷,11,1
1985,,鳥取西,鳥取商,鳥取城北,倉吉北,青谷,米子工,鳥取工,由良育英,13,6
1986,,米子東,鳥取西,米子北,米子商,八頭,根雨,鳥取城北,倉吉東,3,2
1987,,八頭,米子東,米子工,鳥取商,倉吉東,米子,由良育英,鳥取東,5,4
1988,,米子商,米子東,鳥取城北,鳥取西,鳥取西工,倉吉東,鳥取工,倉吉北,2,1
1989,,米子東,倉吉東,鳥取商,鳥取西,根雨,米子工,米子北,境,12,4
1990,,境,鳥取西,倉吉北,八頭,倉吉西,倉吉東,鳥取商,倉吉産,12,7
1991,,米子東,八頭,鳥取西,倉吉東,米子商,鳥取東,倉吉西,由良育英,2,1
1992,,倉吉北,鳥取西,鳥取城北,米子西,倉吉東,由良育英,赤碕,倉吉産,4,3
1993,,鳥取西,鳥取城北,倉吉東,赤碕,米子東,八頭,倉吉北,米子商,4,1
1994,,八頭,境,米子北,鳥取城北,鳥取西,根雨,米子西,由良育英,9,7
1995,,倉吉東,根雨,境,倉吉北,米子西,米子工,八頭,米子東,5,1
1996,,八頭,鳥取城北,倉吉産,鳥取西,鳥取東,境,米子工,境港工,6,0
1997,,八頭,米子商,鳥取商,鳥取西,倉吉東,米子東,倉吉北,鳥取東,11,5
1998,,境,米子北,根雨,倉吉東,境港工,鳥取城北,米子工,倉吉工,3,2
1999,,倉吉北,米子西,鳥取城北,倉吉産,米子工,倉吉工,境,米子商,3,2
2000,,米子商,由良育英,米子,倉吉北,鳥取城北,赤碕,米子西,倉吉西,5,2
2001,,八頭,由良育英,根雨,米子西,米子松蔭,鳥取西,境港工,倉吉東,2,1
2002,,倉吉北,鳥取西,八頭,由良育英,倉吉東,鳥取商,米子東,境港工,7,6
2003,,八頭,倉吉北,鳥取城北,鳥取西,米子東,倉吉工,境,米子西,4,2
2004,,鳥取商,鳥取西,八頭,米子西,倉吉北,由良育英,岩美,倉吉産,9,2
2005,,鳥取西,米子西,岩美,鳥取城北,日野,境,八頭,鳥取中央育英,8,0
2006,,倉吉北,倉吉東,鳥取城北,鳥取商,米子工,米子西,八頭,米子松蔭,10,4
2007,,境,倉吉総合産,倉吉北,倉吉東,鳥取商,米子東,鳥取中央育英,鳥取西,7,3
2008,,鳥取西,鳥取城北,鳥取商,八頭,境,米子松蔭,倉吉西,鳥取中央育英,2,1
2009,,鳥取城北,鳥取商,鳥取西,米子松蔭,米子北,倉吉東,八頭,米子高専,6,3
2010,,八頭,米子北,倉吉東,鳥取商,鳥取工,鳥取城北,米子松蔭,米子西,4,1
2011,,鳥取商,境,鳥取中央育英,八頭,倉吉東,鳥取城北,鳥取東,米子松蔭,4,3
2012,,鳥取城北,鳥取中央育英,倉吉東,倉吉西,倉吉北,倉吉総合産,鳥取商,米子北,7,6
2013,,鳥取城北,八頭,倉吉東,鳥取商,鳥取東,米子松蔭,倉吉北,鳥取西,7,4
2014,,八頭,鳥取城北,鳥取商,米子東,米子北,鳥取中央育英,倉吉東,米子西,2,1
2015,,鳥取城北,鳥取西,米子西,境,米子北,日野,鳥取商,倉吉総合産,9,6
2016,,境,米子松蔭,鳥取城北,鳥取西,米子東,米子北,倉吉東,八頭,19,4
2017,,米子松蔭,米子東,八頭,倉吉東,鳥取中央育英,鳥取西,倉吉西,米子工,5,2
2018,,鳥取城北,米子西,鳥取西,倉吉西,八頭,米子松蔭,倉吉東,米子工,8,0
2019,,米子東,鳥取城北,倉吉東,境,米子松蔭,米子工,鳥取西,米子北,6,5
2021,,米子東,鳥取商,八頭,鳥取東,鳥取西,鳥取中央育英,米子松蔭,倉吉総合産,9,8
2022,,鳥取商,倉吉総合産,鳥取東,米子東,倉吉北,八頭,鳥取工,倉吉農,2,1
2023,,鳥取商,鳥取西,鳥取城北,米子東,鳥取工,米子松蔭,米子北,倉吉東,2,1
2024,,鳥取城北,米子松蔭,米子北,米子東,八頭,倉吉北,米子西,鳥取商,5,4
2025,,鳥取城北,鳥取西,米子西,鳥取商,倉吉東,米子東,岩美,鳥取東,13,5
