# 富山単独開催の選手権富山大会のみ収録(合同予選の年は対象外)
# 出典: bibijr.vivian.jp(高校野球データベース)のトーナメント表より集計
年,ブロック,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
1958,,魚津,滑川,高岡,高岡工芸,富山商,伏木,富山工,上市,8,3
1963,,富山商,新湊,高岡商,氷見,富山第一,上市,富山中部,滑川,1,0
1968,,高岡商,富山北部,高岡東,雄山,富山商,福野,八尾,富山中部,5,1
1973,,富山商,高岡商,滑川,八尾,砺波工,新湊,石動,不二越工,5,2
1978,,石動,氷見,高岡商,富山第一,高岡第一,滑川,不二越工,富山商,2,1
1979,,桜井,高岡商,滑川,富山商,氷見,有磯,小杉,高岡第一,8,4
1980,,新湊,富山商,高岡商,富山,高岡日大,有磯,高岡,滑川,6,5
1981,,高岡第一,富山商,不二越工,富山第一,高岡向陵,石動,富山,高岡商,4,0
1982,,高岡商,富山商,新湊,不二越工,新川,高岡,八尾,富山東,4,3
1983,,桜井,滑川,魚津,石動,雄山,新湊,富山東,高岡工芸,3,2
1984,,高岡商,不二越工,高岡工芸,高岡向陵,富山南,氷見,高岡第一,桜井,2,1
1985,,高岡商,富山商,不二越工,高岡向陵,桜井,水橋,氷見,新湊,4,1
1986,,新湊,高岡南,魚津工,高岡第一,氷見,富山商,桜井,高岡商,8,2
1987,,高岡商,富山商,高岡第一,魚津工,砺波工,富山第一,魚津,不二越工,8,5
1988,,富山商,高岡商,新湊,氷見,高岡第一,不二越工,高岡向陵,伏木,6,5
1989,,富山商,不二越工,高岡,高岡第一,高岡向陵,富山,八尾,高岡商,3,0
1990,,桜井,高岡第一,不二越工,八尾,砺波,富山第一,高岡向陵,高岡工芸,5,2
1991,,富山商,不二越工,高岡第一,高岡,高岡工芸,富山東,滑川,八尾,22,2
1992,,高岡商,新湊,富山商,富山第一,富山中部,高岡向陵,氷見,高岡南,4,1
1993,,不二越工,高岡商,富山商,高岡第一,雄山,新湊,泊,桜井,7,3
1994,,富山商,高岡向陵,富山東,高岡商,富山北部,福野,新川,水橋,18,11
1995,,高岡商,富山商,富山中部,高岡向陵,福野,新湊,富山第一,泊,14,0
1996,,富山商,高岡向陵,氷見,高岡第一,大門,滑川,上市,富山東,3,1
1997,,新湊,富山商,伏木,高岡向陵,氷見,滑川,高岡,石動,10,6
1998,,富山商,氷見,滑川,高岡商,魚津工,井波,富山中部,新湊,5,4
1999,,新湊,高岡第一,高岡商,富山商,福岡,高岡南,福野,高岡向陵,4,3
2000,,富山商,高岡商,福野,富山第一,呉羽,新湊,滑川,高岡向陵,14,1
2001,,滑川,高岡第一,富山第一,高岡商,砺波,新湊,桜井,不二越工,5,4
2002,,富山商,氷見,富山北部,高岡第一,高岡商,福野,砺波工,新湊,6,2
2003,,富山商,富山第一,氷見,滑川,高岡,八尾,富山中部,富山工,9,7
2004,,富山商,高岡商,不二越工,高岡第一,砺波,氷見,高岡南,新湊,8,7
2005,,高岡商,高岡第一,不二越工,桜井,高岡,富山第一,氷見,富山工,15,9
2006,,福岡,砺波工,富山,富山第一,新湊,富山東,高岡第一,八尾,6,5
2007,,桜井,富山商,氷見,富山東,砺波,八尾,福岡,滑川,5,4
2008,,高岡商,新湊,富山工,高岡第一,八尾,小杉,伏木,不二越工,3,2
2009,,南砺福野,高岡商,氷見,富山第一,桜井,石動,砺波工,不二越工,5,4
2010,,砺波工,富山第一,富山商,桜井,富山東,富山工,高岡商,南砺福野,6,3
2011,,新湊,富山国際大付,高岡商,砺波工,高岡西,不二越工,滑川,富山第一,5,4
2012,,富山工,富山商,高岡商,滑川,桜井,高岡南,富山第一,砺波工,15,8
2013,,富山第一,桜井,砺波工,新湊,滑川,高岡第一,氷見,富山国際大付,4,2
2014,,富山商,高岡商,不二越工,富山第一,高岡,富山国際大付,南砺福野,小杉,9,3
2015,,高岡商,富山東,新湊,富山工,富山商,滑川,氷見,砺波工,5,2
2016,,富山第一,富山商,氷見,南砺福野,富山東,富山国際大付,高岡商,桜井,8,0
2017,,高岡商,高朋,新湊,富山国際大付,富山,富山いずみ,富山第一,不二越工,8,2
2018,,高岡商,富山第一,高岡第一,石動,高岡龍谷,魚津工,富山東,富山商,14,4
2019,,高岡商,富山第一,水橋,富山国際大付,高岡第一,砺波工,魚津,未来富山,7,4
2021,,高岡商,高岡第一,富山商,砺波工,富山北部・水橋,氷見,富山第一,石動,11,4
2022,,高岡商,氷見,富山商,富山第一,未来富山,新川,魚津工,福岡,12,11
2023,,富山商,富山北部,高岡第一,高朋,不二越工,石動,新川,高岡向陵,7,3
2024,,富山商,富山北部,高岡第一,未来富山,富山第一,高朋,石動,新湊,7,6
2025,,未来富山,高岡商,富山第一,富山北部,桜井,南砺福野,富山商,富山国際大付,13,7
