# 和歌山単独開催の選手権和歌山大会のみ収録(合同予選の年は対象外)
# 出典: bibijr.vivian.jp(高校野球データベース)のトーナメント表より集計
年,ブロック,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
1958,,海南,田辺,県和歌山商,新宮,和歌山工,南部,大成,熊野,6,2
1963,,南部,向陽,和歌山工,海南,串本,県和歌山商,熊野,新宮,1,0
1968,,星林,県和歌山商,向陽,南部,和歌山工,耐久,和歌山高専,新宮,3,0
1973,,箕島,和歌山工,新宮,伊都,南部,大成,桐蔭,市和歌山商,2,1
1978,,箕島,吉備,串本,伊都,御坊商工,日高,田辺,市和歌山商,5,0
1979,,箕島,田辺商,桐蔭,田辺,海南,向陽,南部,県和歌山商,5,1
1980,,箕島,伊都,熊野,和歌山工,南部,新宮,串本,県和歌山商,2,0
1981,,和歌山工,海南,田辺商,県和歌山商,新宮,伊都,星林,田辺工,4,1
1982,,南部,新宮,智弁和歌山,吉備,県和歌山商,御坊商工,大成,田辺,3,2
1983,,箕島,吉備,向陽,御坊商工,智弁和歌山,県和歌山商,桐蔭,伊都,3,1
1984,,箕島,和歌山工,大成,新宮,日高,吉備,桐蔭,串本,8,0
1985,,和歌山工,田辺,箕島,高野山,星林,智弁和歌山,桐蔭,南部,2,1
1986,,桐蔭,箕島,耐久,大成,新宮,南部,伊都,県和歌山商,5,3
1987,,智弁和歌山,吉備,市和歌山商,箕島,那賀,耐久,桐蔭,伊都,2,1
1988,,高野山,箕島,橋本,智弁和歌山,南部,耐久,日高,伊都,6,2
1989,,智弁和歌山,桐蔭,田辺,星林,日高,和歌山工,海南,那賀,2,1
1990,,星林,南部,橋本,和歌山工,市和歌山商,伊都,智弁和歌山,海南,3,2
1991,,智弁和歌山,星林,市和歌山商,田辺工,耐久,県和歌山商,南部,伊都,8,4
1992,,智弁和歌山,日高中津,耐久,南部,伊都,初芝橋本,星林,御坊商工,7,2
1993,,智弁和歌山,和歌山工,桐蔭,箕島,県和歌山商,星林,伊都,南部,2,1
1994,,市和歌山商,日高中津,星林,田辺工,高野山,桐蔭,大成,南部,5,4
1995,,田辺,高野山,伊都,箕島,和歌山工,桐蔭,県和歌山商,日高中津,7,1
1996,,智弁和歌山,伊都,南部,熊野,箕島,星林,初芝橋本,県和歌山商,10,4
1997,,智弁和歌山,日高中津,日高,田辺商,初芝橋本,市和歌山商,県和歌山商,和歌山工,3,2
1998,,智弁和歌山,星林,伊都,初芝橋本,橋本,田辺商,海南,耐久,8,7
1999,,智弁和歌山,南部,和歌山工,国際開洋二,田辺,和歌山西,星林,県和歌山商,6,3
2000,,智弁和歌山,南部,日高中津,箕島,伊都,耐久,新宮,星林,5,2
2001,,初芝橋本,南部,箕島,海南,有田中央,日高,市和歌山商,和歌山,3,2
2002,,智弁和歌山,日高中津,市和歌山商,田辺,高野山,新宮,伊都,桐蔭,8,2
2003,,智弁和歌山,国際開洋二,南部,粉河,紀北農芸,橋本,和歌山,桐蔭,10,1
2004,,市和歌山商,日高,日高中津,南部,耐久,新宮,智弁和歌山,県和歌山商,6,5
2005,,智弁和歌山,笠田,市和歌山商,桐蔭,有田中央,箕島,近大新宮,新宮,12,6
2006,,智弁和歌山,田辺,粉河,日高中津,田辺工,海南,貴志川,那賀,6,1
2007,,智弁和歌山,高野山,南部,市和歌山商,箕島,日高中津,近大新宮,田辺工,4,1
2008,,智弁和歌山,日高中津,串本,市和歌山商,神島,高野山,和歌山高専,熊野,5,3
2009,,智弁和歌山,南部,紀北工,和歌山商,伊都,桐蔭,市和歌山,田辺,3,0
2010,,智弁和歌山,向陽,市和歌山,桐蔭,箕島,近大新宮,日高,粉河,6,3
2011,,智弁和歌山,市和歌山,伊都,南部,海南,向陽,桐蔭,国際開洋二,7,1
2012,,智弁和歌山,那賀,桐蔭,近大新宮,粉河,日高,耐久,和歌山商,4,2
2013,,箕島,南部,和歌山東,日高中津,那賀,紀北工,和歌山工,南部龍神,10,1
2014,,市和歌山,智弁和歌山,和歌山商,紀央館,向陽,箕島,伊都,田辺,3,2
2015,,智弁和歌山,和歌山商,箕島,田辺工,市和歌山,耐久,紀央館,和歌山工,2,0
2016,,市和歌山,箕島,橋本,和歌山東,智弁和歌山,南部,海南,和歌山高専,2,0
2017,,智弁和歌山,紀央館,市和歌山,和歌山東,田辺工,桐蔭,向陽,日高,3,2
2018,,智弁和歌山,市和歌山,紀北工,向陽,日高,桐蔭,和歌山南陵,和歌山東,7,6
2019,,智弁和歌山,那賀,南部,熊野,神島,市和歌山,桐蔭,箕島,12,1
2021,,智弁和歌山,市和歌山,高野山,和歌山東,耐久,初芝橋本,日高,粉河,4,1
2022,,智弁和歌山,桐蔭,和歌山南陵,和歌山東,神島,日高中津,日高,市和歌山,7,2
2023,,市和歌山,和歌山北,和歌山南陵,桐蔭,南部龍神,近大新宮,新宮,海南,5,4
2024,,智弁和歌山,近大新宮,田辺,和歌山東,桐蔭,耐久,海南,日高,4,2
2025,,智弁和歌山,星林,田辺,那賀,粉河,市和歌山,初芝橋本,橋本,2,0
