# 山形単独開催の選手権山形大会のみ収録(合同予選の年は対象外)
# 出典: bibijr.vivian.jp(高校野球データベース)のトーナメント表より集計
年,ブロック,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
1958,,山形南,山形東,山形商,鶴岡南,新庄北,米沢商,寒河江,米沢工,8,0
1963,,日大山形,山形商,米沢工,米沢商,山形中央,鶴岡工,酒田東,酒田工,8,2
1968,,日大山形,山形東,山形工,山形南,鶴岡工,酒田東,酒田工,寒河江,17,0
1973,,日大山形,鶴岡商,山形南,酒田商,羽黒工,寒河江,新庄工,山形東,4,0
1976,,日大山形,山形電波工,酒田工,酒田東,山形東,一橋商,寒河江,山形南,2,1
1977,,酒田工,山形南,寒河江,山形東,米沢商,新庄農,酒田東,新庄北,2,0
1978,,鶴商学園,米沢商,日大山形,米沢興譲館,山形東,寒河江工,遊佐,温海,3,1
1979,,日大山形,米沢工,山形南,山形電波工,鶴岡工,酒田商,鶴商学園,山形東,14,1
1980,,山形南,寒河江,米沢工,山形電波工,米沢商,新庄農,酒田工,新庄北,11,2
1981,,鶴商学園,酒田東,遊佐,米沢興譲館,新庄工,寒河江,山形商,庄内農,11,1
1982,,東海大山形,日大山形,新庄北,鶴商学園,新庄東,酒田工,山形中央,寒河江,5,4
1983,,日大山形,東海大山形,寒河江,酒田商,山形南,鶴商学園,高畠,山形東,9,2
1984,,日大山形,米沢中央,山形中央,酒田商,鶴岡南,米沢興譲館,山形南,東海大山形,9,0
1985,,東海大山形,日大山形,羽黒工,鶴商学園,酒田南,酒田商,新庄北,山形南,7,6
1986,,東海大山形,日大山形,鶴岡工,山形工,宮内,山形中央,鶴商学園,米沢工,8,3
1987,,東海大山形,羽黒工,酒田東,日大山形,山形南,山形電波工,鶴商学園,鶴岡南,5,4
1988,,日大山形,米沢中央,米沢工,酒田東,酒田工,酒田商,山形中央,東海大山形,14,2
1989,,東海大山形,米沢中央,日大山形,酒田工,山形東,鶴岡工,山形工,山形南,10,3
1990,,日大山形,東海大山形,米沢中央,寒河江,宮内,鶴岡工,山形工,山形中央,10,1
1991,,米沢工,鶴商学園,日大山形,寒河江,鶴岡工,羽黒,山形南,酒田工,4,1
1992,,日大山形,米沢中央,東海大山形,米沢工,鶴岡工,山形南,酒田工,酒田東,7,6
1993,,日大山形,山形中央,羽黒,東海大山形,山形南,山形電波工,山形東,米沢商,20,1
1994,,鶴岡工,山形商,羽黒,寒河江,寒河江工,酒田東,天童,東海大山形,6,3
1995,,東海大山形,日大山形,酒田工,羽黒,山形工,鶴岡南,寒河江,南陽,4,2
1996,,日大山形,羽黒,酒田商,山形東,山形工,山形南,長井,山形中央,7,2
1997,,酒田南,東海大山形,寒河江,新庄東,鶴商学園,米沢工,山形南,山形東,5,4
1998,,日大山形,酒田南,新庄東,山形南,東海大山形,米沢商,南陽,羽黒,8,2
1999,,酒田南,上山明新館,山形中央,鶴商学園,日大山形,鶴岡工,羽黒,酒田商,8,0
2000,,酒田南,東海大山形,山形中央,新庄東,日大山形,新庄北,南陽,米沢中央,9,5
2001,,酒田南,日大山形,鶴岡東,米沢興譲館,寒河江,南陽,酒田商,高畠,8,4
2002,,酒田南,羽黒,寒河江,山形工,山形中央,山形電波工,上山明新館,日大山形,7,3
2003,,羽黒,酒田南,山形中央,鶴岡工,山本学園,新庄東,日大山形,東海大山形,7,2
2004,,酒田南,東海大山形,鶴岡工,羽黒,新庄北,米沢工,寒河江,寒河江工,6,2
2005,,酒田南,羽黒,日大山形,米沢商,九里学園,山形中央,東海大山形,長井,8,5
2006,,日大山形,東海大山形,酒田東,酒田南,山形商,鶴岡南,鶴岡東,山形城北,8,2
2007,,日大山形,羽黒,酒田南,山形中央,東海大山形,鶴岡工,酒田工,山形城北,6,4
2008,,酒田南,羽黒,鶴岡東,東海大山形,山形城北,山形中央,米沢中央,日大山形,6,2
2009,,酒田南,新庄東,日大山形,米沢中央,九里学園,寒河江工,羽黒,米沢興譲館,17,0
2010,,山形中央,鶴岡東,山形南,日大山形,酒田工,北村山,酒田南,羽黒,4,3
2011,,鶴岡東,山形中央,日大山形,羽黒,山形工,山形城北,新庄北,東海大山形,3,2
2012,,酒田南,日大山形,山形中央,羽黒,酒田光陵,山形城北,米沢中央,新庄東,6,5
2013,,日大山形,米沢中央,酒田南,山形中央,鶴岡東,山形明正,東海大山形,新庄東,7,3
2014,,山形中央,酒田南,鶴岡東,日大山形,鶴岡南,長井,山形城北,酒田光陵,5,2
2015,,鶴岡東,羽黒,山形中央,酒田光陵,米沢中央,山形城北,酒田南,九里学園,13,2
2016,,鶴岡東,山形中央,酒田南,米沢中央,酒田東,日大山形,九里学園,東海大山形,10,8
2017,,日大山形,山形中央,酒田南,山形城北,山形南,山形商,羽黒,九里学園,16,3
2018,,羽黒,鶴岡東,酒田南,山形南,酒田光陵,山形城北,新庄北,東海大山形,5,4
2019,,鶴岡東,山形中央,山形工,東海大山形,羽黒,米沢中央,日大山形,酒田南,11,7
2021,,日大山形,東海大山形,鶴岡東,酒田光陵,米沢中央,羽黒,山形城北,山形中央,9,7
2022,,鶴岡東,山形中央,新庄東,東海大山形,羽黒,日大山形,創学館,東北文教大山形城北,3,2
2023,,日大山形,山形中央,東海大山形,羽黒,鶴岡東,九里学園,東北文教大山形城北,山形商,6,4
2024,,鶴岡東,東北文教大山形城北,日大山形,山形商,東海大山形,山形学院,羽黒,米沢中央,11,1
2025,,日大山形,鶴岡東,酒田南,山形南,東海大山形,羽黒,山形中央,東北文教大山形城北,5,4
