# 山口単独開催の選手権山口大会のみ収録(合同予選の年は対象外)
# 出典: bibijr.vivian.jp(高校野球データベース)のトーナメント表より集計
年,ブロック,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
1958,,柳井,岩国工,岩国,柳井商工,下関商,萩,宇部商,早鞆,4,0
1968,,岩国商,宇部商,防府商,岩国,宇部,萩商,防府,萩,3,1
1973,,萩商,萩,下関商,久賀,防府,桜ケ丘,岩国,豊浦,1,0
1975,,柳井商,下関商,防府商,山口,豊浦,長門,岩国,萩,2,1
1976,,宇部商,柳井,下松工,岩国,南陽工,萩商,下関商,豊浦,3,2
1977,,柳井商,宇部工,宇部商,豊浦,宇部,徳山商,下松工,久賀,6,1
1978,,南陽工,宇部工,防府商,柳井商,長門,下関中央工,山口,萩工,4,3
1979,,豊浦,岩国,厚狭,宇部高専,柳井商,防府商,下関商,徳山,6,2
1980,,岩国商,萩商,宇部商,下関商,長門,岩国工,多々良学園,高水,1,0
1981,,下関商,多々良学園,下関工,宇部商,柳井,山口,萩,徳山,6,3
1982,,宇部商,下関商,萩工,山口水産,岩国,防府,柳井商,久賀,4,0
1983,,宇部商,柳井,下関商,徳山,防府,多々良学園,豊浦,下関工,6,4
1984,,柳井,宇部商,萩工,多々良学園,萩商,防府商,防府,豊北,6,5
1985,,宇部商,萩工,防府,宇部,柳井商,萩商,南陽工,山口,13,2
1986,,岩国商,多々良学園,下関工,小野田工,宇部商,徳山高専,萩,防府商,2,0
1987,,徳山,下関商,岩陽,南陽工,宇部商,豊浦,岩国,萩工,8,7
1988,,宇部商,萩工,多々良学園,豊浦,南陽工,下関商,柳井商,柳井,4,3
1989,,桜ケ丘,多々良学園,岩国商,早鞆,宇部商,下関中央工,宇部工,岩国工,7,1
1990,,宇部商,豊浦,桜ケ丘,萩,下松工,宇部工,南陽工,岩国,6,5
1991,,宇部商,西京,柳井商,小野田工,光,山口,徳山商,岩国工,5,0
1992,,山口鴻城,多々良学園,宇部商,岩国,南陽工,久賀,下関中央工,萩,5,2
1993,,光,下松工,宇部商,下関商,西京,岩国,萩商,岩国工,3,0
1994,,光,下関中央工,岩国,西京,宇部,豊浦,徳山商,岩国工,1,0
1995,,下関商,岩国,下関工,南陽工,柳井,防府,西京,山口鴻城,8,6
1996,,防府商,下関商,岩国,西京,萩,早鞆,多々良学園,南陽工,5,2
1997,,西京,南陽工,柳井,豊浦,岩国工,下関中央工,光,萩商,8,4
1998,,宇部商,下関中央工,南陽工,早鞆,岩国工,光,徳山工,小野田,6,4
1999,,久賀,岩国,豊浦,多々良学園,下関商,光,南陽工,宇部商,3,2
2000,,岩国,宇部商,多々良学園,岩国工,下関中央工,山口,豊浦,光,3,2
2001,,宇部商,下関中央工,防府西,防府商,熊毛南,豊浦,南陽工,柳井,9,3
2002,,宇部商,岩国,宇部鴻城,防府,光,多々良学園,山口鴻城,下関中央工,12,0
2003,,岩国,宇部鴻城,下関商,山口,宇部商,下松工,柳井商,徳山高専,7,4
2004,,岩国,下関工,宇部商,多々良学園,下関西,華陵,下松工,西京,8,3
2005,,宇部商,柳井商,華陵,下関中央工,岩国,下関商,宇部鴻城,南陽工,7,1
2006,,南陽工,多々良学園,下関商,下関工,宇部高専,岩国商,宇部工,岩国,15,3
2007,,岩国,豊浦,下関商,西京,宇部商,華陵,桜ケ丘,久賀,3,2
2008,,下関工,下関商,南陽工,宇部鴻城,聖光,宇部商,柳井,華陵,7,3
2009,,華陵,岩国商,宇部,防府商,下関国際,熊毛南,宇部工,慶進,12,4
2010,,南陽工,防府,高川学園,下関工,下関中央工,西京,宇部鴻城,柳井商工,3,2
2011,,柳井学園,桜ケ丘,下関国際,小野田,宇部鴻城,南陽工,下関工,岩国,1,0
2012,,宇部鴻城,山口鴻城,早鞆,熊毛南,岩国,岩国工,光,山口,6,4
2013,,岩国商,高川学園,早鞆,岩国,宇部鴻城,防府,下関商,宇部工,2,1
2014,,岩国,熊毛南,宇部鴻城,萩商工,下関中央工,徳山商工,下関工,南陽工,2,1
2015,,下関商,下関国際,宇部商,宇部鴻城,徳山商工,柳井学園,光,高川学園,5,1
2016,,高川学園,宇部鴻城,長門,聖光,宇部商,岩国,防府,下関国際,8,2
2017,,下関国際,宇部鴻城,宇部商,徳山商工,高川学園,熊毛南,岩国商,豊浦,4,3
2018,,下関国際,宇部鴻城,宇部工,早鞆,光,高川学園,徳山,岩国商,5,0
2019,,宇部鴻城,西京,光,南陽工,豊浦,早鞆,高川学園,聖光,7,1
2021,,高川学園,宇部鴻城,岩国商,西京,熊毛南,宇部商,山口鴻城,柳井,8,1
2022,,下関国際,宇部工,下松工,南陽工,長門,桜ケ丘,岩国商,早鞆,10,4
2023,,宇部鴻城,南陽工,高川学園,徳山,岩国,宇部工,下関西,下関国際,7,0
2024,,南陽工,下関国際,宇部鴻城,高川学園,豊浦,岩国商,光,西京,4,3
2025,,高川学園,南陽工,下関国際,宇部商,下関商,柳井学園,山口鴻城,岩国,10,3
