# 山梨単独開催の選手権山梨大会のみ収録(合同予選の年は対象外)
# 出典: bibijr.vivian.jp(高校野球データベース)のトーナメント表より集計
年,ブロック,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
1958,,甲府商,石和,甲府一,甲府工,山梨工,甲府,巨摩,身延,6,0
1963,,甲府商,機山工,身延,甲府一,巨摩,山梨商,市川,日川,8,4
1968,,甲府一,吉田,機山工,日大明誠,市川,韮崎工,峡南,甲府工,1,0
1973,,甲府工,巨摩,甲府商,塩山商,吉田商,日大明誠,吉田,日川,5,4
1978,,日川,塩山商,市川,巨摩,甲府工,吉田商,吉田,峡南,1,0
1979,,吉田,峡南,塩山商,東海大甲府,甲府商,山梨農林,巨摩,石和,2,1
1980,,日川,甲府西,甲府南,巨摩,東海大甲府,桂,市川,日大明誠,12,5
1981,,東海大甲府,巨摩,甲府南,甲府東,市川,富士河口湖,北富士工,峡南,9,5
1982,,東海大甲府,甲府商,日川,吉田,塩山商,韮崎,市川,巨摩,3,2
1983,,吉田,市川,峡南,駿台甲府,甲府一,甲府商,都留,日大明誠,3,2
1984,,東海大甲府,塩山商,駿台甲府,日川,富士学苑,上野原,身延,帝京三,10,1
1985,,東海大甲府,駿台甲府,吉田,日大明誠,都留,甲府工,塩山商,甲府商,4,3
1986,,東海大甲府,日大明誠,富士学苑,塩山商,増穂商,甲府商,甲府工,都留,8,4
1987,,東海大甲府,甲府工,富士河口湖,上野原,富士学苑,駿台甲府,日川,市川,15,7
1988,,東海大甲府,山梨学院大付,巨摩,甲府商,塩山商,韮崎,日川,身延,4,3
1989,,吉田,駿台甲府,山梨学院大付,日川,東海大甲府,甲府昭和,市川,甲府工,4,1
1990,,甲府工,東海大甲府,駿台甲府,日川,韮崎,甲府商,富士河口湖,峡南,3,1
1991,,市川,東海大甲府,日川,甲府工,峡南,駿台甲府,巨摩,山梨学院大付,3,2
1992,,東海大甲府,日川,市川,富士学苑,日大明誠,機山工,山梨学院大付,峡南,3,2
1993,,甲府工,富士学苑,山梨学院大付,東海大甲府,北富士工,甲府商,日川,石和,9,0
1994,,市川,富士学苑,日大明誠,駿台甲府,甲府工,甲府昭和,機山工,吉田,3,2
1995,,山梨学院大付,帝京三,市川,吉田,日大明誠,甲府西,吉田商,日本航空,6,3
1996,,山梨学院大付,市川,帝京三,日本航空,峡南,北富士工,富士学苑,駿台甲府,5,0
1997,,甲府工,市川,東海大甲府,帝京三,甲府商,日本航空,富士河口湖,山梨学院大付,4,3
1998,,日本航空,甲府工,市川,吉田,帝京三,日川,上野原,甲府商,13,4
1999,,甲府工,東海大甲府,吉田,市川,甲府商,山梨学院大付,身延,帝京三,9,1
2000,,山梨学院大付,市川,帝京三,東海大甲府,富士学苑,上野原,甲府商,日本航空,7,4
2001,,日本航空,東海大甲府,富士河口湖,甲府工,市川,甲府一,甲府商,帝京三,5,4
2002,,日本航空,市川,帝京三,山梨学院大付,身延,吉田,上野原,甲府工,2,0
2003,,東海大甲府,甲府工,市川,甲府一,日大明誠,塩山,富士学苑,身延,5,0
2004,,東海大甲府,甲府工,日本航空,帝京三,甲府一,塩山,日川,市川,3,2
2005,,日本航空,山梨学院大付,甲府工,日川,甲府城西,市川,北杜,帝京三,13,3
2006,,甲府工,東海大甲府,富士学苑,甲府商,駿台甲府,日大明誠,塩山,山梨学院大付,11,10
2007,,甲府商,甲府工,東海大甲府,市川,北杜,日本航空,帝京三,日大明誠,6,2
2008,,日本航空,帝京三,富士学苑,日川,東海大甲府,甲府城西,北杜,甲府工,1,0
2009,,山梨学院大付,甲府工,身延,東海大甲府,塩山,駿台甲府,甲府商,都留,3,1
2010,,日川,富士学苑,日大明誠,甲府工,日本航空,山梨学院大付,桂,甲府商,4,3
2011,,山梨学院大付,日本航空,甲府南,甲府工,東海大甲府,甲府城西,都留,身延,10,3
2012,,東海大甲府,甲府工,甲府商,山梨学院大付,吉田,富士河口湖,甲府城西,帝京三,8,4
2013,,日川,日本航空,駿台甲府,東海大甲府,巨摩,甲府城西,山梨学院大付,身延,8,5
2014,,東海大甲府,日本航空,日川,山梨学院大付,日大明誠,甲府工,甲府商,帝京三,9,8
2015,,東海大甲府,甲府城西,日本航空,甲府工,都留,甲府商,帝京三,甲府西,4,3
2016,,山梨学院,東海大甲府,日本航空,帝京三,富士学苑,甲府商,日川,都留,12,5
2017,,山梨学院,東海大甲府,日本航空,駿台甲府,甲府工,塩山,吉田,笛吹,14,3
2018,,山梨学院,帝京三,甲府工,東海大甲府,都留,日本航空,日川,甲府城西,12,4
2019,,山梨学院,東海大甲府,甲府城西,富士学苑,富士北稜,甲府商,駿台甲府,市川,5,4
2021,,日本航空,富士学苑,山梨学院,東海大甲府,駿台甲府,甲府工,都留,甲府城西,2,1
2022,,山梨学院,甲府工,東海大甲府,甲府商,駿台甲府,身延,帝京三,日本航空,17,1
2023,,東海大甲府,駿台甲府,甲府工,山梨学院,吉田,青洲,日大明誠,日本航空,6,2
2024,,日本航空,東海大甲府,駿台甲府,日大明誠,山梨学院,甲府一,甲府城西,帝京三,7,1
2025,,山梨学院,日本航空,甲府工,富士学苑,身延,駿台甲府,帝京三,甲府西,4,3
